geo,name,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
afg,Afghanistan,468.58,468.58,468.58,468.58,468.58,468.58,469.98,469.98,469.98,469.98,469.98,469.98,469.98,469.98,469.98,469.98,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,472.81,472.81,472.81,472.81,472.81,472.81,472.81,472.81,472.81,472.81,474.24,474.24,474.24,474.24,474.24,474.24,474.24,474.24,474.24,475.67,475.67,475.67,475.67,475.67,475.67,475.67,475.67,475.67,475.67,477.1,477.1,477.1,477.1,477.1,477.1,477.1,477.1,477.1,477.1,478.53,478.53,478.53,478.53,478.53,478.53,478.53,478.53,478.53,478.53,479.96,479.96,479.96,479.96,479.96,479.96,479.96,479.96,479.96,479.96,481.39,481.39,481.39,481.39,481.39,481.39,481.39,481.39,481.39,482.81,482.77,482.69,482.57,482.38,482.11,481.77,481.36,480.87,480.3,481.08,480.36,479.57,478.69,477.75,476.74,475.68,474.58,473.45,472.32,472.57,471.43,470.29,469.15,468.01,466.87,465.74,464.6,463.46,462.32,462.57,461.43,460.28,459.14,458,456.85,455.71,453.79625,452.00881,451.32462,449.41809,447.50669,445.60184,443.70469,441.80418,439.91166,438.0239,436.13427,435.02107,433.66861,431.78778,429.91058,428.03702,426.16709,424.30079,422.43813,418.06124,414.97395,408.55214,402.06884,396.53818,389.01401,382.60486,375.90535,369.62843,363.43747,357.30061,351.65828,345.83987,340.15935,334.84779,329.42093,323.93773,318.36605,312.82514,307.24306,301.85291,296.3948,290.73444,285.17962,279.50411,273.85583,268.08896,262.15371,258.39462,255.74394,250.17372,244.49456,246.50921,241.87093,255.95711,253.48151,228.6237,224.17435,206.07881,198.36517,192.06178,186.40345,177.5353,161.8125,155.2431,150.9599,145.9362,142.7478,140.9134,134.0115,129.8446,125.9967,122.2918,116.5461,112.3699,108.6912,104.5979,99.8495,95.6178,92.9204,89.2781,85.2189,81.6174,78.2382,76.2991,73.9375,70.645,64.2807,61.8685,60.5028,59.4398,57.9324,52.8455,48.8691,48.0293,50.0623,48.5998,47.2273,45.8572,44.6268,43.3479,42.2492,41.1732,40.1536,39.1177,38.1847,37.2223,36.3137,35.2938,34.3509,33.3881,32.4997,31.5762,30.7205,29.9164,29.1571,28.3454,27.614,26.9265,26.2399,25.5626,24.9568,24.3663,23.7122,23.1182,22.5522,22.0346,21.4506,20.9586,20.4548,20.0344,19.5549,19.1221,18.6745,18.219,17.8351,17.4117,17.0263,16.6649,16.2132,15.8686,15.581,15.2822,14.9747,14.7112,14.4449,14.1637,13.8998,13.6356,13.3966,13.1363,12.8756,12.6281,12.3835,12.1527,11.9028,11.661,11.4162,11.2341,11.0447,10.8567,10.6577,10.473,10.2963,10.1103,9.9446,9.7574,9.576,9.4139,9.2223,9.0653
ago,Angola,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.67,485.63,485.55,485.43,485.24,484.97,484.63,484.21,483.72,483.15,482.5,481.78,480.98,480.11,479.16,478.15,477.08,475.98,474.85,473.71,472.57,471.43,470.29,469.15,468.01,466.87,465.74,464.6,463.46,462.32,461.18,460.04,458.9,457.76,456.62,455.48,454.34,449.1675,444.01506,438.88266,433.77032,428.67803,423.60578,418.55359,413.52145,408.50936,402.44597,395.02289,387.68031,379.72096,372.11234,365.06514,358.10002,350.33911,343.35171,336.67872,330.08336,329.13965,327.28976,325.28898,323.16643,320.79735,318.36432,315.76249,312.99206,310.01173,306.84716,303.53368,300.07388,296.43993,292.66143,288.77393,284.78743,280.863,276.82521,272.77752,268.74903,264.74005,260.68286,256.82169,253.06933,252.70955,250.85619,247.57242,244.44943,241.57682,238.93875,236.0795,233.47865,230.80125,228.48293,226.62649,225.4729,224.72025,223.98886,223.71523,223.50458,223.49578,223.59591,223.65105,223.32357,222.36928,220.85526,218.17664,214.63055,210.33408,205.13586,198.89958,191.93564,184.16428,175.45228,166.19028,156.77907,147.09866,137.53609,128.49972,119.97302,112.21589,104.87527,98.30584,92.91186,88.33902,84.44892,81.07953,77.96841,75.03838,72.0743,69.42133,69.2605,68.8143,67.6013,66.4215,65.3304,64.2044,63.1014,61.9915,60.8713,59.8716,58.8626,57.8955,56.9066,55.9831,55.019,54.1702,53.2377,52.3823,51.5054,50.7122,49.8991,49.1133,48.3203,47.5485,46.7768,46.0144,45.2913,44.6528,43.9604,43.2883,42.6777,41.939,41.179,40.5127,39.8456,39.1512,38.4994,37.8372,37.2158,36.6414,35.9426,35.3315,34.7473,34.2236,33.6988,33.1433,32.6054,32.1291,31.6033,31.0507,30.5723,30.1204,29.6446,29.1386,28.6722,28.2846,27.8502,27.4385,27.0247,26.5755,26.2337,25.8257,25.4536,25.1081,24.7464,24.4304,24.0866,23.7543,23.4064,23.1019,22.802,22.5032,22.145,21.824,21.5334,21.2922,21.0403,20.8104,20.5798
alb,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.55,360.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.00722,270.46487,266.20905,262.06718,257.87843,253.48235,248.72136,243.46649,237.65016,231.23158,224.24622,216.81126,208.87194,200.69129,192.39584,183.99499,175.4464,166.65012,157.75512,148.85028,140.09658,131.59775,123.59854,116.32129,109.85947,104.38159,99.90935,96.36329,88.65217,81.32209,74.78631,69.02882,63.70266,58.90623,54.75107,51.08977,47.90324,45.15566,42.79809,40.8317,39.14334,37.62865,36.28957,35.03067,33.80211,32.53267,31.21587,29.89448,28.54994,27.18106,25.79952,24.3801,22.93067,21.45987,19.98226,18.52108,17.10299,15.76326,14.49259,13.2883,12.17189,11.21396,10.46339,9.92159,9.57714,9.39968,9.33671,9.34391,9.3881,9.43611,9.45592,9.1572,8.9346,7.5714,7.3157,7.0498,6.8107,6.5735,6.3451,6.1265,5.9264,5.727,5.543,5.371,5.2065,5.0433,4.8951,4.7546,4.6144,4.5007,4.3739,4.2629,4.1559,4.0495,3.9537,3.8579,3.7651,3.6847,3.6006,3.52,3.4468,3.3708,3.3044,3.2333,3.1671,3.1032,3.0414,2.9828,2.9278,2.8729,2.8176,2.7628,2.7175,2.6757,2.6291,2.5871,2.5482,2.5053,2.4684,2.4296,2.3951,2.3565,2.3219,2.2896,2.2526,2.2194,2.1875,2.1513,2.1212,2.0897,2.0566,2.0288,2.0041,1.9785,1.9509,1.9259,1.9012,1.8742,1.8514,1.8286,1.8035,1.7809,1.7565,1.7306,1.709,1.6871,1.6672,1.6437,1.6208,1.6005
and,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.06684,94.13014,67.03984,60.83194,52.2034,53.70587,53.29466,54.51361,40.78992,41.48493,37.24348,36.8407,35.30218,36.48537,33.39203,30.85812,30.64993,30.94447,29.83593,32.23984,26.78121,28.91913,24.38505,25.4313,24.40504,23.72838,22.95002,21.7448,21.40701,20.18249,18.9687,18.59896,17.2564,17.89715,17.23695,17.47098,16.46584,15.56816,14.70672,13.85574,13.1167,12.38869,11.71516,11.08374,10.46869,9.88388,9.37149,8.86085,8.40164,7.98466,7.60716,7.21906,6.87348,6.53984,6.26372,5.96382,5.64977,5.35033,5.07723,4.82261,4.57704,4.32971,4.13369,3.92246,3.72669,3.52538,3.35093,3.19536,3.05914,2.9504,2.84827,2.75636,6.2146,6.0286,5.8618,5.7043,5.5463,5.3941,5.2481,5.1039,4.9724,4.8454,4.7212,4.5929,4.4753,4.3536,4.2459,4.1301,4.0221,3.9199,3.8183,3.7204,3.6229,3.5296,3.4363,3.3499,3.259,3.1771,3.0978,3.0248,2.9487,2.8749,2.8063,2.741,2.6743,2.6095,2.5504,2.4914,2.4352,2.3826,2.3266,2.2711,2.2194,2.1707,2.118,2.0691,2.0206,1.9722,1.9263,1.8797,1.8369,1.7919,1.7505,1.7084,1.6694,1.6285,1.5899,1.5543,1.5164,1.4814,1.444,1.4109,1.3733,1.3411,1.3077,1.2762,1.245,1.2152,1.1863,1.1551,1.1269,1.0973,1.0704,1.047,1.0227,0.9977,0.9737,0.9492,0.9264,0.9049,0.883
are,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.66,417.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.61182,262.04703,256.38535,250.22723,243.74087,236.75476,229.10227,220.69419,211.58008,201.6245,191.13379,181.07947,170.76257,160.3617,149.66627,138.89516,128.14607,117.58638,107.51021,97.8856,88.81661,80.39583,72.75882,65.92997,59.56088,53.81636,48.46694,43.57875,39.20476,35.34536,32.00679,29.10643,26.6401,24.56846,22.73923,21.2009,19.81432,18.60341,17.51119,16.54381,15.68294,14.92082,14.2341,13.62044,13.08777,12.61597,12.19059,11.81258,11.46446,11.1486,10.86455,10.58923,10.32215,10.06867,9.82749,9.61158,9.39982,9.17166,8.91802,8.65732,8.40639,8.1768,7.96979,7.78636,7.60639,7.4165,7.21081,7.00002,6.7872,6.57933,6.37178,6.2316,5.9448,5.7221,5.5115,5.3069,5.1116,4.9351,4.7717,4.6098,4.4476,4.303,4.1543,4.0186,3.8855,3.7586,3.6336,3.5123,3.4041,3.306,3.2071,3.1181,3.0326,2.9521,2.8717,2.7964,2.7238,2.6497,2.5857,2.5241,2.4621,2.402,2.3398,2.2855,2.2326,2.1826,2.1362,2.0932,2.0493,2.0075,1.9667,1.9269,1.889,1.8501,1.813,1.7808,1.7434,1.7121,1.6767,1.6421,1.6117,1.583,1.5509,1.5218,1.4936,1.463,1.4355,1.4102,1.3847,1.3619,1.3389,1.317,1.2934,1.2711,1.2507,1.2288,1.2064,1.1845,1.166,1.1474,1.1265,1.1064,1.0879,1.0685,1.0476,1.0305,1.0133,0.997,0.9795,0.9624
arg,Argentina,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,402.19,403.44,403.44,403.44,404.69,405.96,407.24,408.51,409.79,405.96,402.19,399.7,395.95,392.21,393.46,395.95,397.2,399.69,400.9,392.11,383.46,374.86,366.3,357.85,350.61,337.403,324.69349,312.46273,300.69268,289.366,278.46597,267.97654,257.88223,248.16816,238.82,229.61,205.35,195.97,194.09,194.09,201.61,220.33,212.85,199.73,179.05,171.55,171.55,179.05,188.45,184.69,197.85,173.43,162.22,149.27,149.15606,139.34656,129.62621,148.66923,157.97701,144.75034,147.92463,147.91358,134.06728,129.76204,126.66542,121.20321,118.4848,120.63811,110.72189,113.23826,101.44304,96.35008,97.85329,96.47342,95.08691,92.44885,90.08543,87.99172,86.17869,84.62933,83.35482,82.70582,81.52005,80.91333,80.45156,80.07413,79.6888,79.21495,78.54541,77.59311,76.23723,49.65384,72.429,71.73689,70.87394,69.74447,68.24275,66.18166,63.39842,59.88045,55.67821,51.18274,46.81929,42.85696,39.39965,36.48726,34.08045,32.12121,30.59762,29.57155,29.08708,28.97063,28.93605,28.76629,28.33587,27.5659,26.54429,25.41686,24.29513,23.21041,22.18904,21.25678,20.41558,19.67534,18.9939,18.34311,17.71572,17.12563,16.58626,16.11232,15.72142,15.36541,14.96355,14.47685,13.92755,13.34299,12.74855,12.16814,11.59363,10.96855,10.2531,9.45089,8.58049,7.70081,6.9182,10.2723,9.821,9.5335,9.2996,9.0664,8.8444,8.6156,8.4027,8.1903,7.9946,7.7959,7.5922,7.4025,7.2218,7.0327,6.8592,6.6796,6.5159,6.3524,6.1964,6.0461,5.9062,5.7639,5.6332,5.4978,5.3929,5.2642,5.1488,5.0384,4.9393,4.8446,4.7539,4.669,4.5843,4.5016,4.422,4.3458,4.2709,4.2026,4.1335,4.0713,4.0019,3.9427,3.8753,3.8161,3.756,3.7013,3.6442,3.5886,3.5398,3.4835,3.4338,3.3855,3.3331,3.2862,3.2402,3.1982,3.1515,3.1099,3.0697,3.0252,2.9816,2.9396,2.8996,2.8637,2.8268,2.7898,2.7546,2.7196,2.6845,2.6481,2.6147,2.5851,2.5562,2.5238,2.4938,2.4669,2.4376,2.4077
arm,Armenia,371.2,370.71481,370.23025,369.74632,369.26303,368.78037,368.29833,367.81693,367.33616,366.85602,366.3765,365.89761,365.41935,364.94171,364.4647,363.98831,363.51254,363.0374,362.56287,362.08897,361.61568,361.14302,360.67097,360.19954,359.72872,359.25852,358.78894,358.31997,357.85161,357.38386,356.91673,356.45021,355.98429,355.51899,355.05429,354.5902,354.12672,353.66384,353.20157,352.7399,352.27883,351.81837,351.35851,350.89925,350.44059,349.98254,349.52508,349.06821,348.61195,348.15628,347.70121,347.24673,346.79284,346.33955,345.88685,345.43475,344.98323,344.5323,344.08197,343.63222,343.18306,342.73449,342.2865,341.8391,341.39228,340.94605,340.5004,340.05534,339.61085,339.16695,338.72362,338.28088,337.83871,337.39713,336.95612,336.51568,336.07583,335.63654,335.19783,334.7597,334.32214,333.88515,333.44873,333.01288,332.5776,332.14289,331.70874,331.27517,330.84216,330.40972,329.97784,329.54653,329.11578,328.6856,328.25597,327.82691,327.39841,326.97047,326.54309,326.11626,325.69,321.81799,317.99202,314.21153,310.47599,306.78486,303.13761,299.53372,295.97268,292.45397,288.97709,285.54155,282.14686,278.79252,275.47806,272.203,268.96688,265.76924,262.60961,259.48754,256.40259,253.35432,250.34228,247.36606,244.42521,241.51934,238.648,235.81081,233.00734,230.2372,227.5,222.08185,216.75976,211.53381,206.40393,201.36996,196.43162,191.58852,186.84019,182.18604,177.62544,173.15766,168.7819,164.49731,160.30298,156.19794,152.18119,148.25167,144.40828,140.64991,140.04743,138.82676,136.38334,133.9563,131.55263,129.17182,126.82008,124.48911,122.1844,119.89887,117.63611,115.38663,113.15642,110.94898,108.76362,106.60212,104.46938,102.37219,100.32344,98.33042,96.42078,94.59373,92.87954,91.28398,89.78888,88.35611,86.93372,83.4026,79.9954,76.76914,73.65321,70.67225,67.84633,65.13644,62.58543,60.1046,57.70723,55.41082,92.68392,51.05892,48.92896,46.88094,44.82437,42.82717,40.89198,39.02155,37.20807,35.4673,33.81896,32.19211,30.65643,29.19509,27.76966,26.40646,25.11088,23.89143,22.71298,21.59283,20.52121,19.51635,18.5445,17.62389,16.75307,15.91499,15.13789,14.4079,13.71164,13.04493,12.42454,11.82596,11.26229,10.72114,9.0313,10.264,9.9827,9.7108,9.4388,9.1789,8.932,8.6762,8.4281,8.207,7.9907,7.771,7.5549,7.3494,7.1417,6.9499,6.7521,6.5689,6.391,6.2141,6.0324,5.9041,5.7933,5.6621,5.5428,5.4251,5.3106,5.1993,5.1037,4.9964,4.8921,4.7912,4.691,4.6005,4.5149,4.4344,4.3561,4.2789,4.2066,4.1417,4.0793,4.0195,3.961,3.9064,3.8513,3.7972,3.7459,3.7032,3.6647,3.6197,3.5813,3.5425,3.504,3.465,3.4288,3.3922,3.3595,3.3229,3.292,3.2576,3.2172,3.188,3.1569,3.1286,3.1005,3.0741,3.0467,3.0161,2.9874,2.9606,2.9325,2.9037,2.8796,2.8555,2.8276,2.8004,2.7725,2.7485,2.7243
atg,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.69149,180.2223,,,,,,,,,,,,162.33547,159.87596,157.44561,155.04411,152.67115,150.32643,148.00965,145.72051,143.45871,141.22396,139.01597,136.83446,134.67914,132.54972,130.44594,128.36752,126.31417,124.28565,122.28167,118.83386,116.46409,113.961,111.27903,108.51449,105.57864,102.5706,99.40804,95.86206,91.5514,86.2795,80.40707,73.96791,67.37315,60.79445,54.4884,48.6172,43.34962,38.8127,34.94028,31.67038,28.99824,26.83978,25.04271,23.49106,22.08293,20.77347,19.51473,18.32536,17.26654,16.30531,15.49075,14.82666,14.32425,13.95243,13.71684,13.5928,13.58342,13.66154,13.83114,14.06253,14.36947,14.72019,15.08948,15.45313,15.74608,15.96698,16.06126,16.01723,15.83785,15.52981,15.12124,14.65311,14.10009,13.53207,12.93664,12.34165,11.74924,11.16248,10.59946,10.05727,9.53217,9.02371,8.55424,8.12509,7.74995,7.42722,7.11954,6.84344,6.59264,6.3583,6.14456,6.1276,5.954,5.7833,5.6154,5.4634,5.3031,5.1514,5.009,4.8613,4.7211,4.5874,4.4573,4.3373,4.2133,4.0948,3.9815,3.867,3.7626,3.671,3.5772,3.4912,3.4013,3.3198,3.2379,3.1669,3.1084,3.0408,2.9749,2.911,2.8522,2.7931,2.7365,2.6823,2.6303,2.5805,2.5316,2.4858,2.438,2.3943,2.3499,2.3083,2.2662,2.2233,2.1868,2.1454,2.1116,2.0732,2.0403,2.0034,1.9709,1.9367,1.906,1.8754,1.8451,1.8173,1.7889,1.7638,1.7342,1.7079,1.6798,1.6531,1.6288,1.6016,1.5783,1.5521,1.531,1.5078,1.487,1.4649,1.4428,1.4218,1.4012,1.3812,1.3635,1.3407,1.3224,1.3038,1.2856,1.2645
aus,Australia,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,390.99,359.67657,330.87096,304.37232,279.99589,257.57171,236.94342,217.9672,200.51075,184.45233,169.68,156.65,182.81,175.3,195.97,222.2,184.69,199.73,207.23,177.18,180.93,179.05,214.72,188.45,195.97,201.61,197.85,179.05,179.05,209.1,162.22,177.18,160.37,179.05,156.65,151.1,175.3,158.51,201.61,179.05,149.27,156.65,162.22,169.68,117.16,117.16,118.9,115.43,110.29,100.18,105.2,93.6,100.18,100.18,98.52,93.6,96.88,75.01,79.68,95.24,95.24,89.08,70.99,79.48,76.05,69.76,70.23,72.27,71.57,68.14,63.78,54.36202,53.70044,54.16373,57.3319,54.39221,54.53733,50.90586,50.81569,50.73501,51.79501,52.44176,51.29241,44.99452,39.44743,38.88437,36.83516,34.7185,32.25446,32.12739,31.59033,30.97057,30.25197,29.48573,28.70965,27.96293,27.2567,26.60779,26.00538,25.42465,24.84973,24.27899,23.71428,23.17937,22.71417,22.35271,22.09938,21.96904,21.88583,21.74122,21.45514,20.98155,20.29638,19.42796,18.41045,17.30972,16.22178,15.23038,14.36287,13.62903,13.02753,12.5486,12.17253,11.86371,11.5819,11.28945,10.96742,10.60338,10.18539,9.70861,9.18884,8.65875,8.15228,7.69646,7.31218,7.00948,6.77368,6.59262,6.44666,6.31473,6.18726,6.07591,5.98611,5.90918,5.82569,5.72042,5.58497,5.41708,5.21832,4.99823,4.76643,4.53579,4.31718,4.12573,3.9757,3.87233,3.80873,3.77675,3.76291,3.75436,3.73968,3.71192,3.3844,3.3009,3.2173,3.1437,3.0766,3.0046,2.9373,2.8694,2.8139,2.7496,2.6941,2.6365,2.5775,2.5266,2.4743,2.4259,2.3762,2.3248,2.2834,2.237,2.1895,2.1462,2.1041,2.0601,2.0201,1.9785,1.9408,1.9014,1.8635,1.8244,1.7869,1.7516,1.7137,1.6823,1.6497,1.6147,1.5858,1.5526,1.5204,1.487,1.4611,1.4293,1.402,1.3694,1.3462,1.3154,1.2875,1.2606,1.2361,1.2099,1.1849,1.1587,1.1351,1.1083,1.0862,1.0608,1.0398,1.0149,0.9933,0.9706,0.9503,0.9305,0.9074,0.8849,0.8654,0.8443,0.826,0.8059,0.7864,0.7684,0.747,0.7311,0.7128,0.6951,0.6778,0.6611,0.6438,0.6273,0.6096
aut,Austria,387.32,373.00588,359.22076,345.94509,333.16005,320.84751,308.99,325.26,315.5,299.15,302.43,307.34,295.89,302.43,326.89,305.71,289.32,292.6,294.24,307.34,299.15,300.8,321.99,297.52,312.26,320.37,317.13,294.24,305.71,284.37,385.13,436.85,394.8,422.24,440.1,402.88,383.5,410.94,389.96,414.12,396.42,407.72,398.04,420.61,373.78,401.27,407.72,403.36702,399.06052,394.8,407.72,393.18,393.18,368.92,443.35,451.47,391.57,388.35,406.11,412.55,385.13,428.73,406.11,420.61,406.11,438.48,451.47,410.94,402.88,393.18,410.94,414.12,438.48,470.96,422.24,394.8,401.27,418.99,409.33,389.96,406.11,406.11,415.74,410.94,401.27,414.12,406.11,396.42,404.5,383.5,420.61,394.8,420.61,377.02,407.72,391.57,373.78,370.54,364.1,356.05,375.39,339.88,351.19,349.57,341.52,375.39,328.51,339.88,323.63,339.88,307.34,336.63,294.24,308.99,279.42,354.43,312.26,302.43,313.89,253.24,253.24,253.24,253.24,227.77,201.61,184.69,192.21,195.97,186.57,173.43,156.65,157.18219,161.79894,143.12512,145.03778,153.66928,146.63025,137.84031,119.65432,114.8287,112.91345,115.47635,126.24221,143.9407,271.17161,175.17017,128.61883,114.48768,107.90365,94.67,83.45431,73.78514,66.11925,60.30449,56.218,53.50018,51.52183,49.73987,47.80705,45.50441,42.85077,40.20809,37.88084,35.90293,34.20178,32.73864,31.49752,30.48501,29.72699,29.26573,29.02529,28.73314,28.07489,26.91389,25.18061,23.06549,21.01594,19.35576,18.09023,17.08115,16.2436,15.48924,14.76741,14.04977,13.32432,12.59647,11.87018,11.14926,10.49062,9.94843,9.51148,9.08004,8.56158,7.97363,7.37006,6.80394,6.33312,5.98703,5.7545,5.60272,5.50582,5.424,5.33054,5.20985,5.06043,4.89756,4.74592,4.63342,4.54376,4.45065,4.33634,4.19937,4.04656,3.89708,3.76729,3.67075,3.60554,3.57055,3.56208,3.58278,3.62298,3.65759,3.0264,2.9239,2.8175,2.7208,2.632,2.5436,2.4592,2.3852,2.3118,2.2473,2.1816,2.1198,2.0653,2.0102,1.9572,1.9085,1.8566,1.8109,1.7697,1.7256,1.6846,1.6457,1.6034,1.5686,1.5312,1.5008,1.4668,1.4329,1.4001,1.3694,1.3404,1.3087,1.2842,1.2562,1.2291,1.2028,1.1796,1.1563,1.1303,1.1086,1.0844,1.0626,1.0409,1.0216,0.9979,0.9797,0.9596,0.9407,0.9232,0.9026,0.8854,0.8675,0.8505,0.8345,0.8169,0.8024,0.7866,0.7703,0.7557,0.739,0.7262,0.7118,0.6976,0.6838,0.6694,0.6565,0.643,0.6307,0.6162,0.6036,0.5914,0.5797,0.5666,0.5556,0.5432,0.5318,0.5194,0.5094,0.4985
