"country","1800","1801","1802","1803","1804","1805","1806","1807","1808","1809","1810","1811","1812","1813","1814","1815","1816","1817","1818","1819","1820","1821","1822","1823","1824","1825","1826","1827","1828","1829","1830","1831","1832","1833","1834","1835","1836","1837","1838","1839","1840","1841","1842","1843","1844","1845","1846","1847","1848","1849","1850","1851","1852","1853","1854","1855","1856","1857","1858","1859","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2013","2015"
"Afghanistan",0.0119173886617964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00979892603770627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00898141744730153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00792487221143559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00622792977386387,0,0,0,0,0,0.00568666477111174,0,0,0.00544191032820161,0,0,0,0.00512907312519555,0.0050566598738869,0,0,0,0.00958033349140884,0.00472424577416215,0.00465981053210377,0,0.013609454034069,0.0089525114032614,0.00439825301390288,0.00434280354025345,0.00423113864171987,0.00411929477673422,0,0.00389597740333106,0,0,0.00357209195993542,0.00693724223809309,0,0.00326917041531541,0,0.00307781327522422,0.00298711656624976,0.00289787875275298,0.00280940701846061,0,0.00527545804164447,0.00255623721881391,0,0.00240401374134255,0.00932942430454973,0.00226587814107357,0,0,0.00211205285201057,0.00208058955585655,0,0.00206393662888975,0.00206446072157031,0,0.00211667538031365,0,0,0,0.00219726133347396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0.0495761241386148,NA,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,0,NA,0,0,0,NA,0,0,0,0,0,0,0.0459347726228755,0,0.0425124880433627,0.0205313513735474,0,0,0,0.0185343070022612,0,0,0,0,0,0,0.0173379336650658,0,0,0,0,0,0,0,0,0,0,0,0.0147594940445442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",0,0,0,0,0,0,0,0,0.0149642354772095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121639703199124,0,0,0,0,0.0117623534116706,0.0116807419607293,0.0116003897730964,0,0,0.0227169468423444,0.0112823521447751,0,0,0,0,0,0.0216422109682725,0.0107457554266065,0,0,0,0.0208622362231008,0,0.0102749578726727,0.0203802963295086,0,0,0,0,0,0,0,0,0.0094663801508941,0,0,0,0.00913951469176987,0.0090590377490103,0,0.00890234131576605,0,0,0,0.0171852310124679,0,0,0,0.0248778910182521,0.00821875025683595,0,0.008070438789757,0,0.0079243698144905,0,0,0,0.0152579741987656,0,0.0224393016889314,0.0148085623107281,0.0146522293366936,0.0145029477241249,0.00717710217322654,0.00710055810386696,0.0210740753749429,0.00694975328375843,0.00687601851024183,0.0135863104336071,0.013404196854035,0.00660349324792815,0,0.012827502164641,0.0252810941657555,0.0186873972193153,0.00614031855972688,0.0242066277746847,0.0178957038380319,0,0.00575463391896325,0.00564598542206564,0.0165532767211269,0.01076455232918,0.0105337448516322,0.00513874614594039,0.0251011576653915,0.00978665100802505,0.0190460772223201,0.0185790725326992,0.0180989742406349,0.00881329044198652,0.0128722217454733,0.0125575028986903,0.00816826628548091,0.00398770192725634,0.0233650318932685,0.0114461439848606,0.0149954263949495,0.0110502935694658,0.0107371404847461,0.00692005605245402,0.0167437437001664,0.00324592068917388,0.0314997338272492,0.0244764337835977,0.0208284981462637,0.0117774532435106,0.00864189706924464,0.0225133321138612,0.00823996989664331,0.00537453812562983,0.0131284593490385,0.0102550692088983,0.0125021566220173,0.00975764450461659,0.00952351474835303,0,0.00683170548973081,0.00669698167036117,0.00438206333834349,0,0.00211172280681749,0.0020700033741055,0.00404854201880548,0,0,0,0.00179964546984244,0,0,0.00325027261661572,0.00157264355090333,0,0,0.00143946820286713,0,0,0,0,0,0,0,0.00247732320273298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260633861551293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112344403001842,0.0111301560447877,0,0,0.0108201687946332,0,0,0,0,0,0,0,0,0,0,0,0,0.0161243509948725,0,0,0,0.00720046082949309,0,0,0,0,0,0,0,0.00593873599942988,0,0,0.011218434130964,0,0.00540353607400683,0,0,0.0102351526317136,0.00502676753713524,0,0,0,0,0,0.00448567276120073,0.00438937245142062,0,0,0,0,0,0,0,0.00352334746195666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0.066831517743768,0.066831517743768,0,0,0.066831517743768,0,0,0.066831517743768,0,0,0,0.0667512182097323,0,0,0,0.0656512605042017,0,0,0.0639918090484418,0,0.0625351760365205,0.123403467637441,0,0.0598479861152672,0,0,0.0567054153671676,0,0.108796170374803,0,0.0519804553487889,0.0507356671740233,0,0.145039644169406,0.0944019635608421,0,0,0.0878078763665101,0.0428687786684957,0.0418410041841004,0.0816993464052288,0,0,0.037999696002432,0.0741812247320203,0,0.0353356890459364,0.0689797889218459,0.0673151358082865,0.164257555847569,0.0320636142105938,0.0312900904283613,0.152681079760596,0.0298018179108926,0.116326411911825,0.0567617425854974,0.110778774786751,0.135142440131899,0,0.0257347264398579,0.0502260170768458,0.122458976242959,0.16715619552499,0.046543017383817,0.0226695683714182,0.0882963224581696,0.0429737859905458,0.0418191322530058,0.0406752084604434,0.0395499218889043,0.135840561991811,0.0190650499504309,0.0865830851284893,0.0337934879948634,0.0328315576932548,0.031862354628007,0.0463800380316312,0.0451290691377339,0.0292543076968084,0.0566788998625537,0.109920307776862,0.0535396394105286,0.064995840266223,0.0639026634630131,0.0503917962155761,0.0495773530651199,0.108840246704559,0.106395555030145,0.0459537705068701,0.0445925909410151,0.043240438458046,0.0740270727580372,0.020732478464138,0.0501489423588057,0.0388980191183764,0.0564546480993602,0.0536715835800735,0.0425264088999269,0.0973409691915832,0.007735447689035,0.051638413077797,0.0352219334023683,0.0601813464573247,0.0383298410589257,0.0244243486331524,0.0350487762135639,0.0447437302847938,0.0268905393704387,0.0258824625610179,0.0249351685617395,0.0528955505224638,0.0325185123245162,0.0314078806859481,0.0297397769516729,0.0288474218646974,0.0568629521620107,0.0201434211586496,0.032333552932047,0.045292279313369,0.0607656471541422,0.0394812168111021,0.0341842683996825,0.0443640961369963,0.0398374631503466,0.0537239662613492,0.0391516199872579,0.0453623931802876,0.0454216703295168,0.0370593724837528,0.0562252980767641,0.0547475814450785,0.0445794565127402,0.0311336380278708,0.0365320157452988,0.0369477466493012,0.046198765568984,0.021002667338752,0.026815083186347,0.0235897738330434,0.0516956162117452,0.0565646052639022,0.0446407396970568,0.0521604014703743,0.0379401737659959,0.059172552542537,0.0421459672894611,0.028781194890553,0.0281292513527613,0.0352668821305227,0.0474985750427487,0.0346253536732554,0.0490927656900479,0.0266209753925384,0.0358214943294574,0.028302354048298,0.0326449903930457,0.0346004797933198,0.0388314031841751,0.0226456967514748,0.0381625409966709,0.0222821364112391,0.0420478637472171,0.0175861667212571,0.0261986424736758,0.0303299464893087,0.0193179891261186,0.0212197989211854,0.0209224717808162,0.0180282322116434,0.0141057934508816,0.0177216635522484,0.00956694276863497,0.0110993745502441,0.0071311671224671,0.0120072111879763,0.00330503124907046,0.0063991297183583,0.00311734302619192,0.0091846903458189,0.0045449174188505,0,0.00151090723936095,0.00302806409806083,0,0.00151139135665511,0,0,0.00590911776871713,0,0,0,0,0,0.00142874491902588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540949908038516,0,0.0530278926715452,0.0525210084033613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451080337408092,0,0,0,0,0,0.0424430202453207,0.0420362352347724,0,0,0,0,0,0,0,0,0,0.0379867046533713,0.0376194417274848,0,0.0368677186255714,0,0.0361519829362641,0,0,0,0,0,0,0,0,0.0330240084541462,0.0327407261893069,0,0,0.0319121776870054,0,0,0.0307976593778873,0.0303849776670414,0,0.0295910516659762,0.0292021960051396,0.0576584887710093,0.056918435881382,0.0561955605507165,0.0277400205276152,0.0273905064504643,0.0270438380614977,0,0,0,0,0.0508388408744281,0.0251092251293125,0,0.0245092032058038,0,0.0478549039312804,0,0.0233666697822226,0,0.0232142442602781,0.0233426704014939,0.0705268354608929,0.0946342386675499,0.0714268707887907,0.0477611940298507,0.0479168164067179,0.024043085208694,0,0,0.121695954826462,0.0489021468042447,0,0.0493949123240306,0,0,0.0251212098374658,0,0.025441408436371,0.0768383577081679,0.0515849475123159,0.103920396975916,0.0261766399664939,0.105524191420883,0.133447208284403,0.0258217780876391,0.0484484387490613,0.0227925422801659,0,0.0406702456482837,0.019289751355105,0.0734645900675874,0.0175691345444323,0.0169259152688682,0,0.0323860416160635,0.0484222419498023,0.0326168498646401,0.0333594649141828,0.0344245929291886,0.0534797490017114,0,0,0,0,0.0189577053593433,0.0186528883997687,0,0,0.0176183512746877,0.0172637030643073,0.0168517551102947,0,0,0,0.0301668225285831,0,0,0,0,0,0,0,0,0.0141322781232335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",0.208116545265349,0,0,0,0,0,0,0,0,0,0,0,0.11102475852115,0,0,0,0,0,0,0,0.115874855156431,0,0,0,0.117123448114312,0,0,0.235072872590503,0,0,0.116618075801749,0,0,0.112930547713156,0.222940586333742,0,0,0.106757766627522,0.104854776135053,0,0.200120072043226,0.195369737227703,0.189053785802061,0,0.174034110685694,0.082802020369297,0,0,0.0702000702000702,0,0.299634445975909,0.0558129151085561,0.168814360474931,0.149730485126772,0.0488400488400488,0.253914515446466,0.370568616955573,0.0720824623369134,0.202675314146737,0.191564764854251,0.153430710691052,0.112984775301528,0.0761962816214569,0.146763856954161,0.133206047554559,0.148784220370685,0.106199953272021,0.119080697019013,0.0754176250989856,0.0565664184029415,0.0541447831501435,0.141098451444495,0.145224826184036,0.104576986091261,0.0707676521062222,0.0912209005327301,0.0677265877651919,0.0867287644620215,0.117857022594875,0.0778961799713342,0.107459203880812,0.133825016356391,0.0615034518812368,0.185380600633146,0.1226826608506,0.158847823784814,0.0900113157082605,0.0966744006187162,0.129209589700821,0.109102811215769,0.0662514906585398,0.0889541219116241,0.10886605121059,0.134226686502388,0.0682120485215039,0.123408313232737,0.0849978750531237,0.0589469713046144,0.152127888845223,0.108866577960566,0.184024383230778,0.10330815675291,0.0928893223723933,0.182810900404621,0.0433158265201148,0.0644807686107618,0.0939692616104243,0.132519189798061,0.110291168685329,0.0968063582416093,0.123435690005507,0.0807921218704274,0.108219702645555,0.0657591898467811,0.07281965807125,0.0985059924478739,0.134113426430404,0.140187686573318,0.085827332572331,0.0903734229837689,0.0810905051127564,0.120371707833791,0.109201812750092,0.0562456811351985,0.160105028898958,0.0946431951542684,0.0724538509221765,0.128897123982921,0.0802001796484024,0.0995941538231706,0.210228421265413,0.070551161350506,0.122788841564023,0.128016868104974,0.0740795614489962,0.12313576079792,0.106621174965348,0.0695009139370183,0.102351351720185,0.154130702836005,0.131827859181481,0.175026902283129,0.140032844067063,0.15545040199474,0.121619731585252,0.113613260461389,0.123320492342385,0.126899893288726,0.096308004328195,0.0613668061366806,0.137316613662454,0.129535077019398,0.0992037593003524,0.0913191044639822,0.089010646662348,0.0386755555985284,0.0664158676995915,0.0559855557266225,0.0552237020129039,0.0818687916166357,0.0585219164577134,0.071389371015023,0.0752502069380691,0.0439180138517416,0.0392213259422924,0.0302366667098619,0.0256290873054859,0.0295265211430982,0.0374344896431245,0.0205101279011576,0.0202763257675603,0.0201545450514546,0.0121081499957621,0.0122084718655766,0.0330630429571586,0.0210861029929615,0.0301500611615526,0.00876912216702547,0.0221909576285855,0.0178253913787495,0.0177598600523028,0.0087946880084429,0.00434286012081837,0,0.0042331267567476,0.0125538245226408,0,0.0040919711434195,0,0,0,0,0,0.00390300257988471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austria",0.0987487127399946,0.0412830780663006,0.0805812594850858,0.0787432576085673,0.0641955653703442,0.0251480591985314,0.049306625577812,0.125917624689928,0.0866647682955516,0.0361833773564424,0.0966977711163758,0.0485690348118557,0.0595734540688669,0.0359587193901401,0.0495626099670409,0.0598637501047616,0.0932629198288625,0.0583662129666379,0.0699708454810496,0.130277728430153,0.0349715564674065,0.0698795742004612,0.0598093278627735,0.0574930720848138,0.0584891093278432,0.0825296517248697,0.0934972652049928,0.0450171627933149,0.0910871248349046,0.0329826181602296,0.0636788547994753,0.124564025909317,0.128188693757211,0.0801303453617885,0.109656637653348,0.115055674162331,0.0739544686987711,0.141146882578625,0.098527021035519,0.140322230868339,0.0862260106920253,0.112310476071629,0.146471859094072,0.100932362700445,0.139162704395222,0.144710819545608,0.109084297921338,0.155301763272328,0.212281674194804,0.104652379678833,0.188910928497214,0.171779984196241,0.238831771449368,0.18476051776418,0.134612560575652,0.222022128205444,0.099410166346345,0.207366984993179,0.178653178351701,0.190636389122512,0.159655994550409,0.240577385725742,0.19835585039561,0.169432176299827,0.242434928261301,0.326980568011958,0.274951883420401,0.166978359604595,0.208651343604836,0.162092068294791,0.166868763279972,0.32037826730595,0.201229737283399,0.312720786666512,0.307372705303769,0.309876049580168,0.294394724446538,0.323759791122715,0.344442472888202,0.240180135101326,0.315015039427689,0.215216856604083,0.473718899324436,0.306983883346124,0.28525338369531,0.335073005300246,0.316765820967918,0.252204363135482,0.216806441122269,0.244768082242076,0.218342881502199,0.336071695294996,0.230661999939827,0.301314828341855,0.286815109419964,0.308395617154053,0.279541900710211,0.244543620468301,0.3579830213767,0.341575579845375,0.333364675311354,0.335396286683969,0.393346819510002,0.358709978811085,0.306961565180865,0.326014168399535,0.258293647590605,0.3598868448804,0.29569517113358,0.311390146605847,0.327372427057331,0.321305213177084,0.282716069914021,0.381063788305773,0.272628135223555,0.255107247086675,0.220308431804526,0.280475770009869,0.203527815468114,0.377530285701596,0.401643085349156,0.399339758266333,0.443710842518148,0.431942595710546,0.520048302791513,0.370306812742167,0.476881003591206,0.492466313208575,0.589926996534179,0.453681299688904,0.340915144089916,0.386552275826524,0.271638742203968,0.363694710381345,0.334802142733714,0.329435018942514,0.351108185209568,0.382618201694452,0.366774541531823,0.723628076769379,0.890529973935708,1.03076956817334,1.08519326508922,0.781824871228845,1.21144474995236,0.581360140495367,0.727650727650728,0.755840586349061,0.836110824771788,0.625526010508837,0.724572049633185,0.493545521348586,0.43876602279494,0.559563540438458,0.480312010682139,0.435584470950223,0.448647775604329,0.452622599794579,0.431592576607682,0.321474496356622,0.386950107620499,0.387642893872869,0.390155594050907,0.324863673279963,0.27775634596096,0.333248083823518,0.243223098348437,0.248059534288229,0.230126898546913,0.237987981606929,0.194485453372113,0.267784590381916,0.212539851222104,0.181886159473743,0.242314418761457,0.109266928178848,0.179835899741486,0.0917136699225019,0.0927945065652113,0.0815394651011089,0.186130919835739,0.046359074209288,0.0231021577415331,0.0230747043553504,0.0346772702052894,0.0232018561484919,0.0116349420579886,0,0.0115748778850383,0.0114765763077559,0,0.0112579650102447,0,0.0112116421692285,0.0112939475734954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azerbaijan",0,0,0,0,0,0,0,0,0,0,0,0,0.032932652725177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299805126667666,0,0,0,0,0,0,0,0,0.054713574437818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229821658393087,0.0227484701653814,0,0,0,0,0.0216234917614496,0,0,0.0209771139686602,0,0,0,0,0,0,0.0195419369967951,0,0,0,0,0.0185828703101481,0,0,0.018034915596595,0.0357091844022283,0.0176753393665158,0,0.0173268184495963,0.0171511877197496,0.0169828303585075,0.0168135046069003,0,0.0164807093297296,0,0,0.0159913007324016,0,0,0.0155163853028798,0,0.0152084315544538,0.0151091637077888,0,0,0.0148152537852973,0.0147193028938149,0,0.0144302226583356,0,0.014149274849664,0.0420627576343905,0.0416441094407196,0.0549782835779867,0.0136234213860469,0.026982542295135,0.0400849801579348,0.0397414158541755,0.0524879277766114,0.0129991680532446,0.0257811694338455,0.0127720445488914,0.0126553443519198,0.0125409147343207,0.0124283814518835,0.0123178497961396,0.0122203077073481,0.0484531337064225,0.0360243524622645,0.0357142857142857,0.0472126813262042,0.0234063220475851,0.0116457818977966,0.0347676938588663,0.0115639021231324,0.0575426966809373,0.0114339290410364,0.0226952929962326,0.101279497653692,0.0223216776972957,0.022140058006952,0.0219623345961676,0.0218064459854333,0.0432703749377988,0.021467289218054,0.0319536459109984,0.0211586475392493,0.0419996010037905,0.0312656328164082,0.0206908680853705,0.0102703146824419,0.0306153689151954,0.0303979086238867,0.0503073780800692,0.0199830144377279,0.0099310783164836,0.0296612683158332,0.0292486033791886,0.0378519044239413,0.036654540122976,0.026525198938992,0.00850354597867311,0.0245156123591374,0.0313708266997106,0.0602622916242947,0.02177589698549,0.0140471140204245,0.013700506918756,0.0134779971696206,0.0200883889112093,0.00671587161939812,0.0135919426963696,0.0138491687036486,0,0.0217545793389508,0.0148163513253226,0.00754415215046057,0.00764683841465746,0,0.00776723160331195,0.00778143505225234,0.00776023963619997,0,0.0152552974020229,0,0.00739590266992086,0,0,0,0.0066791789953179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00517965638159565,0
"Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477099236641221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
