row_id,Fair_name,City,Year,visits,visits_measure,source_tier,confidence,source_title,source_url,source_note,search_status
242,Agricultural Exhibition,Kiev,1897,NA,NA,NA,low,Medal - Agricultural and industrial Exhibition Kiev 1897,https://www.numisquare.com/medal-agricultural-and-industrial-exhibition-kiev-1897-1897-1631217630.html?lang=fa,Fair identity found via medal/catalogue source; no total attendance located in accessible sources.,not_found
243,Imperial Victorian Exhibition,London,1897,NA,NA,NA,low,"Victorian Era Exhibition (1897 London, England)",https://openlibrary.org/authors/OL4267074A/Victorian_Era_Exhibition_%281897_London_England%29,Catalogue records identify the exhibition; no total visits/admissions located.,not_found
248,National Exhibition,Buenos Aires,1898,NA,NA,NA,low,Monthly Bulletin,https://upload.wikimedia.org/wikipedia/commons/3/3c/Pan_American_Union_Bulletin_1897-12-_Vol_5_Iss_6_%28IA_sim_bulletin-of-the-pan-american-union_1897-12_5_6%29.pdf,Planning/source references found for the 1898 National Exhibition; no attendance total located.,not_found
251,Universal Scientific and Philanthropic Exposition (1898),Jerusalem,1898,NA,NA,NA,low,NA,NA,No reliable match with a total attendance figure located.,not_found
252,Tasmanian Juvenile Industrial Exhibition,Launceston,1898,NA,NA,NA,low,NTCC 1889,https://www.siep.org.au/General/NTCC_1889.html,Newspaper extracts mention fair attendance on individual evenings only; no total attendance located.,not_found
255,California's Golden Jubilee (1898),San Francisco,1898,NA,NA,NA,low,Procession of floats,https://lcweb2.loc.gov/item/00694283,Source identifies California's Golden Jubilee and Mining Fair; other sources mention about 200000 procession spectators but not total fair attendance.,not_found
257,Jubiläums-Ausstellung,Vienna,1898,NA,NA,NA,low,Jubiläumsausstellung 1898,https://austria-forum.org/af/AustriaWiki/Jubil%C3%A4umsausstellung_1898,Identity and dates found; accessible sources mention visitor context but no total visits/admissions.,not_found
260,Greater Britain Exhibition,London,1899,NA,NA,NA,low,Greater Britain Exhibition of 1899,https://neonatology.net/gallery/exhibitions/greater-britain-exhibition-of-1899/,Sources describe the exhibition and attractions; no total attendance located.,not_found
263,Century Exhibition of Arts and Industries (1900),Adelaide,1900,NA,NA,NA,low,Adelaide - Exhibitions,https://manning.collections.slsa.sa.gov.au/adelaide/exhib/exhib.htm,Local-history index identifies newspaper coverage; no total attendance located.,not_found
264,Canterbury Jubilee Industrial Exhibition,Christchurch,1900,250000,visits/persons,tier_4,medium,An historical survey of the establishment of an orchestra in Christchurch,https://ir.canterbury.ac.nz/bitstream/10092/3407/1/thesis_fulltext.pdf,Thesis reports the exhibition had been visited by around 250000 persons; rounded figure retained.,found
266,Victorian Gold Jubilee Exhibition,Bendigo,1901,NA,NA,NA,low,Victorian Gold Jubilee Exhibition Anniversary,https://prov.vic.gov.au/about-us/our-blog/victorian-gold-jubilee-exhibition-anniversary,Archive post identifies records and dates; no total visits/admissions located.,not_found
270,Bosnische Weihnachts-Ausstellung (1901),Vienna,1901,NA,NA,NA,low,List of world's fairs,https://en.wikipedia.org/wiki/List_of_world%27s_fairs,Only list-level identity sources located; no attendance total found.,not_found
272,Hanoi exhibition (Indo China Exposition Française et Internationale),Hanoi,1902,NA,NA,NA,low,"1902-3, Hanoi VN - Exposition de Hanoi",https://bobdenton.com/1902-hanoi-vn/,Source explicitly reports no firm attendance data and comments that attendance was disappointing.,not_found
275,International Fisheries Exhibition,St. Petersburg,1902,NA,NA,NA,low,"International Fisheries Exhibition (1902 : St. Petersburg, Russia)",https://onlinebooks.library.upenn.edu/webbin/book/lookupname?key=International+Fisheries+Exhibition+%281902+%3A+St.+Petersburg%2C+Russia%29,Catalogue/report records found; no total attendance located.,not_found
278,International Fishery Exposition,Vienna,1902,NA,NA,NA,low,Internationale Fischerei-Ausstellung. Wien 1902,https://www.abebooks.com/Internationale-Fischerei-Ausstellung-Wien-1902-Auchenthaler-Josef/31517585380/bd,Bibliographic and object records identify the fair; no total attendance located.,not_found
279,Wolverhampton Art and Industrial Exhibition,Wolverhampton,1902,NA,NA,NA,low,"Wolverhampton Art and Industrial Exhibition (1902 : Wolverhampton, England)",https://onlinebooks.library.upenn.edu/webbin/who/Wolverhampton%20Art%20and%20Industrial%20Exhibition%20%281902%20%3A%20Wolverhampton%2C%20England%29,Catalogue record found; no total visits/admissions located.,not_found
280,Australian Federal International Exhibition,Melbourne,1903,NA,NA,NA,low,"Australian Federal International Exhibition, 1902-1903",https://neonatology.net/gallery/exhibitions/australian-federal-international-exhibition-1902-1903/,Sources say attendance fell short of expectations but give no total attendance figure.,not_found
282,Cape Town Industrial Exhibition,Cape Town,1904,NA,NA,NA,low,Driehoek Power Station - Heritage,https://www.eskom.co.za/heritage/the-early-years/driehoek-power-station/,Source confirms Cape Town Industrial Exhibition context; no total attendance located.,not_found
285,"Naval, Shipping and Fisheries Exhibition",London,1905,NA,NA,NA,low,"Naval, Shipping and Fisheries Exhibition",https://en.wikipedia.org/wiki/Naval%2C_Shipping_and_Fisheries_Exhibition,Exhibition details and programme found; no total attendance located.,not_found
286,Irish Industrial Exposition (1905),New York City,1905,NA,NA,NA,low,Letter from Theodore Roosevelt to Committee of Irish Industrial Exposition,https://www.theodorerooseveltcenter.org/Research/Digital-Library/Record?libID=o192699,Archival letter confirms exposition committee and date; no total visits/admissions located.,not_found
290,Imperial Austrian Exhibition,London,1906,NA,NA,NA,low,Imperial Austrian Exhibition,https://en.wikipedia.org/wiki/Imperial_Austrian_Exhibition,Accessible sources identify exhibition and dates; no total attendance located.,not_found
293,International Exposition of Textile Industries,Tourcoing,1906,NA,NA,NA,low,NA,NA,No reliable match with total visits/admissions located.,not_found
294,Hygiene Exhibition,Vienna,1906,NA,NA,NA,low,Caution high voltage,https://www.nhm.at/en/__2241,Institutional retrospective confirms Hygiene Exhibition in Vienna's Prater; no total attendance found.,not_found
295,Nordic Marine Motor Exhibition,Bergen,1907,NA,NA,NA,low,NA,NA,No reliable match with total visits/admissions located.,not_found
296,International Maritime Exposition,Bordeaux,1907,NA,NA,NA,low,"Bordeaux Exposition Maritime Internationale, 1907",https://neonatology.net/gallery/exhibitions/bordeaux-exposition-maritime-internationale-1907,Source reports only vague hundreds of thousands of visitors; no integer total available.,not_found
297,World's Pure Food Exposition (1907),Chicago,1907,NA,NA,NA,low,"First Annual World's Pure Food Exposition, Coliseum Chicago, IL Postcard",https://www.cardcow.com/658868/chicago-illinois-first-annual-worlds-pure-food-exposition-coliseum/,Postcard/source confirms event identity; no total attendance located.,not_found
300,Internationale Kunst-Ausstellung (1907),Mannheim,1907,NA,NA,NA,low,Internationale Kunstausstellung Mannheim,https://exhibitions.univie.ac.at/exhibition/116/68690,Institutional exhibition database gives dates/catalogue statistics but no total visits/admissions.,not_found
301,Tokyo Industrial Exhibition,Tokyo,1907,NA,NA,NA,low,Meiji (Tokyo) Industrial Exhibition Ueno Park 1907,https://www.oldtokyo.com/meiji-industrial-exhibition-ueno-park-1907/,Sources identify the event and opening crowds but no total attendance located.,not_found
304,Exposition International de l'Electricite,Marseille,1908,NA,NA,NA,low,NA,NA,No reliable match with total visits/admissions located.,not_found
305,International Mining Exposition (1908),New York City,1908,NA,NA,NA,low,NA,NA,No reliable match with total visits/admissions located.,not_found
306,Exhibition of the Centenary of the Opening of the Ports of Brazil,Rio de Janeiro,1908,1000000,paying visitors,tier_7,low,Exhibition of the Centenary of the Opening of the Ports of Brazil,https://en.wikipedia.org/wiki/Exhibition_of_the_Centenary_of_the_Opening_of_the_Ports_of_Brazil,Source reports over 1 million paying visitors; rounded lower-bound integer retained.,found
307,Scandinavian Fisheries Exhibition,Trondheim,1908,NA,NA,NA,low,NA,NA,No reliable match with total visits/admissions located.,not_found
308,Hispano-French Exposition of 1908,Zaragoza,1908,500000,visitors,tier_7,low,Exposición Hispano-Francesa de 1908,https://es.wikipedia.org/wiki/Exposici%C3%B3n_Hispano-Francesa_de_1908,Source reports more than half a million visitors; rounded lower-bound integer retained.,found
309,Imperial International Exhibition,London,1909,NA,NA,NA,low,NA,NA,No reliable attendance total located in this pass.,not_found
310,Exposition Internationale de l'Est de la France,Nancy,1909,NA,NA,NA,low,NA,NA,No reliable attendance total located in this pass.,not_found
311,Hudson-Fulton Celebration,New York City,1909,4000000,attendance/persons,tier_3,medium,"The Hudson-Fulton Celebration, 1909: Fourth Annual Report",https://upload.wikimedia.org/wikipedia/commons/4/43/Cornell_University_Library_digitization_%28IA_cu31924092228497%29.pdf,Official commission report snippet states attendance over 4000000 persons and possibly 1-2 million more from elsewhere; rounded lower-bound recommendation used.,found
312,National Ecuadorian Exposition,Quito,1909,NA,NA,NA,low,NA,NA,No reliable match with total visits/admissions located.,not_found
