outcome,sample,timing,control_group,event_time,estimate,se,ci_low,ci_high
inventors_per_100k_pop,combined_us_europe,standard_decade,notyettreated,-70,-0.3321459874708633,2.41327196234313,-5.062159033663398,4.397867058721672
inventors_per_100k_pop,combined_us_europe,standard_decade,notyettreated,-60,0.4945788194638449,1.8814885799687824,-3.1931387972749685,4.182296436202658
inventors_per_100k_pop,combined_us_europe,standard_decade,notyettreated,-50,0.3552216302887091,1.4119320018487986,-2.412165093334936,3.122608353912354
inventors_per_100k_pop,combined_us_europe,standard_decade,notyettreated,-40,0.3651875710322724,1.159406131071082,-1.9072484458670482,2.637623587931593
inventors_per_100k_pop,combined_us_europe,standard_decade,notyettreated,-30,1.4099098256336116,0.9022781477390589,-0.3585553439349438,3.1783749952021667
inventors_per_100k_pop,combined_us_europe,standard_decade,notyettreated,-20,0.4491130766376552,0.8385318842243904,-1.19440941644215,2.0926355697174603
inventors_per_100k_pop,combined_us_europe,standard_decade,notyettreated,-10,0,NA,NA,NA
inventors_per_100k_pop,combined_us_europe,standard_decade,notyettreated,0,-1.3871015678944758,1.3985722563295746,-4.128303190300442,1.3541000545114903
inventors_per_100k_pop,combined_us_europe,standard_decade,notyettreated,10,-1.7842522495311213,1.1658990797831066,-4.06941444590601,0.5009099468437677
inventors_per_100k_pop,combined_us_europe,standard_decade,notyettreated,20,-3.8837570788074003,2.2852884222911207,-8.362922386497997,0.5954082288831963
inventors_per_100k_pop,combined_us_europe,standard_decade,notyettreated,30,-4.096683481091849,2.460903812916513,-8.920054954408215,0.7266879922245169
inventors_per_100k_pop,combined_us_europe,standard_decade,notyettreated,40,-4.261601374560427,2.8118392221536603,-9.7728062499816,1.2496035008607471
inventors_per_100k_pop,combined_us_europe,standard_decade,notyettreated,50,-4.334189736144737,3.052502925099564,-10.317095469339883,1.6487159970504086
inventors_per_100k_pop,combined_us_europe,standard_decade,notyettreated,60,-4.91735186135368,3.0319799990527962,-10.860032659497161,1.0253289367898004
inventors_per_100k_pop,combined_us_europe,standard_decade,notyettreated,70,-5.411506906908579,3.0316639557146376,-11.353568260109268,0.5305544462921112
stem_per_100k_pop,combined_us_europe,standard_decade,notyettreated,-70,0.10290452988951229,0.9124887635331325,-1.6855734466354273,1.891382506414452
stem_per_100k_pop,combined_us_europe,standard_decade,notyettreated,-60,0.574854300037222,0.6705914108828359,-0.7395048652931363,1.8892134653675803
stem_per_100k_pop,combined_us_europe,standard_decade,notyettreated,-50,-0.027286365373342933,0.5630817563725501,-1.130926607863541,1.0763538771168553
stem_per_100k_pop,combined_us_europe,standard_decade,notyettreated,-40,0.7051743660577645,0.5351350908054184,-0.3436904119208557,1.7540391440363847
stem_per_100k_pop,combined_us_europe,standard_decade,notyettreated,-30,0.8367326907278129,0.5843859293481677,-0.30866373079459575,1.9821291122502216
stem_per_100k_pop,combined_us_europe,standard_decade,notyettreated,-20,0.14779001225939853,0.47165736650062146,-0.7766584260818195,1.0722384506006166
stem_per_100k_pop,combined_us_europe,standard_decade,notyettreated,-10,0,NA,NA,NA
stem_per_100k_pop,combined_us_europe,standard_decade,notyettreated,0,-0.20829235656854583,0.655486023265193,-1.493044962168324,1.0764602490312325
stem_per_100k_pop,combined_us_europe,standard_decade,notyettreated,10,-0.24981042725402972,0.380519846943791,-0.99562932726386,0.4960084727558006
stem_per_100k_pop,combined_us_europe,standard_decade,notyettreated,20,-1.3092517489667812,0.8766318551057407,-3.027450184974033,0.40894668704047055
stem_per_100k_pop,combined_us_europe,standard_decade,notyettreated,30,-1.3022474391688326,0.9492067894450557,-3.1626927464811416,0.5581978681434765
stem_per_100k_pop,combined_us_europe,standard_decade,notyettreated,40,-1.3797089438240624,1.0283745422391342,-3.3953230466127655,0.6359051589646407
stem_per_100k_pop,combined_us_europe,standard_decade,notyettreated,50,-1.7070591487365618,1.1107452012026888,-3.884119743093832,0.4700014456207082
stem_per_100k_pop,combined_us_europe,standard_decade,notyettreated,60,-1.8805770408576339,1.147575220452525,-4.129824472944582,0.368670391229315
stem_per_100k_pop,combined_us_europe,standard_decade,notyettreated,70,-2.04132346992725,1.094412333116587,-4.18637164283576,0.10372470298126046
n_inventors,combined_us_europe,standard_decade,notyettreated,-70,-10.752815860037963,6.163470673051191,-22.833218379218295,1.327586659142371
n_inventors,combined_us_europe,standard_decade,notyettreated,-60,-9.270005609848354,4.544987240665348,-18.178180601552434,-0.361830618144273
n_inventors,combined_us_europe,standard_decade,notyettreated,-50,-8.651319654581137,4.122903832273922,-16.732211165838024,-0.57042814332425
n_inventors,combined_us_europe,standard_decade,notyettreated,-40,-7.062938399179667,3.257574136663072,-13.447783707039289,-0.6780930913200462
n_inventors,combined_us_europe,standard_decade,notyettreated,-30,-4.662160454560513,3.139614880581986,-10.815805620501205,1.4914847113801795
n_inventors,combined_us_europe,standard_decade,notyettreated,-20,-3.351556245541306,2.0469653358449134,-7.363608303797336,0.660495812714724
n_inventors,combined_us_europe,standard_decade,notyettreated,-10,0,NA,NA,NA
n_inventors,combined_us_europe,standard_decade,notyettreated,0,1.7605360098430118,0.9846488446042518,-0.16937572558132175,3.6904477452673454
n_inventors,combined_us_europe,standard_decade,notyettreated,10,5.453096790203803,2.086882199043458,1.3628076800786255,9.543385900328982
n_inventors,combined_us_europe,standard_decade,notyettreated,20,7.016390651316467,2.3675881619097856,2.375917853973287,11.656863448659646
n_inventors,combined_us_europe,standard_decade,notyettreated,30,12.206060832877577,3.177806815696693,5.977559474112059,18.434562191643096
n_inventors,combined_us_europe,standard_decade,notyettreated,40,19.58261505329448,4.921522596230836,9.93643076468204,29.228799341906917
n_inventors,combined_us_europe,standard_decade,notyettreated,50,20.75707193153964,6.078257011704383,8.843688188599051,32.67045567448023
n_inventors,combined_us_europe,standard_decade,notyettreated,60,22.060434436364414,5.350918106908137,11.572634946824467,32.54823392590436
n_inventors,combined_us_europe,standard_decade,notyettreated,70,12.48445012894102,4.212034642401492,4.228862229834096,20.740038028047945
log1p_n_inventors,combined_us_europe,standard_decade,notyettreated,-70,-0.8394782493283655,0.12610992490997044,-1.0866537021519076,-0.5923027965048234
log1p_n_inventors,combined_us_europe,standard_decade,notyettreated,-60,-0.5562406884856926,0.09680154826045126,-0.7459717230761771,-0.3665096538952082
log1p_n_inventors,combined_us_europe,standard_decade,notyettreated,-50,-0.49604214832469684,0.0923962859825201,-0.6771388688504363,-0.31494542779895746
log1p_n_inventors,combined_us_europe,standard_decade,notyettreated,-40,-0.3502692484512916,0.0735066264032458,-0.49434223620165335,-0.20619626070092983
log1p_n_inventors,combined_us_europe,standard_decade,notyettreated,-30,-0.17619836921629878,0.08140383190767206,-0.335749879755336,-0.01664685867726154
log1p_n_inventors,combined_us_europe,standard_decade,notyettreated,-20,-0.021408627952244595,0.07101459029671563,-0.16059722493380724,0.11777996902931803
log1p_n_inventors,combined_us_europe,standard_decade,notyettreated,-10,0,NA,NA,NA
log1p_n_inventors,combined_us_europe,standard_decade,notyettreated,0,0.058995686438751894,0.07321720857773241,-0.08451004237360363,0.2025014152511074
log1p_n_inventors,combined_us_europe,standard_decade,notyettreated,10,0.2232344999985426,0.06399630170534072,0.0978017486560748,0.3486672513410104
log1p_n_inventors,combined_us_europe,standard_decade,notyettreated,20,0.2194794537793115,0.07477403007774656,0.07292235482692824,0.3660365527316948
log1p_n_inventors,combined_us_europe,standard_decade,notyettreated,30,0.43564420965178163,0.07926156093672516,0.2802915502158003,0.5909968690877629
log1p_n_inventors,combined_us_europe,standard_decade,notyettreated,40,0.5128745785650453,0.093262618374405,0.3300798465512115,0.695669310578879
log1p_n_inventors,combined_us_europe,standard_decade,notyettreated,50,0.6116499172924272,0.09029344065268925,0.4346747736131563,0.7886250609716982
log1p_n_inventors,combined_us_europe,standard_decade,notyettreated,60,0.5951145002259111,0.10913846687206352,0.38120310515666656,0.8090258952951556
log1p_n_inventors,combined_us_europe,standard_decade,notyettreated,70,0.31008381020618087,0.12928318504022532,0.05668876752733926,0.5634788528850225
n_stem,combined_us_europe,standard_decade,notyettreated,-70,-4.26532967319603,2.0602215931816104,-8.303363995831987,-0.2272953505600741
n_stem,combined_us_europe,standard_decade,notyettreated,-60,-3.5605779128171107,1.568359585911414,-6.634562701203482,-0.48659312443073954
n_stem,combined_us_europe,standard_decade,notyettreated,-50,-3.651247106052245,1.5625779076827875,-6.713899805110508,-0.5885944069939817
n_stem,combined_us_europe,standard_decade,notyettreated,-40,-2.511478869135756,1.2522211610004104,-4.96583234469656,-0.05712539357495183
n_stem,combined_us_europe,standard_decade,notyettreated,-30,-1.3592704208425683,0.7426538375331642,-2.81487194240757,0.09633110072243345
n_stem,combined_us_europe,standard_decade,notyettreated,-20,-1.1155198607695906,0.7162736227838571,-2.5194161614259505,0.2883764398867692
n_stem,combined_us_europe,standard_decade,notyettreated,-10,0,NA,NA,NA
n_stem,combined_us_europe,standard_decade,notyettreated,0,1.037043794573862,0.5485509460063068,-0.038116059598499286,2.112203648746223
n_stem,combined_us_europe,standard_decade,notyettreated,10,2.531090805788488,0.9735728797792295,0.6228879614211984,4.439293650155778
n_stem,combined_us_europe,standard_decade,notyettreated,20,3.0262201924145176,1.100335227951919,0.8695631456287565,5.182877239200279
n_stem,combined_us_europe,standard_decade,notyettreated,30,4.84011649554387,1.3879403244438588,2.1197534596339067,7.560479531453833
n_stem,combined_us_europe,standard_decade,notyettreated,40,7.650570077403776,2.4817195799629044,2.7863997006764833,12.514740454131069
n_stem,combined_us_europe,standard_decade,notyettreated,50,7.436973607666409,2.045569287387114,3.427657804387665,11.446289410945152
n_stem,combined_us_europe,standard_decade,notyettreated,60,7.200372088764102,1.9623886522755154,3.3540903303040914,11.046653847224112
n_stem,combined_us_europe,standard_decade,notyettreated,70,3.163339156476167,1.4669531140569105,0.28811105292462225,6.038567260027712
