sample,timing,cohort,n_units
combined_us_europe,standard_decade,0,8014
combined_us_europe,standard_decade,1820,2
combined_us_europe,standard_decade,1840,3
combined_us_europe,standard_decade,1850,6
combined_us_europe,standard_decade,1860,11
combined_us_europe,standard_decade,1870,6
combined_us_europe,standard_decade,1880,19
combined_us_europe,standard_decade,1890,13
combined_us_europe,alternative_decade,0,8014
combined_us_europe,alternative_decade,1830,2
combined_us_europe,alternative_decade,1840,1
combined_us_europe,alternative_decade,1850,6
combined_us_europe,alternative_decade,1860,9
combined_us_europe,alternative_decade,1870,10
combined_us_europe,alternative_decade,1880,16
combined_us_europe,alternative_decade,1890,13
combined_us_europe,alternative_decade,1900,3
europe_city_only,standard_decade,0,4884
europe_city_only,standard_decade,1820,1
europe_city_only,standard_decade,1840,3
europe_city_only,standard_decade,1850,5
europe_city_only,standard_decade,1860,11
europe_city_only,standard_decade,1870,6
europe_city_only,standard_decade,1880,13
europe_city_only,standard_decade,1890,9
europe_city_only,alternative_decade,0,4884
europe_city_only,alternative_decade,1830,1
europe_city_only,alternative_decade,1840,1
europe_city_only,alternative_decade,1850,6
europe_city_only,alternative_decade,1860,8
europe_city_only,alternative_decade,1870,10
europe_city_only,alternative_decade,1880,12
europe_city_only,alternative_decade,1890,9
europe_city_only,alternative_decade,1900,1
