outcome,sample,timing,control_group,estimate,se,p_value,ci_low,ci_high
inventors_per_100k_pop,combined_us_europe,standard_decade,notyettreated,-5.248866520553581,3.900321014005253,0.1783823682756891,-12.893495708003876,2.3957626668967142
stem_per_100k_pop,combined_us_europe,standard_decade,notyettreated,-1.8732262218148914,1.4515137295460998,0.19686569664671172,-4.718193131725247,0.971740688095464
n_inventors,combined_us_europe,standard_decade,notyettreated,15.317295685524261,5.458422933718703,0.005013329421664103,4.618786735435604,26.015804635612916
log1p_n_inventors,combined_us_europe,standard_decade,notyettreated,0.3203821843721379,0.08209331181566648,9.514178371139437e-5,0.1594792932134316,0.4812850755308442
n_stem,combined_us_europe,standard_decade,notyettreated,5.586829329027347,2.4968698943217094,0.025251510784412234,0.6929643361567974,10.480694321897897
log1p_n_stem,combined_us_europe,standard_decade,notyettreated,0.26352639614361945,0.08506820824062873,0.0019494671078701398,0.09679270799198714,0.43026008429525175
inventors_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,-3.641101665825192,2.103773313755113,0.08349670220494332,-7.764497360785214,0.48229402913482966
stem_per_100k_pop,combined_us_europe,alternative_decade,notyettreated,-1.103352329895003,0.57548542283974,0.055205538168930035,-2.2313037586608937,0.024599098870887515
n_inventors,combined_us_europe,alternative_decade,notyettreated,15.692911663846584,5.7082517614788,0.00597477580112038,4.504738211348137,26.88108511634503
log1p_n_inventors,combined_us_europe,alternative_decade,notyettreated,0.33600874229916816,0.0820863413856486,4.2517138831854595e-5,0.1751195131832969,0.49689797141503944
n_stem,combined_us_europe,alternative_decade,notyettreated,5.774047168446642,2.6833603856319286,0.031413336238562684,0.5146608126080618,11.033433524285222
log1p_n_stem,combined_us_europe,alternative_decade,notyettreated,0.27896124365731506,0.08960235989855796,0.0018499234639559603,0.10334061825614146,0.45458186905848863
inventors_per_100k_pop,europe_city_only,standard_decade,notyettreated,-2.903686064211968,1.23417505760899,0.018635942004544326,-5.322669177125588,-0.4847029512983476
stem_per_100k_pop,europe_city_only,standard_decade,notyettreated,-1.0057388547676362,0.3527610243053754,0.004357529685626194,-1.6971504624061722,-0.31432724712910043
n_inventors,europe_city_only,standard_decade,notyettreated,11.09362229312147,2.866783898592077,1.0896489312983704e-4,5.474725851880999,16.712518734361943
log1p_n_inventors,europe_city_only,standard_decade,notyettreated,0.2439919514467713,0.07713605493884164,0.001560785708124568,0.09280528376664168,0.3951786191269009
n_stem,europe_city_only,standard_decade,notyettreated,3.3430905910015642,0.8978790238112818,1.966203468999339e-4,1.583247704331452,5.102933477671677
log1p_n_stem,europe_city_only,standard_decade,notyettreated,0.18340097385902632,0.07692431101395499,0.017117487615322835,0.03262932427167456,0.3341726234463781
inventors_per_100k_pop,europe_city_only,alternative_decade,notyettreated,-2.830644701255883,1.1901547378001187,0.017388718352713717,-5.163347987344116,-0.49794141516765045
stem_per_100k_pop,europe_city_only,alternative_decade,notyettreated,-1.005200024445817,0.39724791261871156,0.011392936333054049,-1.7838059331784917,-0.22659411571314236
n_inventors,europe_city_only,alternative_decade,notyettreated,11.083397538918563,2.778043385942744,6.617319813884137e-5,5.638432502470785,16.52836257536634
log1p_n_inventors,europe_city_only,alternative_decade,notyettreated,0.24714513920795703,0.08563651220366968,0.00390198722562074,0.07929757528876447,0.4149927031271496
n_stem,europe_city_only,alternative_decade,notyettreated,3.3409165455606824,0.940464448175042,3.8171766945827024e-4,1.4976062271376,5.184226863983765
log1p_n_stem,europe_city_only,alternative_decade,notyettreated,0.16098728606463478,0.07685197748330817,0.03619136309269111,0.010357410197350758,0.3116171619319188
