outcome,sample,timing,control_spec,control_group,event_time,estimate,se,ci_low,ci_high
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,-70,-0.36196191844084796,2.4167688454372684,-5.098828855497894,4.374905018616198
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,-60,0.46705816703933745,1.8868743234150183,-3.231215506854098,4.165331840932773
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,-50,0.33179398560691586,1.3632463174915959,-2.340168796676612,3.0037567678904438
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,-40,0.35004978959710936,1.2038664333494398,-2.0095284197677925,2.709627998962011
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,-30,1.4050169332691789,0.8451477632373343,-0.2514726826759963,3.061506549214354
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,-20,0.45449635215878337,0.8148045817749878,-1.142520628120193,2.0515133324377595
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,-10,0,NA,NA,NA
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,0,-1.381305282498226,1.35661445750323,-4.040269619204556,1.2776590542081045
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,10,-1.7847514648322311,1.2142722771669352,-4.164725128079424,0.5952221984149617
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,20,-3.886813057374032,2.495812467151311,-8.7786054929906,1.0049793782425374
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,30,-4.108884310353451,2.549441705785071,-9.10579005369219,0.8880214329852878
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,40,-4.2701112448302005,2.933414819464517,-10.019604290980654,1.4793818013202529
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,50,-4.355271437227662,2.998835774520511,-10.232989555287864,1.5224466808325392
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,60,-4.9344102740568125,3.0588966999143334,-10.929847805888906,1.0610272577752813
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,70,-5.443478206127004,2.9948137299944326,-11.313313116916092,0.42635670466208353
stem_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,-70,0.07890699183218913,0.8624892883669805,-1.6115720133670925,1.769385997031471
stem_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,-60,0.5552198562370723,0.6858900401960699,-0.7891246225472248,1.8995643350213693
stem_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,-50,-0.044201401543689484,0.5618826384593479,-1.1454913729240115,1.0570885698366324
stem_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,-40,0.6898477654206094,0.5503418042572187,-0.3888221709235391,1.768517701764758
stem_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,-30,0.8336071643003207,0.546044021220447,-0.23663911729175546,1.9038534458923968
stem_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,-20,0.15288922009307787,0.44094228576219796,-0.71135766000083,1.0171361001869859
stem_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,-10,0,NA,NA,NA
stem_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,0,-0.20491702271714296,0.6647666398744523,-1.5078596368710695,1.0980255914367834
stem_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,10,-0.2477553950085749,0.3874181959438341,-1.0070950590584897,0.5115842690413399
stem_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,20,-1.3074313138020863,0.8798883529949273,-3.0320124856721438,0.4171498580679711
stem_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,30,-1.3132910404194365,0.9581915145929081,-3.191346409021536,0.5647643281826633
stem_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,40,-1.3917278266786632,1.0411771222926294,-3.4324349863722166,0.6489793330148901
stem_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,50,-1.7226979948243524,1.1219448137066101,-3.9217098296893083,0.4763138400406035
stem_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,60,-1.897024080394818,1.128724342104599,-4.109323790919832,0.31527563013019577
