outcome,sample,timing,control_spec,control_group,ok,n_rows,n_units,n_treated_units,n_control_units,n_treated_cohorts,n_first_period_treated_units_dropped,min_decade,max_decade,formula_vars,error
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,TRUE,137258,8074,60,8014,7,0,1800,1960,population_baseline_1800,NA
stem_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,TRUE,137258,8074,60,8014,7,0,1800,1960,population_baseline_1800,NA
n_inventors,combined_us_europe,standard_decade,population_level,notyettreated,TRUE,137258,8074,60,8014,7,0,1800,1960,population_baseline_1800,NA
log1p_n_inventors,combined_us_europe,standard_decade,population_level,notyettreated,TRUE,137258,8074,60,8014,7,0,1800,1960,population_baseline_1800,NA
n_stem,combined_us_europe,standard_decade,population_level,notyettreated,TRUE,137258,8074,60,8014,7,0,1800,1960,population_baseline_1800,NA
log1p_n_stem,combined_us_europe,standard_decade,population_level,notyettreated,TRUE,137258,8074,60,8014,7,0,1800,1960,population_baseline_1800,NA
inventors_per_100k_pop,combined_us_europe,alternative_decade,population_level,notyettreated,TRUE,137258,8074,60,8014,8,0,1800,1960,population_baseline_1800,NA
stem_per_100k_pop,combined_us_europe,alternative_decade,population_level,notyettreated,TRUE,137258,8074,60,8014,8,0,1800,1960,population_baseline_1800,NA
n_inventors,combined_us_europe,alternative_decade,population_level,notyettreated,TRUE,137258,8074,60,8014,8,0,1800,1960,population_baseline_1800,NA
log1p_n_inventors,combined_us_europe,alternative_decade,population_level,notyettreated,TRUE,137258,8074,60,8014,8,0,1800,1960,population_baseline_1800,NA
n_stem,combined_us_europe,alternative_decade,population_level,notyettreated,TRUE,137258,8074,60,8014,8,0,1800,1960,population_baseline_1800,NA
log1p_n_stem,combined_us_europe,alternative_decade,population_level,notyettreated,TRUE,137258,8074,60,8014,8,0,1800,1960,population_baseline_1800,NA
inventors_per_100k_pop,europe_city_only,standard_decade,population_level,notyettreated,TRUE,83844,4932,48,4884,7,0,1800,1960,population_baseline_1800,NA
stem_per_100k_pop,europe_city_only,standard_decade,population_level,notyettreated,TRUE,83844,4932,48,4884,7,0,1800,1960,population_baseline_1800,NA
n_inventors,europe_city_only,standard_decade,population_level,notyettreated,TRUE,83844,4932,48,4884,7,0,1800,1960,population_baseline_1800,NA
log1p_n_inventors,europe_city_only,standard_decade,population_level,notyettreated,TRUE,83844,4932,48,4884,7,0,1800,1960,population_baseline_1800,NA
