outcome,sample,timing,control_spec,control_group,estimate,se,p_value,ci_low,ci_high
inventors_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,-5.271002412649639,3.9327868387013565,0.18015706903280893,-12.979264616504299,2.43725979120502
stem_per_100k_pop,combined_us_europe,standard_decade,population_level,notyettreated,-1.8878733748631158,1.447078892156495,0.19202573287801794,-4.724148003489846,0.9484012537636144
n_inventors,combined_us_europe,standard_decade,population_level,notyettreated,15.327594462298542,5.582889721498579,0.0060426329580978155,4.385130608161328,26.270058316435758
log1p_n_inventors,combined_us_europe,standard_decade,population_level,notyettreated,0.3288382143785672,0.07496426714460361,1.1513652498740257e-5,0.18190825077514414,0.4757681779819902
n_stem,combined_us_europe,standard_decade,population_level,notyettreated,5.600151164791871,2.5792324846587897,0.029912495447126153,0.5448554948606432,10.655446834723099
log1p_n_stem,combined_us_europe,standard_decade,population_level,notyettreated,0.26997124737170775,0.08175847069032309,9.59780745834804e-4,0.1097246448186745,0.430217849924741
inventors_per_100k_pop,combined_us_europe,alternative_decade,population_level,notyettreated,-3.6739616250993437,1.9544713186630354,0.06013907674452601,-7.504725409678892,0.15680215948020537
stem_per_100k_pop,combined_us_europe,alternative_decade,population_level,notyettreated,-1.1250755529201322,0.5529122570373919,0.041869236573724544,-2.2087835767134205,-0.04136752912684405
n_inventors,combined_us_europe,alternative_decade,population_level,notyettreated,15.719817557857834,5.803190731164389,0.006752231522854757,4.34556372477563,27.094071390940037
log1p_n_inventors,combined_us_europe,alternative_decade,population_level,notyettreated,0.34916107539527286,0.08136178949925188,1.7750011455097692e-5,0.18969196797673918,0.5086301828138066
n_stem,combined_us_europe,alternative_decade,population_level,notyettreated,5.799730022327914,2.696216536007436,0.03147127449529541,0.51514561175334,11.084314432902488
log1p_n_stem,combined_us_europe,alternative_decade,population_level,notyettreated,0.29141032262474365,0.09062990507200538,0.0013026825006785536,0.11377570868361309,0.4690449365658742
