unit_type,unit_id,event_year,g_std,g_shift,first_fair_name,first_fair_city,first_fair_country,n_fairs_1800_1900,fair_years_1800_1900,fair_names_1800_1900
europe_city,GEONAMES_2618425,1872,1870,1870,Second Scandinavian Exhibition of Arts and Industry,Copenhagen,Denmark,2,1872,Second Scandinavian Exhibition of Arts and Industry | The Nordic Exhibition of 1888 (Nordiske Industri-Landbrugs og Kunstudstilling)
europe_city,GEONAMES_2643123,1857,1850,1860,"Art Treasures Exhibition at the Royal Botanical Gardens, Stretford",Manchester,United Kingdom,3,1857,"Art Treasures Exhibition at the Royal Botanical Gardens, Stretford | Royal Jubilee Exhibition | British and Colonial Exhibition"
europe_city,GEONAMES_2643743,1849,1840,1850,First Exhibition of British Manufacturers (1849),London,United Kingdom,20,1849,"First Exhibition of British Manufacturers (1849) | The Great Exhibition of the Works of Industry of All Nations – The Crystal Palace (typically listed as the ""first world's fair"") | 1862 International Exhibition | First Annual International Exhibition (1871) | Second Annual International Exhibition (1872) | Third Annual International Exhibition (1873) | Fourth Annual International Exhibition (1874) | London Loan Collection of Scientific Apparatus | International Fisheries Exhibition | International Medical and Sanitary Exhibition | Crystal Palace Electric Exhibition | International Electric Exhibition | London International Universal Exhibition | International Inventions Exhibition | Colonial and Indian Exhibition (1886) | American Exhibition | International Exhibition of Mining and Metallurgy | Crystal Palace Electrical Exhibition | Imperial Victorian Exhibition | Greater Britain Exhibition"
europe_city,GEONAMES_2644210,1886,1880,1880,"International Exhibition of Navigation, Commerce and Industry (1886)",Liverpool,United Kingdom,1,1886,"International Exhibition of Navigation, Commerce and Industry (1886)"
europe_city,GEONAMES_2648579,1880,1880,1880,Glasgow Electrical Exhibition,Glasgow,United Kingdom,2,1880,Glasgow Electrical Exhibition | International Exhibition (1888)
europe_city,GEONAMES_2650225,1882,1880,1880,International Fisheries Exhibition,Edinburgh,United Kingdom,4,1882,"International Fisheries Exhibition | First International Forestry Exhibition | International Exhibition of Industry, Science and Art | International Exhibition of Science, Art & Industry"
europe_city,GEONAMES_2655603,1849,1840,1850,Exhibition of Industrial Arts and Manufacturers,Birmingham,United Kingdom,1,1849,Exhibition of Industrial Arts and Manufacturers
europe_city,GEONAMES_2673730,1866,1860,1860,Scandinavian Industrial Exhibition,Stockholm,Sweden,2,1866,Scandinavian Industrial Exhibition | General Art and Industrial Exposition of Stockholm
europe_city,GEONAMES_2692969,1896,1890,1890,Nordic Industrial and Handicraft Exhibition,Malmö,Sweden,1,1896,Nordic Industrial and Handicraft Exhibition
europe_city,GEONAMES_2711537,1867,1860,1870,International Maritime Exhibition,Gothenburg,Sweden,1,1867,International Maritime Exhibition
