outcome,sample,timing,control_group,event_time,estimate,se,ci_low,ci_high
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,-70,-2.68165356056272,2.1276376121670846,-6.851823280410207,1.488516159284766
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,-60,-1.211502320775867,1.9954664591265008,-5.122616580663808,2.6996119391120743
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,-50,-0.63162535105405615,1.8625271499944884,-4.282178565043253,3.0189278629351413
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,-40,-0.930251874045725,1.4752237513731619,-3.821690426737122,1.9611866786456722
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,-30,0.48898254953655534,1.3722384920798623,-2.200604894939975,3.1785699940130856
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,-20,0.41306751413581344,1.3633306177869273,-2.259060496726564,3.085195524998191
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,-10,0,NA,NA,NA
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,0,-1.2901358802717924,1.101392456345054,-3.448865094708098,0.8685933341645133
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,10,-0.9125007390029033,0.9285292703204515,-2.7324181088309882,0.9074166308251815
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,20,-2.846352247995042,1.3214023435737194,-5.436300841399532,-0.2564036545905517
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,30,-3.267030730408539,1.2688348063823613,-5.7539469509179675,-0.7801145098991107
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,40,-3.365807035401658,1.4806485918599843,-6.267878275447227,-0.4637357953560888
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,50,-3.4894616735884383,1.4969945195245173,-6.423570931856492,-0.5553524153203844
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,60,-4.429608139471809,1.5443298167990944,-7.456494580398035,-1.4027216985455842
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,70,-4.883981824005791,1.5466909432084084,-7.915496072694271,-1.8524675753173105
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,-70,-0.7953626934796096,0.8539744828034916,-2.469152679774453,0.8784272928152339
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,-60,-0.19260613428036638,0.7350642156228955,-1.6333319969012416,1.2481197283405088
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,-50,0.06533486118785975,0.9046097019953276,-1.7077001547229824,1.8383698770987018
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,-40,0.21075029833100797,0.8096445452260204,-1.3761530103119919,1.7976536069740077
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,-30,0.5672613123312462,0.7760351319664515,-0.9537675463229986,2.0882901709854913
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,-20,-0.10555284731456048,0.7718042979681726,-1.6182892713321786,1.4071835767030578
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,-10,0,NA,NA,NA
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,0,-0.09173616719579038,0.5975399867857324,-1.2629145412958258,1.079442206904245
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,10,0.14677118610260353,0.567682961507114,-0.9658874184513397,1.2594297906565468
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,20,-0.68227768552669,0.5197994594289195,-1.701084626007372,0.3365292549539921
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,30,-0.9330084902402151,0.41359609052078744,-1.7436568276609585,-0.12236015281947177
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,40,-0.9274822144365831,0.5102173939974581,-1.927508306671601,0.07254387779843485
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,50,-1.2696313683169793,0.47535307522600667,-2.2013233957599523,-0.33793934087400623
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,60,-1.3492340374278617,0.45180888876012215,-2.2347794593977013,-0.4636886154580223
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,70,-1.8961859895557487,0.5395396402068563,-2.953683684361187,-0.8386882947503103
n_inventors,europe_lau,standard_decade,notyettreated,-70,-12.28048585733425,5.43908091748492,-22.941084455604695,-1.6198872590638072
n_inventors,europe_lau,standard_decade,notyettreated,-60,-10.899518850365984,5.446549074889614,-21.57475503714963,-0.2242826635823416
n_inventors,europe_lau,standard_decade,notyettreated,-50,-10.384024946197918,5.303210516186731,-20.778317557923913,0.010267665528074232
n_inventors,europe_lau,standard_decade,notyettreated,-40,-8.916997413526154,4.00623794925194,-16.769223794059954,-1.0647710329923523
n_inventors,europe_lau,standard_decade,notyettreated,-30,-6.7169961210612215,4.397217993918657,-15.335543389141788,1.9015511470193456
n_inventors,europe_lau,standard_decade,notyettreated,-20,-5.0071221675690625,2.7559510115932118,-10.408786150291757,0.39454181515363285
n_inventors,europe_lau,standard_decade,notyettreated,-10,0,NA,NA,NA
n_inventors,europe_lau,standard_decade,notyettreated,0,1.4622266569294438,1.2840663361401399,-1.0545433619052302,3.978996675764118
n_inventors,europe_lau,standard_decade,notyettreated,10,5.884393034870436,2.851834452912695,0.2947975071615536,11.473988562579319
n_inventors,europe_lau,standard_decade,notyettreated,20,7.883778157550025,3.4251372924691608,1.1705090643104699,14.59704725078958
n_inventors,europe_lau,standard_decade,notyettreated,30,9.386820234806551,3.38103817749655,2.759985406913313,16.01365506269979
n_inventors,europe_lau,standard_decade,notyettreated,40,17.307852580543805,5.060607311323585,7.38906225034958,27.22664291073803
n_inventors,europe_lau,standard_decade,notyettreated,50,19.880823087904044,8.599046367955385,3.026692206711491,36.734953969096594
n_inventors,europe_lau,standard_decade,notyettreated,60,19.841655488437354,6.802532017122336,6.508692734877576,33.17461824199713
n_inventors,europe_lau,standard_decade,notyettreated,70,13.028669269346947,5.006544527525286,3.215841995397387,22.841496543296508
log1p_n_inventors,europe_lau,standard_decade,notyettreated,-70,-0.7356930274656566,0.10833021584371777,-0.9480202505193434,-0.5233658044119698
log1p_n_inventors,europe_lau,standard_decade,notyettreated,-60,-0.48077854441466095,0.10302286869846568,-0.6827033670636536,-0.27885372176566825
log1p_n_inventors,europe_lau,standard_decade,notyettreated,-50,-0.3856652171958149,0.09312716846401707,-0.5681944673852883,-0.20313596700634146
log1p_n_inventors,europe_lau,standard_decade,notyettreated,-40,-0.3084700713759744,0.0767090691155182,-0.4588198468423901,-0.1581202959095587
log1p_n_inventors,europe_lau,standard_decade,notyettreated,-30,-0.1917089534748457,0.09660888920510817,-0.3810623763168577,-0.0023555306328336967
log1p_n_inventors,europe_lau,standard_decade,notyettreated,-20,-0.05702345771569936,0.07864340584503114,-0.2111645331719604,0.09711761774056168
log1p_n_inventors,europe_lau,standard_decade,notyettreated,-10,0,NA,NA,NA
log1p_n_inventors,europe_lau,standard_decade,notyettreated,0,-0.047099692946988674,0.08663300656554858,-0.2169003858154639,0.12270099992148653
log1p_n_inventors,europe_lau,standard_decade,notyettreated,10,0.21012294127104716,0.07641374871545624,0.060351993788752945,0.3598938887533414
log1p_n_inventors,europe_lau,standard_decade,notyettreated,20,0.17675600782289289,0.08459618942287588,0.010947476554056174,0.34256453909172957
log1p_n_inventors,europe_lau,standard_decade,notyettreated,30,0.24273261671787222,0.08428773019247805,0.07752866554061524,0.4079365678951292
log1p_n_inventors,europe_lau,standard_decade,notyettreated,40,0.3644840807605602,0.09708561894104091,0.17419626763612003,0.5547718938850004
log1p_n_inventors,europe_lau,standard_decade,notyettreated,50,0.4753039585916134,0.08691959866370072,0.30494154521076,0.6456663719724668
log1p_n_inventors,europe_lau,standard_decade,notyettreated,60,0.36413781136798085,0.11658699235214419,0.13562730635777823,0.5926483163781835
log1p_n_inventors,europe_lau,standard_decade,notyettreated,70,0.23881355360868456,0.13161670796602434,-0.019155194004723153,0.49678230122209227
n_stem,europe_lau,standard_decade,notyettreated,-70,-4.5847209574122765,1.7884482158421102,-8.090079460462812,-1.0793624543617404
n_stem,europe_lau,standard_decade,notyettreated,-60,-3.766106381495979,1.8286964029103745,-7.350351331200313,-0.18186143179164516
n_stem,europe_lau,standard_decade,notyettreated,-50,-4.118274308732802,1.8291952357498962,-7.703496970802599,-0.5330516466630062
n_stem,europe_lau,standard_decade,notyettreated,-40,-2.975895097143752,1.5768620978141359,-6.066544808859458,0.11475461457195424
n_stem,europe_lau,standard_decade,notyettreated,-30,-1.928697693373871,0.9269694465364435,-3.7455578085853003,-0.11183757816244189
n_stem,europe_lau,standard_decade,notyettreated,-20,-1.7701934339583658,1.0718105630336683,-3.870942137504356,0.33055526958762393
n_stem,europe_lau,standard_decade,notyettreated,-10,0,NA,NA,NA
n_stem,europe_lau,standard_decade,notyettreated,0,0.7011036153655661,0.6780905338152278,-0.6279538309122803,2.0301610616434127
n_stem,europe_lau,standard_decade,notyettreated,10,2.8085590591414524,1.2743411067416943,0.31085048992773157,5.306267628355173
n_stem,europe_lau,standard_decade,notyettreated,20,3.078791631278526,1.3061732938832564,0.5186919752673438,5.638891287289709
n_stem,europe_lau,standard_decade,notyettreated,30,2.7852847785426236,1.1425525940784844,0.5458816941487941,5.024687862936453
n_stem,europe_lau,standard_decade,notyettreated,40,5.3708489706939995,1.7666818902635606,1.908152465777421,8.833545475610578
n_stem,europe_lau,standard_decade,notyettreated,50,5.806609203019622,2.4950097207850273,0.9163901502809688,10.696828255758277
n_stem,europe_lau,standard_decade,notyettreated,60,5.673507082101688,2.3901581682017534,0.9887970724262516,10.358217091777124
n_stem,europe_lau,standard_decade,notyettreated,70,2.4390618525063137,1.8229327389843368,-1.1338863159029864,6.012010020915614
log1p_n_stem,europe_lau,standard_decade,notyettreated,-70,-0.6039339744909039,0.10761929978619152,-0.8148678020718393,-0.39300014690996854
log1p_n_stem,europe_lau,standard_decade,notyettreated,-60,-0.39660235556935985,0.10424441222825842,-0.6009214035367464,-0.19228330760197335
log1p_n_stem,europe_lau,standard_decade,notyettreated,-50,-0.38705181381013987,0.11117844936092688,-0.6049615745575565,-0.16914205306272317
log1p_n_stem,europe_lau,standard_decade,notyettreated,-40,-0.1865860586682948,0.08987607622167433,-0.3627431680627765,-0.010428949273813132
log1p_n_stem,europe_lau,standard_decade,notyettreated,-30,-0.16361746115803308,0.10464555942579211,-0.3687227576325856,0.04148783531651945
log1p_n_stem,europe_lau,standard_decade,notyettreated,-20,-0.09041909721463186,0.10347783173976983,-0.29323564742458075,0.11239745299531702
log1p_n_stem,europe_lau,standard_decade,notyettreated,-10,0,NA,NA,NA
log1p_n_stem,europe_lau,standard_decade,notyettreated,0,0.019607613861414006,0.10726280674835341,-0.19062748736535867,0.2298427150881867
log1p_n_stem,europe_lau,standard_decade,notyettreated,10,0.2331302891733902,0.0951114750074368,0.04671179815881407,0.4195487801879664
