sample,timing,cohort,n_units
europe_lau,standard_decade,0,1661
europe_lau,standard_decade,1800,1
europe_lau,standard_decade,1820,1
europe_lau,standard_decade,1840,1
europe_lau,standard_decade,1850,6
europe_lau,standard_decade,1860,12
europe_lau,standard_decade,1870,4
europe_lau,standard_decade,1880,10
europe_lau,standard_decade,1890,9
europe_lau,alternative_decade,0,1661
europe_lau,alternative_decade,1800,1
europe_lau,alternative_decade,1830,1
europe_lau,alternative_decade,1840,1
europe_lau,alternative_decade,1850,4
europe_lau,alternative_decade,1860,9
europe_lau,alternative_decade,1870,9
europe_lau,alternative_decade,1880,9
europe_lau,alternative_decade,1890,9
europe_lau,alternative_decade,1900,1
