outcome,sample,timing,control_group,ok,n_rows,n_units,n_treated_units,n_control_units,n_treated_cohorts,n_first_period_treated_units_dropped,min_decade,max_decade,error
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,NA
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,NA
n_inventors,europe_lau,standard_decade,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,NA
log1p_n_inventors,europe_lau,standard_decade,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,NA
n_stem,europe_lau,standard_decade,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,NA
log1p_n_stem,europe_lau,standard_decade,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,NA
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,NA
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,NA
n_inventors,europe_lau,alternative_decade,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,NA
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,NA
n_stem,europe_lau,alternative_decade,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,NA
log1p_n_stem,europe_lau,alternative_decade,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,NA
