outcome,sample,timing,control_group,estimate,se,p_value,ci_low,ci_high
inventors_per_100k_pop,europe_lau,standard_decade,notyettreated,-3.5324377319539932,1.2819145067054785,0.005858541499626169,-6.044990165096731,-1.0198852988112557
stem_per_100k_pop,europe_lau,standard_decade,notyettreated,-1.1298072205141636,0.44154543732526114,0.010504731811751267,-1.9952362776716754,-0.26437816335665176
n_inventors,europe_lau,standard_decade,notyettreated,12.070679011349087,3.3941046010088063,3.7601979466028723e-4,5.418233993371827,18.723124029326346
log1p_n_inventors,europe_lau,standard_decade,notyettreated,0.18274831278824832,0.07878115145798917,0.020357334652037595,0.028337255930589555,0.3371593696459071
n_stem,europe_lau,standard_decade,notyettreated,3.148961532476968,0.8822223557695714,3.578662452428105e-4,1.4198057151686083,4.878117349785328
log1p_n_stem,europe_lau,standard_decade,notyettreated,0.16877146223382178,0.07938535492605454,0.03350514999690324,0.013176166578754867,0.3243667578888887
inventors_per_100k_pop,europe_lau,alternative_decade,notyettreated,-2.7972653794082523,1.379826000106216,0.04263588012436359,-5.501724339616436,-0.09280641920006927
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,-0.7992845383361192,0.4932600345611442,0.10514377806396857,-1.7660742060759618,0.16750512940372342
n_inventors,europe_lau,alternative_decade,notyettreated,11.63847873236004,2.93999012380767,7.536527871598864e-5,5.876098089697007,17.400859375023074
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,0.23041386188512328,0.08584244821872342,0.007271484272113993,0.0621626633764254,0.39866506039382116
n_stem,europe_lau,alternative_decade,notyettreated,2.770812741204267,0.7718784274403272,3.310575121158177e-4,1.2579310234212258,4.283694458987308
log1p_n_stem,europe_lau,alternative_decade,notyettreated,0.18797634221444406,0.08388591043255242,0.02503532960345578,0.023559957766641326,0.3523927266622468
