outcome,sample,timing,control_spec,control_group,event_time,estimate,se,ci_low,ci_high
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,-70,-2.5649172212217772,2.207070540280725,-6.890775480171998,1.7609410377284433
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,-60,-1.3604199067927065,1.7823901350609697,-4.8539045715122064,2.133064757926794
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,-50,-0.843086900676844,2.014250947090664,-4.7910187569745455,3.104844955620858
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,-40,-1.085889898914555,1.602177894424043,-4.226158571985679,2.0543787741565698
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,-30,0.5616554438151696,1.343167779779948,-2.0709534045535283,3.1942642921838673
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,-20,0.5217098918689146,1.4021138892397602,-2.226433331041015,3.2698531147788445
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,-10,0,NA,NA,NA
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,0,-1.4210267192308008,1.1322929211110666,-3.6403208446084916,0.7982674061468897
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,10,-1.1777793556409353,0.9820238760302531,-3.1025461526602314,0.7469874413783608
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,20,-3.119510942215118,1.3369812830380372,-5.739994256969671,-0.49902762746056517
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,30,-3.7129846462216802,1.3028096139472765,-6.266491489558343,-1.1594778028850183
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,40,-3.463515868413042,1.529740337783138,-6.461806930467993,-0.4652248063580915
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,50,-3.885839467372062,1.4258904253541658,-6.680584701066227,-1.0910942336778975
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,60,-4.630126834998312,1.5883165565919601,-7.743227285918554,-1.5170263840780702
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,70,-5.207334404417824,1.5736698925851789,-8.291727393884774,-2.1229414149508736
stem_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,-70,-0.6655115649615446,0.8528099295999008,-2.33701902697735,1.0059958970542608
stem_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,-60,-0.15751396747639274,0.7485471618497269,-1.6246664047018575,1.309638469749072
stem_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,-50,0.09263928828046251,0.9239390934513633,-1.7182813348842094,1.9035599114451345
stem_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,-40,0.2872913401445974,0.751300088043537,-1.185256832420735,1.7598395127099298
stem_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,-30,0.7686748489361782,0.7476198187475049,-0.6966599958089313,2.234009693681288
stem_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,-20,-0.0670644518450942,0.7671485385612449,-1.5706755874251341,1.4365466837349457
stem_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,-10,0,NA,NA,NA
