fair_row_id,Year,City,Country,Fair_name,event_year,in_treatment_window,lat,lon,geonameid,matched_name,matched_country_iso3,assigned_unit_type,assigned_unit_id,assigned_lau_id,fair_lau_iso2,fair_lau_name,europe_place_name,europe_country,europe_iso3,match_status
1,1791,Prague,Bohemia,Prague 1791,1791,FALSE,50.08804,14.42076,3067696,Prague,CZE,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
2,1798,Paris,France,Paris 1798,1798,FALSE,48.85341,2.3488,2988507,Paris,FRA,NA,NA,NA,NA,NA,NA,NA,NA,outside_1800_1900
3,1801,Paris,France,Paris 1801,1801,TRUE,48.85341,2.3488,2988507,Paris,FRA,europe_lau,GISCO_LAU_FR_75056,FR_75056,FR,Paris,Paris,France,FRA,matched_to_panel
4,1802,Paris,France,Third Exposition (1802),1802,TRUE,48.85341,2.3488,2988507,Paris,FRA,europe_lau,GISCO_LAU_FR_75056,FR_75056,FR,Paris,Paris,France,FRA,matched_to_panel
5,1806,Paris,France,Fourth Exposition (1806),1806,TRUE,48.85341,2.3488,2988507,Paris,FRA,europe_lau,GISCO_LAU_FR_75056,FR_75056,FR,Paris,Paris,France,FRA,matched_to_panel
6,1819,Paris,France,Fifth Exposition (1819),1819,TRUE,48.85341,2.3488,2988507,Paris,FRA,europe_lau,GISCO_LAU_FR_75056,FR_75056,FR,Paris,Paris,France,FRA,matched_to_panel
7,1823,Paris,France,Sixth Exposition (1823),1823,TRUE,48.85341,2.3488,2988507,Paris,FRA,europe_lau,GISCO_LAU_FR_75056,FR_75056,FR,Paris,Paris,France,FRA,matched_to_panel
8,1827,Paris,France,Seventh Exposition (1827),1827,TRUE,48.85341,2.3488,2988507,Paris,FRA,europe_lau,GISCO_LAU_FR_75056,FR_75056,FR,Paris,Paris,France,FRA,matched_to_panel
9,1829,New York City,United States,American Institute Fair,1829,TRUE,40.71427,-74.00597,5128581,New York City,USA,NA,NA,NA,NA,NA,NA,NA,NA,usa_excluded_from_europe_panel
10,1829,Turin,Piedmont-Sardinia,Turin 1829,1829,TRUE,45.07049,7.68682,3165524,Turin,ITA,europe_lau,GISCO_LAU_IT_001272,IT_001272,IT,Torino,Torino,Italy,ITA,matched_to_panel
11,1832,Turin,Piedmont-Sardinia,Seconda Triennale Pubblica Esposizione dell’anno 1832.,1832,TRUE,45.07049,7.68682,3165524,Turin,ITA,europe_lau,GISCO_LAU_IT_001272,IT_001272,IT,Torino,Torino,Italy,ITA,matched_to_panel
12,1834,Paris,France,French Industrial Exposition of 1834,1834,TRUE,48.85341,2.3488,2988507,Paris,FRA,europe_lau,GISCO_LAU_FR_75056,FR_75056,FR,Paris,Paris,France,FRA,matched_to_panel
13,1838,Turin,Piedmont-Sardinia,Pubblica esposizione dell'anno 1838.,1838,TRUE,45.07049,7.68682,3165524,Turin,ITA,europe_lau,GISCO_LAU_IT_001272,IT_001272,IT,Torino,Torino,Italy,ITA,matched_to_panel
14,1839,Paris,France,Ninth Exposition (1839),1839,TRUE,48.85341,2.3488,2988507,Paris,FRA,europe_lau,GISCO_LAU_FR_75056,FR_75056,FR,Paris,Paris,France,FRA,matched_to_panel
15,1844,Paris,France,French Industrial (Tenth) Exposition of 1844,1844,TRUE,48.85341,2.3488,2988507,Paris,FRA,europe_lau,GISCO_LAU_FR_75056,FR_75056,FR,Paris,Paris,France,FRA,matched_to_panel
16,1844,Turin,Piedmont-Sardinia,Quarta Esposizione d'Industria et di Belle Arti.,1844,TRUE,45.07049,7.68682,3165524,Turin,ITA,europe_lau,GISCO_LAU_IT_001272,IT_001272,IT,Torino,Torino,Italy,ITA,matched_to_panel
17,1846,Genoa,Piedmont-Sardinia,Esposizione dei Prodotti e delle Manufatture nazionali,1846,TRUE,44.40478,8.94439,3176219,Genoa,ITA,europe_lau,GISCO_LAU_IT_010025,IT_010025,IT,Genova,Genova,Italy,ITA,matched_to_panel
18,1849,Birmingham,United Kingdom,Exhibition of Industrial Arts and Manufacturers,1849,TRUE,52.48142,-1.89983,2655603,Birmingham,GBR,NA,NA,NA,NA,NA,NA,NA,NA,europe_no_lau_spatial_match
19,1849,London,United Kingdom,First Exhibition of British Manufacturers (1849),1849,TRUE,51.50853,-0.12574,2643743,London,GBR,NA,NA,NA,NA,NA,NA,NA,NA,europe_no_lau_spatial_match
20,1849,Paris,France,Eleventh Exposition (1849),1849,TRUE,48.85341,2.3488,2988507,Paris,FRA,europe_lau,GISCO_LAU_FR_75056,FR_75056,FR,Paris,Paris,France,FRA,matched_to_panel
21,1850,Turin,Piedmont-Sardinia,Quinta Esposizione di Industria e di Belle Arti,1850,TRUE,45.07049,7.68682,3165524,Turin,ITA,europe_lau,GISCO_LAU_IT_001272,IT_001272,IT,Torino,Torino,Italy,ITA,matched_to_panel
22,1851,London,United Kingdom,The Great Exhibition of the Works of Industry of All Nations,1851,TRUE,51.50853,-0.12574,2643743,London,GBR,NA,NA,NA,NA,NA,NA,NA,NA,europe_no_lau_spatial_match
23,1852,Cork,Ireland,Irish Industrial Exhibition,1852,TRUE,51.89797,-8.47061,2965140,Cork,IRL,europe_lau,GISCO_LAU_IE_01340413,IE_01340413,IE,Cork City South Central,Cork City South Central,Ireland,IRL,matched_to_panel
24,1853,Naples,Two Sicilies,Solenne Pubblica Esposizione di Arti e Manifatture,1853,TRUE,40.85216,14.26811,3172394,Naples,ITA,europe_lau,GISCO_LAU_IT_063049,IT_063049,IT,Napoli,Napoli,Italy,ITA,matched_to_panel
25,1853-1854,New York City,United States,Exhibition of the Industry of All Nations,1853,TRUE,40.71427,-74.00597,5128581,New York City,USA,NA,NA,NA,NA,NA,NA,NA,NA,usa_excluded_from_europe_panel
