outcome,sample,timing,control_spec,control_group,ok,n_rows,n_units,n_treated_units,n_control_units,n_treated_cohorts,n_first_period_treated_units_dropped,min_decade,max_decade,formula_vars,error
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,population_baseline_1800,NA
stem_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,population_baseline_1800,NA
n_inventors,europe_lau,standard_decade,population_level,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,population_baseline_1800,NA
log1p_n_inventors,europe_lau,standard_decade,population_level,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,population_baseline_1800,NA
n_stem,europe_lau,standard_decade,population_level,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,population_baseline_1800,NA
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,population_baseline_1800,NA
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,population_baseline_1800,NA
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,population_baseline_1800,NA
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,population_baseline_1800,NA
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,population_baseline_1800,NA
n_stem,europe_lau,alternative_decade,population_level,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,population_baseline_1800,NA
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,population_baseline_1800,NA
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,log_population_baseline_1800,NA
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,log_population_baseline_1800,NA
n_inventors,europe_lau,standard_decade,population_log,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,log_population_baseline_1800,NA
log1p_n_inventors,europe_lau,standard_decade,population_log,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,log_population_baseline_1800,NA
n_stem,europe_lau,standard_decade,population_log,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,log_population_baseline_1800,NA
log1p_n_stem,europe_lau,standard_decade,population_log,notyettreated,TRUE,46035,1705,44,1661,8,0,1700,1960,log_population_baseline_1800,NA
inventors_per_100k_pop,europe_lau,alternative_decade,population_log,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,log_population_baseline_1800,NA
stem_per_100k_pop,europe_lau,alternative_decade,population_log,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,log_population_baseline_1800,NA
n_inventors,europe_lau,alternative_decade,population_log,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,log_population_baseline_1800,NA
log1p_n_inventors,europe_lau,alternative_decade,population_log,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,log_population_baseline_1800,NA
n_stem,europe_lau,alternative_decade,population_log,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,log_population_baseline_1800,NA
log1p_n_stem,europe_lau,alternative_decade,population_log,notyettreated,TRUE,46035,1705,44,1661,9,0,1700,1960,log_population_baseline_1800,NA
