outcome,sample,timing,control_spec,control_group,estimate,se,p_value,ci_low,ci_high
inventors_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,-3.8192223771221068,1.3614979806236636,0.005029129873410199,-6.4877584191444875,-1.150686335099726
stem_per_100k_pop,europe_lau,standard_decade,population_level,notyettreated,-1.1933742236434097,0.4877491201715856,0.01441720546614289,-2.1493624991797176,-0.2373859481071019
n_inventors,europe_lau,standard_decade,population_level,notyettreated,9.894204146045517,3.269931201828205,0.002479646536877045,3.485138990462236,16.3032693016288
log1p_n_inventors,europe_lau,standard_decade,population_level,notyettreated,0.11143794196933264,0.12537227026535933,0.37408027222656615,-0.13429170775077165,0.3571675916894369
n_stem,europe_lau,standard_decade,population_level,notyettreated,2.523613017664746,0.9243108915203925,0.006328357002002516,0.7119636702847769,4.3352623650447155
log1p_n_stem,europe_lau,standard_decade,population_level,notyettreated,0.11288246481380138,0.11653970182645346,0.3327357680619436,-0.1155353507660474,0.3413002803936501
inventors_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,-3.107764600778626,1.3368486602187206,0.02008830667123207,-5.727987974807318,-0.4875412267499337
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,-0.8882940339219536,0.5125502495456978,0.08308025529962215,-1.8928925230315214,0.11630445518761423
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,8.935691093827689,2.6227724094656253,6.568979848762257e-4,3.7950571712750634,14.076325016380315
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,0.1481336408580368,0.13688687951097697,0.2791809996511212,-0.12016464298347809,0.4164319246995517
n_stem,europe_lau,alternative_decade,population_level,notyettreated,1.930519331183803,0.821167791869078,0.01872586178416391,0.32103045912041006,3.540008203247196
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,0.12777276014059616,0.12963731068715964,0.3243210059543342,-0.12631636880623673,0.381861889087429
inventors_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,-3.469153165335439,1.34227572220897,0.009751154854383381,-6.100013580865021,-0.8382927498058579
stem_per_100k_pop,europe_lau,standard_decade,population_log,notyettreated,-0.9765601387078329,0.48020838168297836,0.04199018229281681,-1.9177685668064703,-0.035351710609195286
n_inventors,europe_lau,standard_decade,population_log,notyettreated,8.68231030575504,3.287795621459748,0.008271798207786674,2.238230887693934,15.126389723816146
log1p_n_inventors,europe_lau,standard_decade,population_log,notyettreated,0.09580675348775826,0.08286731671502905,0.24762126189980438,-0.06661318727369868,0.2582266942492152
n_stem,europe_lau,standard_decade,population_log,notyettreated,2.5507624997663796,0.881074557946661,0.0037908772462560414,0.823856366190924,4.277668633341835
log1p_n_stem,europe_lau,standard_decade,population_log,notyettreated,0.13858371951868823,0.08758495145562774,0.11358617886299216,-0.03308278533434214,0.31025022437171856
inventors_per_100k_pop,europe_lau,alternative_decade,population_log,notyettreated,-2.743323453280855,1.2916104702303624,0.03367384596122691,-5.2748799749323645,-0.21176693162934468
stem_per_100k_pop,europe_lau,alternative_decade,population_log,notyettreated,-0.6878182040445296,0.5620132132402628,0.22100993753270082,-1.7893641019954445,0.4137276939063853
n_inventors,europe_lau,alternative_decade,population_log,notyettreated,7.972305915274561,3.143685763983908,0.011213500280967903,1.8106818178661008,14.13393001268302
log1p_n_inventors,europe_lau,alternative_decade,population_log,notyettreated,0.14270809320825104,0.09510118380076205,0.13346107386693995,-0.04369022704124256,0.3291064134577446
n_stem,europe_lau,alternative_decade,population_log,notyettreated,2.0331467432628667,0.7366247728242385,0.005778638262926572,0.5893621885273592,3.476931297998374
log1p_n_stem,europe_lau,alternative_decade,population_log,notyettreated,0.1584423213826739,0.09222067457683342,0.08578237074418205,-0.022310200787919593,0.33919484355326734
