county_geoid,county_name,state_abbr,n_schools,first_exposure_year,first_exposure_schools,first_exposure_access,g_any
01097,Mobile County,AL,1,1892,St. Paul's School,low,1880
04013,Maricopa County,AZ,1,1928,Brophy College Preparatory,low,1920
05119,Pulaski County,AR,1,1927,Little Rock Central High School,high,1920
06037,Los Angeles County,CA,1,1922,The Webb School of California,low,1910
06075,San Francisco County,CA,1,1856,Lowell High School,high,1850
06083,Santa Barbara County,CA,1,1910,Cate School,low,1900
06111,Ventura County,CA,1,1889,The Thacher School,low,1880
08005,Arapahoe County,CO,1,1926,Kent Denver School,low,1920
08041,El Paso County,CO,1,1930,Fountain Valley School of Colorado,low,1920
08059,Jefferson County,CO,1,1906,Colorado Academy,low,1900
09003,Hartford County,CT,1,1914,Loomis Chaffee School,low,1900
09005,Litchfield County,CT,2,1890,The Taft School,low,1880
09009,New Haven County,CT,1,1896,Choate School / Choate Rosemary Hall,low,1890
10003,New Castle County,DE,2,1919,Tower Hill School,low,1910
12086,Miami-Dade County,FL,1,1903,Ransom Everglades School,low,1890
13121,Fulton County,GA,2,1888,Westminster Schools,low,1880
15003,Honolulu County,HI,2,1841,Punahou School,low,1830
17031,Cook County,IL,4,1888,Latin School of Chicago,low,1880
18097,Marion County,IN,1,1864,Shortridge High School,high,1850
18099,Marshall County,IN,1,1894,Culver Academies,low,1880
19031,Cedar County,IA,1,1890,Scattergood Friends School,low,1880
21111,Jefferson County,KY,2,1856,Louisville Male High School,high,1850
22051,Jefferson Parish,LA,1,1929,Metairie Park Country Day School,low,1920
22071,Orleans Parish,LA,1,1903,Isidore Newman School,low,1890
23005,Cumberland County,ME,1,1898,Waynflete School,low,1890
23017,Oxford County,ME,1,1804,Hebron Academy,low,1790
24005,Baltimore County,MD,1,1873,McDonogh School,high,1860
24510,Baltimore city,MD,3,1839,Baltimore City College,high,1830
25017,Middlesex County,MA,3,1884,Groton School,low,1870
25021,Norfolk County,MA,1,1866,Noble and Greenough School,low,1860
26125,Oakland County,MI,2,1914,Detroit Country Day School,low,1900
26163,Wayne County,MI,1,1877,University of Detroit Jesuit High School and Academy,low,1870
27053,Hennepin County,MN,2,1886,Breck School,low,1880
27131,Rice County,MN,1,1858,Shattuck-St. Mary's School,low,1850
29095,Jackson County,MO,1,1910,Pembroke Hill School,low,1900
29189,St. Louis County,MO,2,1913,MICDS,low,1900
31055,Douglas County,NE,2,1859,Omaha Central High School,high,1850
33009,Grafton County,NH,1,1879,Holderness School,low,1870
33013,Merrimack County,NH,1,1856,St. Paul's School,low,1850
34021,Mercer County,NJ,2,1810,The Lawrenceville School,low,1800
34035,Somerset County,NJ,1,1861,The Pingry School,low,1850
34041,Warren County,NJ,1,1848,Blair Academy,low,1840
35005,Chaves County,NM,1,1891,New Mexico Military Institute,high,1880
36005,Bronx County,NY,2,1887,Horace Mann School,low,1880
36047,Kings County,NY,1,1922,Brooklyn Technical High School,high,1910
36061,New York County,NY,4,1884,The Brearley School,low,1870
37021,Buncombe County,NC,1,1900,Asheville School,low,1890
39035,Cuyahoga County,OH,2,1890,University School,low,1880
39049,Franklin County,OH,1,1911,Columbus Academy,low,1900
39153,Summit County,OH,1,1826,Western Reserve Academy,low,1820
40143,Tulsa County,OK,1,1922,Holland Hall,low,1910
41051,Multnomah County,OR,2,1869,Oregon Episcopal School,low,1860
42003,Allegheny County,PA,1,1883,Shady Side Academy,low,1870
42045,Delaware County,PA,1,1884,The Haverford School,low,1870
42055,Franklin County,PA,1,1893,Mercersburg Academy,low,1880
42091,Montgomery County,PA,1,1851,The Hill School,low,1840
42101,Philadelphia County,PA,1,1836,Central High School,high,1830
44005,Newport County,RI,1,1896,St. George's School,low,1890
44007,Providence County,RI,1,1889,Wheeler School,low,1880
45019,Charleston County,SC,1,1867,Porter-Gaud School,low,1860
47003,Bedford County,TN,1,1870,The Webb School,low,1860
47037,Davidson County,TN,1,1867,Montgomery Bell Academy,low,1860
47065,Hamilton County,TN,1,1893,Baylor School,low,1880
48029,Bexar County,TX,1,1893,TMI Episcopal,low,1880
48113,Dallas County,TX,1,1913,The Hockaday School,low,1900
48201,Harris County,TX,1,1906,The Kinkaid School,low,1900
49035,Salt Lake County,UT,1,1867,Rowland Hall,low,1860
50003,Bennington County,VT,1,1829,Burr and Burton Academy,high,1820
50005,Caledonia County,VT,1,1842,St. Johnsbury Academy,high,1830
51059,Fairfax County,VA,1,1906,The Madeira School,low,1900
51113,Madison County,VA,1,1889,Woodberry Forest School,low,1880
51510,Alexandria city,VA,1,1839,Episcopal High School,low,1830
51760,Richmond city,VA,1,1911,St. Christopher's School,low,1900
53033,King County,WA,1,1919,Lakeside School,low,1910
53053,Pierce County,WA,1,1884,Annie Wright Schools,low,1870
54069,Ohio County,WV,1,1814,Linsly School,low,1800
55027,Dodge County,WI,1,1855,Wayland Academy,low,1850
55079,Milwaukee County,WI,2,1851,University School of Milwaukee,low,1840
