county_geoid,n_nearby_schools,first_exposure_year,first_exposure_schools,first_exposure_access,g_any
01003,1,1892,St. Paul's School,low,1880
01097,1,1892,St. Paul's School,low,1880
04013,1,1928,Brophy College Preparatory,low,1920
05045,1,1927,Little Rock Central High School,high,1920
05119,1,1927,Little Rock Central High School,high,1920
05125,1,1927,Little Rock Central High School,high,1920
06001,1,1856,Lowell High School,high,1850
06013,1,1856,Lowell High School,high,1850
06037,1,1922,The Webb School of California,low,1910
06041,1,1856,Lowell High School,high,1850
06075,1,1856,Lowell High School,high,1850
06081,1,1856,Lowell High School,high,1850
06083,1,1910,Cate School,low,1900
06111,1,1889,The Thacher School,low,1880
08001,1,1926,Kent Denver School,low,1920
08005,2,1906,Colorado Academy,low,1900
08019,1,1906,Colorado Academy,low,1900
08031,1,1906,Colorado Academy,low,1900
08035,1,1906,Colorado Academy,low,1900
08039,1,1926,Kent Denver School,low,1920
08041,1,1930,Fountain Valley School of Colorado,low,1920
08059,1,1906,Colorado Academy,low,1900
08093,1,1906,Colorado Academy,low,1900
09001,1,1896,Choate School / Choate Rosemary Hall,low,1890
09003,2,1896,Choate School / Choate Rosemary Hall,low,1890
09005,3,1890,The Taft School,low,1880
09007,1,1896,Choate School / Choate Rosemary Hall,low,1890
09009,1,1896,Choate School / Choate Rosemary Hall,low,1890
09015,1,1889,Wheeler School,low,1880
10003,3,1884,The Haverford School,low,1870
11001,2,1839,Episcopal High School,low,1830
12086,1,1903,Ransom Everglades School,low,1890
13063,2,1888,Westminster Schools,low,1880
13067,2,1888,Westminster Schools,low,1880
13089,2,1888,Westminster Schools,low,1880
13097,2,1888,Westminster Schools,low,1880
13121,2,1888,Westminster Schools,low,1880
15003,2,1841,Punahou School,low,1830
17031,4,1888,Latin School of Chicago,low,1880
17043,4,1888,Latin School of Chicago,low,1880
18011,1,1864,Shortridge High School,high,1850
18019,2,1856,Louisville Male High School,high,1850
18043,2,1856,Louisville Male High School,high,1850
18049,1,1894,Culver Academies,low,1880
18057,1,1864,Shortridge High School,high,1850
18059,1,1864,Shortridge High School,high,1850
18063,1,1864,Shortridge High School,high,1850
18081,1,1864,Shortridge High School,high,1850
18085,1,1894,Culver Academies,low,1880
18097,1,1864,Shortridge High School,high,1850
18099,1,1894,Culver Academies,low,1880
18109,1,1864,Shortridge High School,high,1850
18141,1,1894,Culver Academies,low,1880
18145,1,1864,Shortridge High School,high,1850
