sample,design,spec,outcome,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20
All controls,25 km radius,Any exposure,Any STEM birth (pp),-3.9151952310784583,3.9877039813149207,-3.7446563002266253,3.473650495163181,-0.9059598979046624,2.7435559435899286
All controls,25 km radius,Any exposure,STEM births (count),-0.623932034949945,0.28651125573685804,-0.388160631718343,0.1583356443489396,-0.06159563252950659,0.09545519945690645
All controls,25 km radius,Any exposure,STEM share smoothed (pp),-1.8160023879186955,2.510595587110147,-1.427073202413856,2.0275376028214644,1.6282737315133264,1.6617058687272659
All controls,25 km radius,Any exposure,STEM share zero-filled (pp),-0.3866411844178288,3.132309284562781,-0.7887274379141385,2.717489385000535,2.133378256756596,2.4170393808305684
All controls,25 km radius,High-access first exposure,Any STEM birth (pp),-14.835216506021371,23.69153322091736,-8.670930597713344,5.953468528451527,7.033342854310126,6.494230004482552
All controls,25 km radius,High-access first exposure,STEM births (count),-0.9290008935829865,1.1871951705231656,-0.22114719408486788,0.2595445227978884,-0.12394579607615311,0.14274757002280997
All controls,25 km radius,High-access first exposure,STEM share smoothed (pp),-9.586395665944822,16.335967944260204,-5.285700241958086,4.255846914684705,4.5678132996951755,4.372840881905683
All controls,25 km radius,High-access first exposure,STEM share zero-filled (pp),-10.02357640037693,16.844308215383492,-5.437621810463403,4.9700287366607006,9.60166703238798,5.97395941265319
All controls,25 km radius,Low-access first exposure,Any STEM birth (pp),-3.542897215447727,3.748827104543135,-2.898031703023619,3.6479698275199035,-2.9270677082603083,3.0372186117600304
All controls,25 km radius,Low-access first exposure,STEM births (count),-0.6136305868847075,0.2906823697136853,-0.41840218681723773,0.19121834756586653,-0.04621912643915804,0.11660589366658662
All controls,25 km radius,Low-access first exposure,STEM share smoothed (pp),-1.5529958639266495,2.3244478080475948,-0.7696741452539771,2.4337044553340927,0.8753403072938627,1.9155289821691701
All controls,25 km radius,Low-access first exposure,STEM share zero-filled (pp),-0.05745300307630344,2.9921561003716746,0.011563281947556403,3.1295587087191725,0.22377980813273426,2.5366931398148553
All controls,County of school,Any exposure,Any STEM birth (pp),-17.221764463781984,7.682428886099091,-8.488930050886893,6.319992627741969,-0.3327087447749982,5.957183036716171
All controls,County of school,Any exposure,STEM births (count),-1.5782906439398072,1.0144649194665687,-1.124333287009746,0.810960398312835,-0.40955276607520535,0.58286566330562
All controls,County of school,Any exposure,STEM share smoothed (pp),-10.96532588588013,4.3327288269033755,-6.1861694315581595,3.952561663390093,2.2577478894174066,3.536183000814502
