school,state_abbr,founding_year,year10_point,year10_low,year10_high,year10_year,year10_source_url,year10_evidence_level,circa1900_point,circa1900_source_url,circa1900_evidence_level,note,poor_access_historical,school_type,access
St. Paul's School,AL,1892,NA,NA,NA,NA,NA,unknown,NA,NA,unknown,No school by this name+year verifiable in Mobile; St. Paul's Episcopal is 1947.,low,Private college-prep day school,Low access
Brophy College Preparatory,AZ,1928,62,56,68,1928,https://en.wikipedia.org/wiki/Brophy_College_Preparatory,source_checked,NA,NA,NA,Founded after 1900; school closed 1935-1952 so year10 uses opening figure.,low,Private Jesuit college-prep school,Low access
Little Rock Central High School,AR,1927,1800,1500,2400,1937,https://en.wikipedia.org/wiki/Little_Rock_Central_High_School,inferred,NA,NA,NA,"Founded after 1900; large public HS, 2400 by mid-1950s.",high,Public academic high school,High access
Lowell High School,CA,1856,80,60,120,1856,https://en.wikipedia.org/wiki/Lowell_High_School_(San_Francisco),source_checked,400,NA,inferred,1900 figure inferred; Sutter St building overcrowded post-1900.,high,Public merit high school,High access
The Thacher School,CA,1889,40,20,60,1899,https://www.thacher.org/explore/history-and-heritage,inferred,50,NA,inferred,Enrollment limit set at 60 for many years.,low,Private boarding school,Low access
Cate School,CA,1910,30,20,40,1919,https://en.wikipedia.org/wiki/Cate_School,source_checked,NA,NA,NA,"Founded after 1900; 12 in 1910, 40 by 1919.",low,Private boarding and day school,Low access
The Webb School of California,CA,1922,40,20,60,1932,https://en.wikipedia.org/wiki/The_Webb_Schools,inferred,NA,NA,NA,"Founded after 1900; 14 in 1922, growth modest.",low,Private boarding and day school,Low access
Colorado Academy,CO,1906,50,30,100,1916,https://en.wikipedia.org/wiki/Colorado_Academy,inferred,NA,NA,NA,Founded after 1900; 136 by 1923.,low,Private day college-prep school,Low access
Fountain Valley School of Colorado,CO,1930,100,70,150,1940,https://en.wikipedia.org/wiki/Fountain_Valley_School_of_Colorado,inferred,NA,NA,NA,Founded after 1900; 57 in 1930.,low,Private boarding and day school,Low access
Miss Porter's School,CT,1843,30,20,50,1853,https://en.wikipedia.org/wiki/Miss_Porter's_School,inferred,100,NA,inferred,18 initial; ~100 by 1880s/early 1900s.,low,Private girls' boarding and day school,Low access
The Taft School,CT,1890,60,40,100,1900,https://en.wikipedia.org/wiki/Taft_School,inferred,60,NA,inferred,17 in 1890; 20+ boarders by 1894; slow steady growth.,low,Private boarding and day school,Low access
The Hotchkiss School,CT,1891,100,NA,NA,1901,https://en.wikipedia.org/wiki/Hotchkiss_School,source_checked,145,https://en.wikipedia.org/wiki/Hotchkiss_School,source_checked,50 in 1892; 145 in 1902.,low,Private boarding school,Low access
Loomis Chaffee School,CT,1914,150,100,200,1924,https://en.wikipedia.org/wiki/Loomis_Chaffee_School,inferred,NA,NA,NA,Founded after 1900; 52 students opening year 1914.,low,Private boarding and day school,Low access
Tower Hill School,DE,1919,300,150,500,1929,https://en.wikipedia.org/wiki/Tower_Hill_School,inferred,NA,NA,NA,"Founded after 1900; full K-12 day school, du Pont-funded.",low,Private day college-prep school,Low access
St. Andrew's School,DE,1929,100,60,150,1939,https://en.wikipedia.org/wiki/St._Andrew's_School_(Delaware),inferred,NA,NA,NA,Founded after 1900; 32 in fall 1930.,low,Private boarding school,Low access
Woodward Academy,GA,1900,150,100,200,1910,https://en.wikipedia.org/wiki/Woodward_Academy,inferred,30,https://en.wikipedia.org/wiki/Woodward_Academy,source_checked,"30 in 1900, 50 in 1901, 120 in 1907.",low,Private college-prep school,Low access
Punahou School,HI,1841,60,30,100,1851,https://bulletin.punahou.edu/old-school-hall-1851/,inferred,445,https://imagesofoldhawaii.com/punahou/,source_checked,1842 first year had 34; Old School Hall built 1851 for growth; 1899-1900: 145 college + 300 prep,low,Private college-prep school,Low access
Iolani School,HI,1863,30,20,50,1870,https://en.wikipedia.org/wiki/%CA%BBIolani_School,inferred,NA,NA,unknown,Originally boys' boarding school of about 30; no firm 1900 figure found,low,Private college-prep school,Low access
Latin School of Chicago,IL,1888,60,30,100,1898,https://en.wikipedia.org/wiki/Latin_School_of_Chicago,inferred,100,https://en.wikipedia.org/wiki/Latin_School_of_Chicago,source_checked,Started with 10 boys 1888; over 100 by 1899,low,Private day college-prep school,Low access
Francis W. Parker School,IL,1901,200,150,250,1901,https://en.wikipedia.org/wiki/Francis_W._Parker_School_(Chicago),inferred,NA,NA,NA,Opened with 144-180 students; founded 1901,low,Private day school,Low access
Lane Tech College Prep High School,IL,1908,NA,NA,NA,NA,NA,unknown,NA,NA,NA,Founded 1908; building immediately too small; no specific 1908-1918 numbers,high,Public selective-enrollment high school,High access
Shortridge High School,IN,1864,200,100,350,1878,https://en.wikipedia.org/wiki/Shortridge_High_School,inferred,600,https://indyencyclopedia.org/shortridge-high-school/,inferred,502 students by 1878 per Wikipedia,high,Public high school,High access
Culver Academies,IN,1894,200,120,300,1904,http://www.maxinkuckee.history.pasttracker.com/cef_cma_history/cma_history_1900-1919.htm,inferred,150,http://www.maxinkuckee.history.pasttracker.com/cef_cma_history/cma_history_1900-1919.htm,inferred,100 expelled in 1900 prank; South Barracks built 1904 for 90 cadets,low,Private boarding and day school,Low access
Scattergood Friends School,IA,1890,40,20,70,1900,https://www.scattergood.org/history/,inferred,NA,NA,unknown,Started with 25 Quaker pupils 1890; small boarding school,low,Private boarding school,Low access
Sumner Academy of Arts and Science,KS,1905,300,200,400,1915,https://en.wikipedia.org/wiki/Sumner_Academy_of_Arts_%26_Science,inferred,NA,NA,NA,Opened 1905/06 capacity 300; expanded 1908-09,high,Public selective college-prep school,High access
Louisville Male High School,KY,1856,200,100,300,1860,https://malealumni.org/history/,inferred,NA,NA,unknown,Over 200 young men in early years; no firm 1900 figure,high,Public magnet high school,High access
duPont Manual High School,KY,1892,300,250,400,1900,https://en.wikipedia.org/wiki/DuPont_Manual_High_School,inferred,400,https://en.wikipedia.org/wiki/DuPont_Manual_High_School,source_checked,Opened 1892 with 109-121; ~400 since 1890s,high,Public magnet high school,High access
Isidore Newman School,LA,1903,NA,NA,NA,NA,NA,unknown,NA,NA,NA,Founded 1903 for Jewish orphans; no specific early enrollment found,low,Private day college-prep school,Low access
Metairie Park Country Day School,LA,1929,NA,NA,NA,NA,NA,unknown,NA,NA,NA,Founded 1929; no early enrollment data found,low,Private day school,Low access
Hebron Academy,ME,1804,60,40,100,1814,https://www.hebronacademy.org/about-us/our-history,inferred,NA,NA,unknown,"25 pupils 1805, 50 by 1807",low,Private boarding and day school,Low access
Waynflete School,ME,1898,80,50,120,1908,https://en.wikipedia.org/wiki/Waynflete_School,inferred,49,https://en.wikipedia.org/wiki/Waynflete_School,source_checked,Opened 1898 with 49 students; rapid growth,low,Private day school,Low access
Baltimore City College,MD,1839,232,200,260,1849,https://en.wikipedia.org/wiki/Baltimore_City_College,source_checked,600,https://en.wikipedia.org/wiki/Baltimore_City_College,source_checked,232 students by 1849; 600 in 1900 per enrollment table,high,Public selective college-prep school,High access
McDonogh School,MD,1873,75,50,125,1883,https://en.wikipedia.org/wiki/McDonogh_School,inferred,125,https://en.wikipedia.org/wiki/McDonogh_School,source_checked,21 boys 1873; 50 by Feb 1874; 125 in 1891,high,Private day school with boarding option,High access
