spec,outcome,estimator,conf_low,conf_high,event_time,att,se
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-6.979027876807407,-5.147875213625227,-50,-6.063451545216317,0.46713078142402575
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-7.956484506952579,-7.040598180530106,-40,-7.498541343741342,0.2336444710261411
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-8.035590285888983,-7.577227655491622,-30,-7.806408970690303,0.11692924244830642
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-5.19908711939694,-4.741016809761301,-20,-4.97005196457912,0.116854670825418
High access vs all other counties,STEM births (count),Wooldridge ETWFE,0,0,-10,0,0
High access vs all other counties,STEM births (count),Wooldridge ETWFE,8.571637026706544,10.222145451313963,0,9.396891239010253,0.4210480675018925
High access vs all other counties,STEM births (count),Wooldridge ETWFE,25.749961305236397,27.847723078183193,10,26.798842191709795,0.5351433094252026
High access vs all other counties,STEM births (count),Wooldridge ETWFE,19.334389882199993,20.545817976458544,20,19.94010392932927,0.30903777914758895
High access vs all other counties,STEM births (count),Wooldridge ETWFE,23.906318933930095,28.551881449123464,30,26.22910019152678,1.1850924783656553
High access vs all other counties,STEM births (count),Wooldridge ETWFE,5.282565816943102,8.583511309624832,40,6.933038563283967,0.8420779318065638
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-3.861702745949105,1.4172684311707848,50,-1.22221715738916,1.3466763206938495
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-3.5410534668744393,-2.5197209121905777,-50,-3.0303871895325085,0.2605440190520054
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-5.378772598196423,-5.0687135557439165,-40,-5.22374307697017,0.07909669450319028
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-6.517475128475297,-6.062278457187578,-30,-6.289876792831437,0.11612159981829585
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-4.339688554833262,-4.083883196432223,-20,-4.211785875632742,0.06525646897985703
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,7.715876408513335,9.561373891750208,0,8.638625150131771,0.4707901742951205
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,24.03557179218175,26.529048235653235,10,25.282310013917492,0.6360909294570117
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,16.76296455494934,18.56764677030365,20,17.665305662626494,0.460378116161815
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,20.47615042119017,25.915921250632216,30,23.196035835911193,1.3876966401637867
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,1.0009669552253238,5.282449282290453,40,3.1417081187578884,1.0922148793533493
