outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
STEM births (count),-50,5.571428571428571,0.07082018312063991,5.500608388307931,7,3139.8571428571427
STEM births (count),-40,4.142857142857143,0.07774892309183422,4.0651082197653094,7,3139.5714285714284
STEM births (count),-30,3.857142857142857,0.10284677548087505,3.754296081661982,7,3139.1428571428573
STEM births (count),-20,6.714285714285714,0.12139129145946043,6.592894422826254,7,3138.8571428571427
STEM births (count),-10,11.714285714285714,0.15427434602315326,11.560011368262561,7,3138.4285714285716
STEM births (count),0,21.142857142857142,0.1850007602576441,20.9578563825995,7,3136.5714285714284
STEM births (count),10,38.57142857142857,0.2128959465034916,38.358532624925076,7,3136.1428571428573
STEM births (count),20,31.714285714285715,0.21009321753887739,31.50419249674684,7,3135.8571428571427
STEM births (count),30,38,0.20860071815668113,37.79139928184332,7,3135.4285714285716
STEM births (count),40,18.714285714285715,0.2230047143526934,18.49128099993302,7,3135.1428571428573
STEM births (count),50,10.571428571428571,0.22876743502712357,10.342661136401448,7,3134.714285714286
Any STEM birth (pp),-50,28.571428571428573,4.483063201675422,24.088365369753152,7,3139.8571428571427
Any STEM birth (pp),-40,28.571428571428573,4.875197013855453,23.69623155757312,7,3139.5714285714284
Any STEM birth (pp),-30,57.142857142857146,6.159738101407452,50.9831190414497,7,3139.1428571428573
Any STEM birth (pp),-20,57.142857142857146,7.00267614025972,50.14018100259742,7,3138.8571428571427
Any STEM birth (pp),-10,28.571428571428573,8.336880389869826,20.234548181558747,7,3138.4285714285716
Any STEM birth (pp),0,71.42857142857143,9.634358032742396,61.79421339582903,7,3136.5714285714284
Any STEM birth (pp),10,85.71428571428571,10.942466607592147,74.77181910669356,7,3136.1428571428573
Any STEM birth (pp),20,85.71428571428571,10.738258893872262,74.97602682041345,7,3135.8571428571427
Any STEM birth (pp),30,71.42857142857143,10.648155673429239,60.780415755142194,7,3135.4285714285716
Any STEM birth (pp),40,71.42857142857143,11.131471972962764,60.29709945560867,7,3135.1428571428573
Any STEM birth (pp),50,57.142857142857146,11.214903098967005,45.92795404389014,7,3134.714285714286
"STEM births per 1,000 population",-50,0.04170004208642026,0.011597960972926842,0.03010208111349342,7,3139
"STEM births per 1,000 population",-40,0.017833189743887912,0.019006027749606268,-0.0011728380057183553,7,3138.8571428571427
"STEM births per 1,000 population",-30,0.010669638471220922,0.01184620825576307,-0.001176569784542147,7,3138.4285714285716
"STEM births per 1,000 population",-20,0.014286050078609577,0.019491378669156293,-0.005205328590546716,7,3138.285714285714
"STEM births per 1,000 population",-10,0.011204711439666955,0.009624224785157466,0.001580486654509489,7,3137.8571428571427
"STEM births per 1,000 population",0,0.03664854127396908,0.017752636355265933,0.01889590491870315,7,3136
"STEM births per 1,000 population",10,0.03225138499016301,0.046557606974509454,-0.014306221984346446,7,3136
"STEM births per 1,000 population",20,0.023957331112587188,0.02085404055619558,0.003103290556391608,7,3135.8571428571427
"STEM births per 1,000 population",30,0.023797281150192102,0.006919105224046502,0.0168781759261456,7,3135.4285714285716
"STEM births per 1,000 population",40,0.012299957243754163,0.007656146964692304,0.004643810279061859,7,3135.1428571428573
"STEM births per 1,000 population",50,0.012126367261071701,0.006443508516457058,0.005682858744614643,7,3134.714285714286
"STEM births per 1,000 est. births",-50,0.085228096344224,0.024089212081301683,0.06113888426292231,7,3139
"STEM births per 1,000 est. births",-40,0.03470775891494862,0.04026307328372054,-0.0055553143687719145,7,3138.8571428571427
"STEM births per 1,000 est. births",-30,0.02317071613633355,0.025661119514420263,-0.0024904033780867134,7,3138.4285714285716
"STEM births per 1,000 est. births",-20,0.036862048391344736,0.042409772062974846,-0.00554772367163011,7,3138.285714285714
"STEM births per 1,000 est. births",-10,0.03529709445419165,0.02319769782597248,0.01209939662821917,7,3137.8571428571427
"STEM births per 1,000 est. births",0,0.09151702047731314,0.04193060519917058,0.04958641527814256,7,3136
"STEM births per 1,000 est. births",10,0.09864563814801473,0.10673286667380741,-0.008087228525792675,7,3136
"STEM births per 1,000 est. births",20,0.07762412850310328,0.051000791848417826,0.026623336654685456,7,3135.8571428571427
"STEM births per 1,000 est. births",30,0.07809969021505886,0.020914926836230745,0.057184763378828114,7,3135.4285714285716
"STEM births per 1,000 est. births",40,0.04024401916240638,0.024673541075748373,0.015570478086658006,7,3135.1428571428573
"STEM births per 1,000 est. births",50,0.040338497669705264,0.02142436232548896,0.018914135344216303,7,3134.714285714286
County population,-50,91234.6162752424,5937.444220869448,85297.17205437295,7,3139.8571428571427
County population,-40,134022.3208127703,7513.091578146484,126509.22923462382,7,3139.5714285714284
County population,-30,189458.10118974958,9391.066619760348,180067.03456998922,7,3139.1428571428573
County population,-20,261288.9784981864,11533.08674694113,249755.89175124528,7,3138.8571428571427
County population,-10,427144.3535984584,14337.154547203114,412807.1990512553,7,3138.4285714285716
County population,0,607406,17354.626765324996,590051.373234675,7,3136.5714285714284
County population,10,754868.7142857143,20023.522022305013,734845.1922634093,7,3136.1428571428573
County population,20,869877.4285714285,23897.571839929762,845979.8567314987,7,3135.8571428571427
County population,30,952762.7142857143,28169.985515871376,924592.728769843,7,3135.4285714285716
County population,40,1074043.142857143,32903.56393136433,1041139.5789257786,7,3135.1428571428573
County population,50,1139571.4285714286,37998.44589939457,1101572.982672034,7,3134.714285714286
