outcome,estimator,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20,post_0,se_0,post_avg_0_60
Any STEM birth (pp),Wooldridge ETWFE,NA,NA,3.473425108890808,11.678852005997106,29.911568968884527,11.679140563282312,41.55346886863133,11.67968386866128,42.8396693730842
Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,NA,NA,2.573209453167059,6.236340221216589,29.61149708405216,9.848885626540936,41.85354075469669,12.46785175890294,43.88992097277526
County population,Wooldridge ETWFE,NA,NA,-286441.58147578646,38007.81780128319,-163179.80222548996,20088.634134309166,177112.89871683644,46306.525866072276,460098.19203604263
County population,Wooldridge ETWFE + county pre-period trend,NA,NA,-165789.6132504495,14033.175942091802,-122962.47948681258,13204.733781161971,136895.5759688558,40189.449774747816,319337.56242973596
STEM births (count),Wooldridge ETWFE,NA,NA,-7.498541343741342,0.2336444710261411,-4.97005196457912,0.116854670825418,9.396891239010253,0.4210480675018925,14.679293159578483
STEM births (count),Wooldridge ETWFE + county pre-period trend,NA,NA,-5.22374307697017,0.07909669450319028,-4.211785875632742,0.06525646897985703,8.638625150131771,0.4707901742951205,12.025361848419452
"STEM births per 1,000 est. births",Wooldridge ETWFE,NA,NA,-0.017567319189768008,0.023724689754183462,-0.017611396493849518,0.02104218091989803,0.03745115855267535,0.022156711583981584,0.014461904930343685
"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.0852066338662602,0.019316805624984473,-0.04015800670281773,0.019983775643975268,0.05999776876194915,0.02575656873878501,0.09337415545291236
"STEM births per 1,000 population",Wooldridge ETWFE,NA,NA,-0.0026997607232636172,0.01175739723912065,-0.006758919528195228,0.009714677056797537,0.017296309618642754,0.010162734264635391,0.004200277545511404
"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.041434074272298754,0.008738830669341953,-0.019670462562632773,0.009096498830165623,0.03020785265311097,0.012092069652171465,0.04939013677395507
