spec,outcome,estimator,conf_low,conf_high,event_time,att,se
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-6.0798070583454695,-3.9430500845176084,-50,-5.011428571431539,0.5450910647520055
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-7.13839661633968,-5.810174812237658,-40,-6.474285714288669,0.3388320928831686
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-7.462521329503117,-6.579383432407472,-30,-7.020952380955294,0.22529027987133787
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-4.920040617375606,-4.272340335011223,-20,-4.5961904761934145,0.1652296638684652
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,0,0,-10,0,0
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,8.152999809423868,9.991762095333264,0,9.072380952378566,0.4690720117115804
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,25.009592107196106,27.382788845181345,10,26.196190476188725,0.6054073311186838
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,18.337159458230477,19.967602446527454,20,19.152380952378966,0.41592933374922897
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,22.893683407140873,27.887268973807902,30,25.390476190474388,1.2738738690477123
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,4.224030879559475,7.9054929299594985,40,6.064761904759487,0.9391484822449038
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-5.289197160948017,0.4434828752281459,50,-2.4228571428599355,1.4624183765755518
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-2.8881065400466817,-1.6463799258748084,-50,-2.267243232960745,0.3167669934111921
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-4.807661263501653,-4.024632157369678,-40,-4.416146710435665,0.1997523229928507
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-6.027783581930544,-5.269935841509728,-30,-5.648859711720136,0.19332850520939168
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-4.138256368883545,-3.682031914268516,-20,-3.9101441415760303,0.11638378944260949
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,7.380736046787972,9.391933188732798,0,8.386334617760385,0.5130604953940882
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,23.47290410946365,26.175291504441702,10,24.824097806952675,0.6893845395352182
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,16.075865789242407,18.112618107807933,20,17.09424194852517,0.5195796731034507
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,19.781667000685168,25.51091470332028,30,22.646290852002725,1.4615427812844684
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,0.3617277210025298,4.907332742337652,40,2.634530231670091,1.1595931176875311
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-9.632712360171395,-3.4455579409628,50,-6.539135150567097,1.578355719185866
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,-5.791363178588906,43.12469651191532,-50,18.666666666663208,12.478586655740875
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,-7.887014697658152,41.0298718405098,-40,16.571428571425823,12.478797586267335
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,14.649440435651982,63.82675004053233,-30,39.23809523809216,12.545232042061313
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,9.637704367805696,58.552771822663516,-20,34.095238095234606,12.478333534402505
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,0,0,-10,0,0
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,18.87949003719496,67.59670043899217,0,43.238095238093564,12.42785979637684
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,27.327939948420514,76.29110767062372,10,51.80952380952211,12.490604010766122
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,23.933845274639456,73.58996424916639,20,48.76190476190292,12.667377289420134
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,6.02940918462841,55.68487652965304,30,30.857142857140722,12.667211057404241
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,7.228380811757049,57.15257156919124,40,32.19047619047414,12.735762948325048
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,-6.89096077495012,43.462389346374124,50,18.285714285712,12.845242377888837
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,5.970954194855283,27.034897096681277,-50,16.50292564576828,5.373454821894386
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,1.2855550023759488,28.611690609128026,-40,14.948622805751988,6.970952960906143
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,15.135962231620862,61.17648722365705,-30,38.15622472763896,11.745031885723519
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,12.738274812379675,54.3703308676251,-20,33.554302840002386,10.620422463072812
