outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
STEM births (count),-50,5.571428571428571,0.9043151969981238,4.667113374430447,7,80.85714285714286
STEM births (count),-40,4.142857142857143,0.9595392562872238,3.1833178865699194,7,80.57142857142857
STEM births (count),-30,3.857142857142857,1.3315517235377863,2.525591133605071,7,80.14285714285714
STEM births (count),-20,6.714285714285714,1.6596952469866462,5.054590467299068,7,79.85714285714286
STEM births (count),-10,11.714285714285714,2.174477648941247,9.539808065344467,7,79.42857142857143
STEM births (count),0,21.142857142857142,2.523488623137746,18.619368519719398,7,77.57142857142857
STEM births (count),10,38.57142857142857,2.8820540111517556,35.68937456027681,7,77.14285714285714
STEM births (count),20,31.714285714285715,2.8960015423173315,28.818284171968383,7,76.85714285714286
STEM births (count),30,38,3.019390959917276,34.980609040082726,7,76.42857142857143
STEM births (count),40,18.714285714285715,3.2273098330241186,15.486975881261596,7,76.14285714285714
STEM births (count),50,10.571428571428571,3.304573772092569,7.266854799336002,7,75.71428571428571
Any STEM birth (pp),-50,28.571428571428573,30.599481818994015,-2.028053247565442,7,80.85714285714286
Any STEM birth (pp),-40,28.571428571428573,32.41238264467068,-3.8409540732421057,7,80.57142857142857
Any STEM birth (pp),-30,57.142857142857146,38.45956598569839,18.683291157158756,7,80.14285714285714
Any STEM birth (pp),-20,57.142857142857146,42.98907278918282,14.153784353674325,7,79.85714285714286
Any STEM birth (pp),-10,28.571428571428573,48.199963466789065,-19.62853489536049,7,79.42857142857143
Any STEM birth (pp),0,71.42857142857143,48.44590923788919,22.98266219068224,7,77.57142857142857
Any STEM birth (pp),10,85.71428571428571,54.44769766574278,31.26658804854293,7,77.14285714285714
Any STEM birth (pp),20,85.71428571428571,56.6169269327164,29.097358781569305,7,76.85714285714286
Any STEM birth (pp),30,71.42857142857143,60.24456746261258,11.184003965958851,7,76.42857142857143
Any STEM birth (pp),40,71.42857142857143,59.45083487940631,11.977736549165122,7,76.14285714285714
Any STEM birth (pp),50,57.142857142857146,58.99059336653322,-1.8477362236760726,7,75.71428571428571
"STEM births per 1,000 population",-50,0.04170004208642026,0.030108316903060033,0.011591725183360227,7,80.85714285714286
"STEM births per 1,000 population",-40,0.017833189743887912,0.03326122104846093,-0.015428031304573018,7,80.57142857142857
"STEM births per 1,000 population",-30,0.010669638471220922,0.030637729501625254,-0.019968091030404332,7,80.14285714285714
"STEM births per 1,000 population",-20,0.014286050078609577,0.027816623346444736,-0.01353057326783516,7,79.85714285714286
"STEM births per 1,000 population",-10,0.011204711439666955,0.024251019878195945,-0.01304630843852899,7,79.42857142857143
"STEM births per 1,000 population",0,0.03664854127396908,0.016226515965568407,0.020422025308400676,7,77.57142857142857
"STEM births per 1,000 population",10,0.03225138499016301,0.015698849966471737,0.01655253502369127,7,77.14285714285714
"STEM births per 1,000 population",20,0.023957331112587188,0.015528693442582679,0.00842863767000451,7,76.85714285714286
"STEM births per 1,000 population",30,0.023797281150192102,0.01361780039009401,0.010179480760098092,7,76.42857142857143
"STEM births per 1,000 population",40,0.012299957243754163,0.011874864046034304,4.2509319771985923e-4,7,76.14285714285714
"STEM births per 1,000 population",50,0.012126367261071701,0.011466167089213266,6.602001718584351e-4,7,75.71428571428571
"STEM births per 1,000 est. births",-50,0.085228096344224,0.0584529819518003,0.0267751143924237,7,80.85714285714286
"STEM births per 1,000 est. births",-40,0.03470775891494862,0.06168573730062487,-0.026977978385676248,7,80.57142857142857
"STEM births per 1,000 est. births",-30,0.02317071613633355,0.058264492437589244,-0.035093776301255694,7,80.14285714285714
"STEM births per 1,000 est. births",-20,0.036862048391344736,0.05518825712795487,-0.018326208736610138,7,79.85714285714286
"STEM births per 1,000 est. births",-10,0.03529709445419165,0.05538537880358499,-0.02008828434939334,7,79.42857142857143
"STEM births per 1,000 est. births",0,0.09151702047731314,0.04116523875913759,0.050351781718175545,7,77.57142857142857
"STEM births per 1,000 est. births",10,0.09864563814801473,0.04266393730436232,0.055981700843652414,7,77.14285714285714
"STEM births per 1,000 est. births",20,0.07762412850310328,0.04261092074468359,0.03501320775841969,7,76.85714285714286
"STEM births per 1,000 est. births",30,0.07809969021505886,0.04099768965298753,0.03710200056207133,7,76.42857142857143
"STEM births per 1,000 est. births",40,0.04024401916240638,0.038257929410540334,0.001986089751866045,7,76.14285714285714
"STEM births per 1,000 est. births",50,0.040338497669705264,0.03769621539456966,0.0026422822751356045,7,75.71428571428571
County population,-50,91234.6162752424,32757.9099091237,58476.7063661187,7,80.85714285714286
County population,-40,134022.3208127703,44781.064334832176,89241.25647793814,7,80.57142857142857
County population,-30,189458.10118974958,57515.63358375235,131942.46760599723,7,80.14285714285714
County population,-20,261288.9784981864,74906.3985018928,186382.57999629359,7,79.85714285714286
County population,-10,427144.3535984584,100815.9095774419,326328.4440210165,7,79.42857142857143
County population,0,607406,127334.28527537371,480071.7147246263,7,77.57142857142857
County population,10,754868.7142857143,155591.47434885174,599277.2399368626,7,77.14285714285714
County population,20,869877.4285714285,196176.536906197,673700.8916652316,7,76.85714285714286
County population,30,952762.7142857143,245217.48459446552,707545.2296912489,7,76.42857142857143
County population,40,1074043.142857143,303865.06239824905,770178.0804588939,7,76.14285714285714
County population,50,1139571.4285714286,350907.5458430828,788663.8827283459,7,75.71428571428571
