outcome,estimator,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20,post_0,se_0,post_avg_0_60
Any STEM birth (pp),Wooldridge ETWFE,NA,NA,16.571428571425823,12.478797586267335,34.095238095234606,12.478333534402505,43.238095238093564,12.42785979637684,37.52380952380758
Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,NA,NA,14.948622805751988,6.970952960906143,33.554302840002386,10.620422463072812,43.77903049330326,13.223381534166087,39.41708291706939
County population,Wooldridge ETWFE,NA,NA,-241905.83394286063,40808.97499663282,-144582.42973295515,21353.538678192712,149450.51666943857,48665.996020400074,339465.4300697462
County population,Wooldridge ETWFE + county pre-period trend,NA,NA,-237762.33121662706,24394.677529663993,-143201.26215747642,15131.532854218905,148069.34909417032,42057.632504813766,334631.34355603886
STEM births (count),Wooldridge ETWFE,NA,NA,-6.474285714288669,0.3388320928831686,-4.5961904761934145,0.1652296638684652,9.072380952378566,0.4690720117115804,13.908888888886699
STEM births (count),Wooldridge ETWFE + county pre-period trend,NA,NA,-4.416146710435665,0.1997523229928507,-3.9101441415760303,0.11638378944260949,8.386334617760385,0.5130604953940882,11.507726717723992
"STEM births per 1,000 est. births",Wooldridge ETWFE,NA,NA,-0.004146706071436233,0.023931255268521464,0.0034501900901562728,0.01176046168002277,0.07110628085097306,0.015088179944717409,0.050365523389558714
"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.06678154372041106,0.019279920052021626,-0.017428089126198178,0.010182193544330625,0.09198456006723962,0.020089782594499426,0.12343950064660075
"STEM births per 1,000 population",Wooldridge ETWFE,NA,NA,-8.977670402334229e-4,0.014177091056169901,5.236685062713372e-4,0.006343107282720699,0.03374779210615165,0.007010627639457021,0.022339935322736173
"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.0362264975272383,0.011230677341279414,-0.011252574989413329,0.005375472966961167,0.04552403560178755,0.009639894419644083,0.06355678755752185
