outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
STEM births (count),-50,5.571428571428571,3.877551020408163,1.693877551020408,7,5.857142857142857
STEM births (count),-40,4.142857142857143,5.142857142857142,-0.9999999999999991,7,5.571428571428571
STEM births (count),-30,3.857142857142857,8.806122448979592,-4.948979591836734,7,5.142857142857143
STEM births (count),-20,6.714285714285714,6.360544217687075,0.35374149659863985,7,4.857142857142857
STEM births (count),-10,11.714285714285714,10.377551020408163,1.3367346938775508,7,4.428571428571429
STEM births (count),0,21.142857142857142,11.055555555555555,10.087301587301587,7,2.5714285714285716
STEM births (count),10,38.57142857142857,15.083333333333332,23.488095238095237,7,2.142857142857143
STEM births (count),20,31.714285714285715,8.333333333333334,23.38095238095238,7,1.8571428571428572
STEM births (count),30,38,15.6,22.4,7,1.4285714285714286
STEM births (count),40,18.714285714285715,29.625,-10.910714285714285,7,1.1428571428571428
STEM births (count),50,10.571428571428571,14.375,-3.803571428571429,7,0.7142857142857143
Any STEM birth (pp),-50,28.571428571428573,40.816326530612244,-12.244897959183671,7,5.857142857142857
Any STEM birth (pp),-40,28.571428571428573,39.79591836734694,-11.22448979591837,7,5.571428571428571
Any STEM birth (pp),-30,57.142857142857146,51.02040816326531,6.122448979591837,7,5.142857142857143
Any STEM birth (pp),-20,57.142857142857146,49.31972789115646,7.823129251700685,7,4.857142857142857
Any STEM birth (pp),-10,28.571428571428573,51.70068027210885,-23.129251700680275,7,4.428571428571429
Any STEM birth (pp),0,71.42857142857143,63.88888888888889,7.539682539682538,7,2.5714285714285716
Any STEM birth (pp),10,85.71428571428571,77.77777777777779,7.9365079365079225,7,2.142857142857143
Any STEM birth (pp),20,85.71428571428571,53.333333333333336,32.38095238095237,7,1.8571428571428572
Any STEM birth (pp),30,71.42857142857143,56.666666666666664,14.761904761904766,7,1.4285714285714286
Any STEM birth (pp),40,71.42857142857143,87.5,-16.07142857142857,7,1.1428571428571428
Any STEM birth (pp),50,57.142857142857146,100,-42.857142857142854,7,0.7142857142857143
"STEM births per 1,000 population",-50,0.04170004208642026,0.0840691986523183,-0.042369156565898035,7,5.857142857142857
"STEM births per 1,000 population",-40,0.017833189743887912,0.05464251238396499,-0.03680932264007708,7,5.571428571428571
"STEM births per 1,000 population",-30,0.010669638471220922,0.06799659906091648,-0.057326960589695566,7,5.142857142857143
"STEM births per 1,000 population",-20,0.014286050078609577,0.04520495481315397,-0.030918904734544395,7,4.857142857142857
"STEM births per 1,000 population",-10,0.011204711439666955,0.030120338728442858,-0.018915627288775903,7,4.428571428571429
"STEM births per 1,000 population",0,0.03664854127396908,0.036729713849081,-8.117257511191384e-5,7,2.5714285714285716
"STEM births per 1,000 population",10,0.03225138499016301,0.028468666442881256,0.003782718547281752,7,2.142857142857143
"STEM births per 1,000 population",20,0.023957331112587188,0.018107862713233693,0.005849468399353495,7,1.8571428571428572
"STEM births per 1,000 population",30,0.023797281150192102,0.019919823338826127,0.0038774578113659752,7,1.4285714285714286
"STEM births per 1,000 population",40,0.012299957243754163,0.02831230953165197,-0.016012352287897807,7,1.1428571428571428
"STEM births per 1,000 population",50,0.012126367261071701,0.027533045691690752,-0.015406678430619051,7,0.7142857142857143
"STEM births per 1,000 est. births",-50,0.085228096344224,0.16224461639278684,-0.07701652004856284,7,5.857142857142857
"STEM births per 1,000 est. births",-40,0.03470775891494862,0.10303332027324366,-0.06832556135829504,7,5.571428571428571
"STEM births per 1,000 est. births",-30,0.02317071613633355,0.12632984790499713,-0.10315913176866358,7,5.142857142857143
"STEM births per 1,000 est. births",-20,0.036862048391344736,0.08892139508464246,-0.052059346693297724,7,4.857142857142857
"STEM births per 1,000 est. births",-10,0.03529709445419165,0.06954945486377848,-0.034252360409586825,7,4.428571428571429
"STEM births per 1,000 est. births",0,0.09151702047731314,0.08567039297380656,0.005846627503506577,7,2.5714285714285716
"STEM births per 1,000 est. births",10,0.09864563814801473,0.07162955369161195,0.027016084456402786,7,2.142857142857143
"STEM births per 1,000 est. births",20,0.07762412850310328,0.04685012627676613,0.030774002226337152,7,1.8571428571428572
"STEM births per 1,000 est. births",30,0.07809969021505886,0.05728309664553625,0.02081659356952261,7,1.4285714285714286
"STEM births per 1,000 est. births",40,0.04024401916240638,0.08230187888942601,-0.042057859727019635,7,1.1428571428571428
"STEM births per 1,000 est. births",50,0.040338497669705264,0.08601093548418298,-0.04567243781447772,7,0.7142857142857143
County population,-50,91234.6162752424,102802.63374214432,-11568.017466901918,7,5.857142857142857
County population,-40,134022.3208127703,154757.08947644915,-20734.768663678842,7,5.571428571428571
County population,-30,189458.10118974958,204355.49978648074,-14897.39859673116,7,5.142857142857143
County population,-20,261288.9784981864,195492.3651212316,65796.6133769548,7,4.857142857142857
County population,-10,427144.3535984584,345047.50362577895,82096.84997267945,7,4.428571428571429
County population,0,607406,259502.49924045138,347903.5007595486,7,2.5714285714285716
County population,10,754868.7142857143,397750.8919270833,357117.822358631,7,2.142857142857143
County population,20,869877.4285714285,318759.7786458333,551117.6499255951,7,1.8571428571428572
County population,30,952762.7142857143,515079.29010416666,437683.42418154766,7,1.4285714285714286
County population,40,1074043.142857143,643637.34765625,430405.79520089296,7,1.1428571428571428
County population,50,1139571.4285714286,399225.06640625,740346.3621651786,7,0.7142857142857143
