outcome,estimator,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20,post_0,se_0,post_avg_0_60
Any STEM birth (pp),Wooldridge ETWFE,NA,NA,6.220215315044797e-13,26.186293243561774,16.666666666667357,26.18629324356149,-14.285714285713608,22.44539420876696,-14.682539682539298
Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,NA,NA,-3.195970695964566,28.57811822612457,4.4413919413986855,40.98632508101551,-16.1773940345315,31.91056642426494,-32.11320425605746
County population,Wooldridge ETWFE,NA,NA,-406454.72395584814,167970.93762795854,-313900.26884467114,165836.49552093315,-28115.00000004937,38944.652420976854,244502.1111110759
County population,Wooldridge ETWFE + county pre-period trend,NA,NA,264858.4471169066,72052.84360215353,355478.30282651074,129473.76788328917,370268.35696381674,145720.20513671084,422349.3520807783
STEM births (count),Wooldridge ETWFE,NA,NA,2.833333333335494,0.5237258648710894,4.00000000000244,0.2618629324353972,16.14285714285896,0.8092801971770109,13.107142857144359
STEM births (count),Wooldridge ETWFE + county pre-period trend,NA,NA,14.183150183154977,0.987455634297822,13.237728937734406,1.5969915067263754,22.821978021982083,0.2675830369820544,10.983376940522836
"STEM births per 1,000 est. births",Wooldridge ETWFE,NA,NA,0.014840868101582864,0.02658513464101503,0.003330079306460914,0.010598511845553028,0.014521377931757899,0.025776990227687552,-0.007518372902490056
"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.3468680051120305,0.1238597361251656,-0.3391877840676225,0.17456408432668996,-0.20000253301671841,0.0635090587427678,-0.03829520104154305
"STEM births per 1,000 population",Wooldridge ETWFE,NA,NA,0.009655482634177523,0.01585174687100886,0.0011197422201688343,0.005990641755940946,0.005856108017015194,0.01182260843493537,-0.0040295185910291225
"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.19792527692934292,0.06425325369738566,-0.1938666458384906,0.092599886447896,-0.11716682242245455,0.03571714420101806,-0.018705475539972313
