outcome,estimator,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20,post_0,se_0,post_avg_0_60
Any STEM birth (pp),Wooldridge ETWFE,NA,NA,-25.178114723846402,0.21653809792591663,15.605590062443726,0.15575848105113135,12.760321520240927,0.16527008900654686,19.256180733500965
Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,NA,NA,-4.9380998974930925,3.8670389914916266,22.352261671297743,1.2962840457941223,6.013649911589426,1.2974161984129708,-4.357169897033906
County population,Wooldridge ETWFE,NA,NA,-117560.08215317794,41379.75697463414,-48556.93180926619,16243.532131390322,64381.565316237684,24566.508514606092,258690.27255229937
County population,Wooldridge ETWFE + county pre-period trend,NA,NA,-66978.8922430331,19014.672393717276,-31696.53517298657,8787.750348998623,47521.168678649854,17110.19655178009,199678.8843223803
STEM births (count),Wooldridge ETWFE,NA,NA,-8.799369747938565,1.7193698508812072,-6.971090610195687,1.618227137646216,9.531969309437311,0.5057162186945466,19.76913591521518
STEM births (count),Wooldridge ETWFE + county pre-period trend,NA,NA,-5.6292689179655415,1.1070189724423656,-5.9143903335131744,1.4141100067678747,8.475269032825839,0.3016067027083613,16.070684946999105
"STEM births per 1,000 est. births",Wooldridge ETWFE,NA,NA,-0.06625576203264777,0.006697998910381993,-0.019181350491190036,0.007923611349037536,0.02556259126018793,0.001967682168863959,0.08088569683065383
"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.04922315616166676,0.005534912455879648,-0.013503815200521695,0.00769246789831467,0.019885055970526897,0.0020520681653609036,0.061014323315603275
"STEM births per 1,000 population",Wooldridge ETWFE,NA,NA,-0.0206539846981997,0.0029137559891318906,-2.8200049877275684e-4,0.0033834978224540706,0.00511357425311177,9.619844879012842e-4,0.01745132277715655
"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.01606833111373617,0.0025487780315296207,0.001246550696292407,0.003366029687978764,0.0035850230587644617,0.0010407109212154963,0.012101393596054376
