spec,outcome,estimator,conf_low,conf_high,event_time,att,se
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-12.25669716114159,-2.981398076952555,-50,-7.619047619047072,2.3661477255584273
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-11.715847468923718,-4.5412953882181615,-40,-8.12857142857094,1.8302428777310096
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-11.261066412154133,-4.929409778321091,-30,-8.095238095237612,1.6152185290390413
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-10.046257251519418,-3.3061237008605184,-20,-6.6761904761899675,1.7194218241476782
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,0,0,-10,0,0
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,7.959673955680194,10.183183187178582,0,9.071428571429388,0.5672217427291807
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,23.646850919946427,33.41981574672263,10,28.53333333333453,2.493103272136786
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,17.258471781954746,32.57009964661873,20,24.914285714286738,3.906027516495915
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,23.43753311579745,44.60532402706187,30,34.02142857142966,5.399946661036841
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,4.384943175659659,21.38648539577016,40,12.88571428571491,4.337128117375128
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-5.367801053047774,6.648753434000989,50,0.6404761904766076,3.0654475732267255
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-6.596247526866919,-0.7245821196743529,-50,-3.660414823270636,1.4978738283654505
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-7.469547447907807,-2.8496462155690945,-40,-5.159596831738451,1.1785462327394676
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-8.429859643273206,-3.80198375142489,-30,-6.115921697349048,1.1805805846551827
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-8.630595552862607,-2.7424690016280504,-20,-5.686532277245329,1.5020730998047338
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
