outcome,estimator,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20,post_0,se_0,post_avg_0_60
Any STEM birth (pp),Wooldridge ETWFE,NA,NA,-10.71428571429665,3.1296242068471867,20.4761904761811,1.9374668271795645,11.42857142856208,2.0161391757138616,11.626984126974326
Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,NA,NA,8.122234907938648,4.911264663073198,26.755030683592892,2.3000141407364456,5.149731221150413,2.374630672050454,-10.348956598966566
County population,Wooldridge ETWFE,NA,NA,-76012.58737411413,44339.96246596358,-30807.589454058536,17433.221993487598,42872.80105326666,26250.642643165054,154543.28416585282
County population,Wooldridge ETWFE + county pre-period trend,NA,NA,-122531.50919718691,26333.516768351765,-46313.89672840755,10710.683123950506,58379.10832764156,18765.43261082846,208815.3596261331
STEM births (count),Wooldridge ETWFE,NA,NA,-8.12857142857094,1.8302428777310096,-6.6761904761899675,1.7194218241476782,9.071428571429388,0.5672217427291807,18.344444444445305
STEM births (count),Wooldridge ETWFE + county pre-period trend,NA,NA,-5.159596831738451,1.1785462327394676,-5.686532277245329,1.5020730998047338,8.081770372486156,0.3577980906837891,14.880640748142287
"STEM births per 1,000 est. births",Wooldridge ETWFE,NA,NA,-0.05875168313512932,0.010114793854984632,-0.01998655679748945,0.0065403558069933735,0.029716383998020054,0.0028287703622860024,0.07534867366021306
"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.03717214258620821,0.007920708637434099,-0.012793376614520824,0.006036223045888516,0.022523203815037047,0.0028281814692790856,0.05017254301978974
"STEM births per 1,000 population",Wooldridge ETWFE,NA,NA,-0.020241915637204795,0.005401641567416503,-0.0021153162719195345,0.002400071644144566,0.007938834206284523,0.001376092227161827,0.016556279748233874
"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.012595326556342079,0.004260986270816437,4.3354675503176794e-4,0.0022733704758526705,0.0053899711793246735,0.0014123790615362506,0.007635259153884948
