spec,outcome,estimator,conf_low,conf_high,event_time,att,se
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,4.81754950471918,7.182450495281897,-50,6.000000000000538,0.6032910690211013
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,1.1947565998516474,9.471910066815507,-40,5.333333333333577,2.111518741572413
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,1.8929909237463498,5.440342409587643,-30,3.6666666666669965,0.9049366035309422
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-7.531567657227283,-2.8017656761058003,-20,-5.166666666666542,1.2065821380411947
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,0,0,-10,0,0
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-6.7578536084724234,10.47213932275793,0,1.8571428571427528,4.395406360007743
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,10.212413360908116,65.7875866390924,10,38.000000000000256,14.177340121985786
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,13.532446954229641,62.18183876005688,20,37.85714285714326,12.410559134139602
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,7.009172553974846,69.8479703031685,30,38.42857142857167,16.030305548263687
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-14.29007072769387,50.575785013408876,40,18.142857142857505,16.547412178852742
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-11.20889675196542,41.49461103768076,50,15.14285714285767,13.444772395317903
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,4.203820110427184,42.36472245811879,-50,23.284271284272986,9.734924068288674
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-0.09625781968843583,41.59049691392987,-40,20.747119547120715,10.63437620755569
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,9.317976546940098,23.66862573966448,-30,16.49330114330229,3.6608798961031583
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-6.7680832306678695,4.013715376300947,-20,-1.3771839271834607,2.7504588283083717
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-17.720612414804986,8.714066579687252,0,-4.503272917558867,6.743540559819449
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,0.8636451438020103,77.91641923626369,10,39.39003219003285,19.656319921546345
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,16.80862810461632,70.57173439003408,20,43.6901812473252,13.715078134035142
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,3.649678827575677,69.55670526452425,30,36.60319204604996,16.813016948201167
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-22.014321262423348,55.12444922969583,40,16.55506398363624,19.678257778601832
