outcome,estimator,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20,post_0,se_0,post_avg_0_60
Any STEM birth (pp),Wooldridge ETWFE,NA,NA,2.8213586446857875e-12,30.164553451034177,58.33333333333657,15.082276725517556,7.142857142857539,12.927665764728829,35.714285714288565
Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,NA,NA,7.730602730617283,83.91230323651418,125.12543012544381,40.036589125919896,21.740640312072696,27.73571927705478,71.25665339952448
County population,Wooldridge ETWFE,NA,NA,-741150.9260050253,1204781.8347892894,-42412.874430315,589129.9276174194,3251.9165736741415,400642.9970755712,-104371.08001610012
County population,Wooldridge ETWFE + county pre-period trend,NA,NA,-493999.0623025109,893443.7200747953,34596.45931174382,444580.08864282694,10446.965229744965,314866.16955219174,-67160.3740437119
STEM births (count),Wooldridge ETWFE,NA,NA,5.333333333333577,2.111518741572413,-5.166666666666542,1.2065821380411947,1.8571428571427528,4.395406360007743,24.904761904762186
STEM births (count),Wooldridge ETWFE + county pre-period trend,NA,NA,20.747119547120715,10.63437620755569,-1.3771839271834607,2.7504588283083717,-4.503272917558867,6.743540559819449,25.204974126403453
"STEM births per 1,000 est. births",Wooldridge ETWFE,NA,NA,0.02328494134163614,0.01698223013210772,0.019791027494920864,0.0028068773608117084,-0.037095383734376944,0.011170453888273245,0.12153758073946613
"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.08975793134239789,0.03974322252186774,0.14640599178008476,0.007760726248725698,-0.0034665926968577647,0.017441339546676243,0.18724146714856485
"STEM births per 1,000 population",Wooldridge ETWFE,NA,NA,0.010745595239698648,0.008281122256915198,0.01747122663556412,5.626865359081543e-4,-0.01692186490395641,0.003453419680175379,0.030504814186465404
"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.0758994562448154,0.015251403389481806,0.08096976135294026,0.0026735154185220877,0.01530088474868367,0.005373803257514396,0.06778047408230037
