spec,outcome,estimator,conf_low,conf_high,event_time,att,se
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-6.009643570129947,0.7837981594027572,-50,-2.6129227053635953,1.733020849370588
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-4.703350866228741,0.55160321054638,-40,-2.0758738278411806,1.3405495093814084
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-3.9575695174912857,0.6825624131024413,-30,-1.6375035521944221,1.1837071251514608
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-4.235354695199839,0.7121236635585533,-20,-1.7616155158206428,1.2621118262138755
High access vs all other counties,STEM births (count),Wooldridge ETWFE,0,0,-10,0,0
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-0.05669533377771896,2.21945464030489,0,1.0813796532635855,0.5806505035925023
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-0.1132849311908175,7.094316474156267,10,3.4905157714827246,1.8386738278946644
High access vs all other counties,STEM births (count),Wooldridge ETWFE,1.3288196100163718,12.721905027573463,20,7.025362318794917,2.9063993412135436
High access vs all other counties,STEM births (count),Wooldridge ETWFE,1.578337077377407,17.109287247631215,30,9.343812162504312,3.9619770842484208
High access vs all other counties,STEM births (count),Wooldridge ETWFE,0.8945913628169695,13.29644302186699,40,7.09551719234198,3.1637376681250053
High access vs all other counties,STEM births (count),Wooldridge ETWFE,1.7930216766171476,11.235892787627131,50,6.5144572321221395,2.4088956915841795
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-3.66439932281619,0.6302825490636277,-50,-1.5170583868762813,1.0955821101734229
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-2.9430059488419404,0.435054770885118,-40,-1.2539755889784112,0.8617501836038415
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-2.7835048204100827,0.6043620344976501,-30,-1.0895713929562163,0.8642517487009522
