outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
STEM births (count),-50,0.2222222222222222,0.04631948255041387,0.17590273967180833,9,3136.1111111111113
STEM births (count),-40,0.7777777777777778,0.06533709059863256,0.7124406871791452,9,3135.4444444444443
STEM births (count),-30,1.2222222222222223,0.0718038146096953,1.150418407612527,9,3135.1111111111113
STEM births (count),-20,1.1111111111111112,0.08510448038288533,1.0260066307282258,9,3134.5555555555557
STEM births (count),-10,2.888888888888889,0.10253665956462032,2.7863522293242684,9,3133.777777777778
STEM births (count),0,4,0.1314272267157503,3.86857277328425,9,3131.222222222222
STEM births (count),10,6.444444444444445,0.16670701056433163,6.277737433880113,9,3130.4444444444443
STEM births (count),20,10,0.18807583329228153,9.811924166707719,9,3129.8888888888887
STEM births (count),30,12.333333333333334,0.2024051042690451,12.130928229064288,9,3129.5555555555557
STEM births (count),40,10.11111111111111,0.22992313747279716,9.881187973638314,9,3128.8888888888887
STEM births (count),50,9.555555555555555,0.25206024438761016,9.303495311167945,9,3128
Any STEM birth (pp),-50,11.11111111111111,3.0973504202280804,8.01376069088303,9,3136.1111111111113
Any STEM birth (pp),-40,11.11111111111111,4.243387823031933,6.867723288079178,9,3135.4444444444443
Any STEM birth (pp),-30,33.333333333333336,4.701819078000633,28.631514255332704,9,3135.1111111111113
Any STEM birth (pp),-20,33.333333333333336,5.70915717294008,27.624176160393255,9,3134.5555555555557
Any STEM birth (pp),-10,33.333333333333336,6.632498621754311,26.700834711579024,9,3133.777777777778
Any STEM birth (pp),0,44.44444444444444,8.468426609518263,35.97601783492618,9,3131.222222222222
Any STEM birth (pp),10,66.66666666666667,10.031906999021338,56.634759667645334,9,3130.4444444444443
Any STEM birth (pp),20,77.77777777777777,10.611910218453707,67.16586755932407,9,3129.8888888888887
Any STEM birth (pp),30,88.88888888888889,11.134940101674683,77.7539487872142,9,3129.5555555555557
Any STEM birth (pp),40,77.77777777777777,12.117142268307054,65.66063550947072,9,3128.8888888888887
Any STEM birth (pp),50,66.66666666666667,12.812588803637396,53.854077863029275,9,3128
"STEM births per 1,000 population",-50,0.0018994269317652317,0.007850048759629141,-0.005950621827863909,9,3135.1111111111113
"STEM births per 1,000 population",-40,0.0030503507923837696,0.013318793233619544,-0.010268442441235775,9,3134.4444444444443
"STEM births per 1,000 population",-30,0.03326012828192701,0.012479737930547042,0.02078039035137997,9,3134.1111111111113
"STEM births per 1,000 population",-20,0.017745946739170904,0.010155395315320706,0.007590551423850197,9,3133.5555555555557
"STEM births per 1,000 population",-10,0.014317959089557276,0.011877144922131988,0.0024408141674252884,9,3132.777777777778
"STEM births per 1,000 population",0,0.022675594630560222,0.013969080745615108,0.008706513884945115,9,3130.222222222222
"STEM births per 1,000 population",10,0.024533541771933547,0.02160611847221156,0.0029274232997219887,9,3129.4444444444443
"STEM births per 1,000 population",20,0.04646512139595978,0.013708171293875462,0.03275695010208431,9,3128.8888888888887
"STEM births per 1,000 population",30,0.04357298457048589,0.010780079904309601,0.03279290466617629,9,3128.5555555555557
"STEM births per 1,000 population",40,0.03254622594402565,0.009061386305134846,0.023484839638890802,9,3127.8888888888887
"STEM births per 1,000 population",50,0.02807703135528053,0.009628293678421516,0.018448737676859013,9,3127
"STEM births per 1,000 est. births",-50,0.003531507327164726,0.014134600790114851,-0.010603093462950125,9,3135.1111111111113
"STEM births per 1,000 est. births",-40,0.006255403257290058,0.026096652613747044,-0.019841249356456987,9,3134.4444444444443
"STEM births per 1,000 est. births",-30,0.05953176905380481,0.02404969634118469,0.03548207271262012,9,3134.1111111111113
"STEM births per 1,000 est. births",-20,0.03422962020645901,0.020191874832854978,0.014037745373604034,9,3133.5555555555557
"STEM births per 1,000 est. births",-10,0.030552631976784695,0.024382494186476204,0.006170137790308491,9,3132.777777777778
"STEM births per 1,000 est. births",0,0.048290286994309956,0.030287586196761772,0.018002700797548184,9,3130.222222222222
"STEM births per 1,000 est. births",10,0.060914838767839735,0.04817235518152892,0.012742483586310818,9,3129.4444444444443
"STEM births per 1,000 est. births",20,0.11483629171234792,0.03388893262866103,0.08094735908368689,9,3128.8888888888887
"STEM births per 1,000 est. births",30,0.13307831544893245,0.030972267487299636,0.1021060479616328,9,3128.5555555555557
"STEM births per 1,000 est. births",40,0.10479572226260593,0.029057989843823337,0.0757377324187826,9,3127.8888888888887
"STEM births per 1,000 est. births",50,0.09821356524369282,0.031415336904266004,0.06679822833942681,9,3127
County population,-50,20870.390278286402,3820.1155405316126,17050.27473775479,9,3136.1111111111113
County population,-40,38966.61818695068,5033.479441159862,33933.13874579082,9,3135.4444444444443
County population,-30,61043.12479146322,6398.622423769348,54644.50236769387,9,3135.1111111111113
County population,-20,81790.2281765408,8241.957675229247,73548.27050131155,9,3134.5555555555557
County population,-10,111230.65204196506,10560.984442904324,100669.66759906073,9,3133.777777777778
County population,0,152946.55376519097,13134.698186652877,139811.8555785381,9,3131.222222222222
County population,10,195222.72081163194,16344.280757081939,178878.44005455,9,3130.4444444444443
County population,20,253202.80414496528,19629.515083024053,233573.28906194124,9,3129.8888888888887
County population,30,325422.953125,23693.528068410586,301729.4250565894,9,3129.5555555555557
County population,40,381743.62413194444,27487.765987445804,354255.85814449866,9,3128.8888888888887
County population,50,457966.9314236111,32137.767127976662,425829.1642956345,9,3128
