outcome,estimator,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20,post_0,se_0,post_avg_0_60
Any STEM birth (pp),Wooldridge ETWFE,NA,NA,-19.867149758569777,9.635572694595725,0.9129013923381677,9.634878075081339,9.256891162132444,15.731990357549131,32.769726247837134
Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,NA,NA,0.1546705640147269,4.89055229209921,7.586841500040187,7.773519543595049,2.5829510549468067,17.36943619296746,9.41093587204461
County population,Wooldridge ETWFE,NA,NA,-66811.53208599419,32352.908686593935,-27149.892886265774,12744.137805710658,39107.14734222747,19294.156710300787,171643.53437568885
County population,Wooldridge ETWFE + county pre-period trend,NA,NA,-39830.30826579162,14813.3403007867,-18156.151613043447,6903.295568897802,30113.406068467422,13612.285907933943,140165.43991820049
STEM births (count),Wooldridge ETWFE,NA,NA,-2.0758738278411806,1.3405495093814084,-1.7616155158206428,1.2621118262138755,1.0813796532635855,0.5806505035925023,5.758507388418276
STEM births (count),Wooldridge ETWFE + county pre-period trend,NA,NA,-1.2539755889784112,0.8617501836038415,-1.487649436207361,1.1023943913356822,0.8074135736276298,0.4965237140058348,4.7996261097205295
"STEM births per 1,000 est. births",Wooldridge ETWFE,NA,NA,-0.02608411921834502,0.007391184720901492,0.007848560578031518,0.008027362730974793,0.01179345780975964,0.022908335235254818,0.05315870423907525
"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.0032166950008288213,0.005127062219940361,0.015471035316625872,0.007354221513422623,0.004170983069437258,0.023431577870835912,0.02648004265010228
"STEM births per 1,000 population",Wooldridge ETWFE,NA,NA,-0.012749592231779428,0.003765390035328807,0.0051401897642129515,0.003956927650117241,0.006242765103659757,0.01240746444266662,0.017377943481396575
"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,NA,NA,-1.4526496905133872e-4,0.002500254155658549,0.009341632184829547,0.0035834463218169924,0.0020413226821646892,0.012715187426066558,0.0026728950072613285
