spec,outcome,estimator,conf_low,conf_high,event_time,att,se
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-5.802399721988143,1.3505478701337608,-50,-2.225925925927191,1.8247315286025265
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-4.478431106348519,1.0673199952349188,-40,-1.7055555555568,1.414732423873326
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-3.7262929875524025,1.1707374319944066,-30,-1.2777777777789978,1.2492424539660227
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-4.22458060901135,0.9838398682681353,-20,-1.6203703703716075,1.3286786931835421
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,0,0,-10,0,0
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-0.30123654708377035,2.1197550656000557,0,0.9092592592581425,0.6175999011948535
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-0.7731017552156785,6.828657310769154,10,3.027777777776738,1.9392242515267433
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,0.12615801261799664,12.16273087626891,20,6.144444444443454,3.070554301951764
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-0.19030264525699891,16.19771005266262,30,8.003703703702811,4.180615484163169
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-1.0499851792713244,12.11665184593626,40,5.533333333332468,3.3588359758182618
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE,-0.4349937203098202,9.74240112771528,50,4.653703703702729,2.59627419592477
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-3.6710967611774823,0.8746369247139778,-50,-1.3982299182317524,1.1596259402784337
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-2.881725359196202,0.7121582596254517,-40,-1.084783549785375,0.9168070456177687
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-2.6592863145192482,0.93142676665605,-30,-0.8639297739315991,0.9159982349936985
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-3.689257232518206,0.8623644956217893,-20,-1.4134463684482084,1.1611279918724478
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-0.3352947252207751,1.739965239887789,0,0.702335257333507,0.5294030523236133
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-0.55429659384109,5.782156141697192,10,2.613929773928051,1.6164420243720108
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,0.46270186445299455,10.584643012888595,20,5.523672438670794,2.5821278439886735
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,0.27997013291091477,14.0720452591014,30,7.176007696006157,3.518386511783287
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-0.4531380227084352,9.450564670132076,40,4.49871332371182,2.5264547685817633
High access vs low-access counties only,STEM births (count),Wooldridge ETWFE + county pre-period trend,-0.014898195320544705,6.839217579636507,50,3.412159692157981,1.7484989221829215
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,-28.358036089502278,13.543221274699377,-50,-7.407407407401451,10.689096266377973
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,-31.84459932184626,11.10385858111777,-40,-10.370370370364245,10.956239260960212
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,-8.357508989468636,33.17232380429625,-30,12.407407407413805,10.594345100450225
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,-17.25622282963354,24.293259866683126,-20,3.518518518524793,10.599357830693027
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,0,0,-10,0,0
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,-28.281103112610573,37.91073274225209,0,4.814814814820755,16.88567241195476
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,-17.07814916278787,67.07814916280041,10,25.00000000000627,21.468443450405175
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,6.423971456254744,55.057510025237576,20,30.740740740746162,12.40651494106705
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,11.307857756839596,65.35880890983796,30,38.33333333333878,13.78850794719346
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,-9.227007050014304,49.59737742039566,40,20.185185185190676,15.006220528165807
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE,-18.819805622326808,32.153138955671054,50,6.666666666672121,13.00330218826476
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,6.148631199219661,28.685423634840124,-50,17.417027417029892,5.74918174378073
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-4.653381027890795,21.149292523808153,-40,8.24795574795868,6.582314681555855
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,10.884369927124004,38.75487971213161,-30,24.81962481962781,7.1098239247468396
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-7.398286022149611,26.847540471409573,-20,9.724627224629982,8.736180227948772
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-37.78887558675177,35.00628780416888,0,-1.3912938912914472,18.570194742581798
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-37.44455067799642,62.62011585356795,10,12.587782587785767,25.52670064580724
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-20.712312854184304,44.957142099017275,20,12.122414622416484,16.752411977857545
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-30.402511425451348,57.42030844325207,30,13.508898508900362,22.403780578750872
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-57.76705963415195,36.076342943439215,40,-10.84535834535637,23.939643514691625
High access vs low-access counties only,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-74.87952357339691,13.739552433429246,50,-30.569985569983828,22.60690714459851
