outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
STEM births (count),-50,0.2222222222222222,0.39194847020933976,-0.16972624798711755,9,68.11111111111111
STEM births (count),-40,0.7777777777777778,0.4543780193236715,0.3233997584541063,9,67.44444444444444
STEM births (count),-30,1.2222222222222223,0.49096479372747487,0.7312574284947475,9,67.11111111111111
STEM births (count),-20,1.1111111111111112,0.7223525803235948,0.3887585307875163,9,66.55555555555556
STEM births (count),-10,2.888888888888889,0.9377621153261055,1.9511267735627833,9,65.77777777777777
STEM births (count),0,4,1.1208736914718098,2.87912630852819,9,63.22222222222222
STEM births (count),10,6.444444444444445,1.4554012345679013,4.989043209876543,9,62.44444444444444
STEM births (count),20,10,1.9318029242760426,8.068197075723958,9,61.888888888888886
STEM births (count),30,12.333333333333334,2.3731609489674006,9.960172384365933,9,61.55555555555556
STEM births (count),40,10.11111111111111,2.7069295101553164,7.404181600955795,9,60.888888888888886
STEM births (count),50,9.555555555555555,2.8759259259259258,6.67962962962963,9,60
Any STEM birth (pp),-50,11.11111111111111,21.751517403691317,-10.640406292580206,9,68.11111111111111
Any STEM birth (pp),-40,11.11111111111111,25.142063049671744,-14.030951938560634,9,67.44444444444444
Any STEM birth (pp),-30,33.333333333333336,25.210753584847787,8.122579748485549,9,67.11111111111111
Any STEM birth (pp),-20,33.333333333333336,34.27120383642123,-0.9378705030878933,9,66.55555555555556
Any STEM birth (pp),-10,33.333333333333336,38.517060112285684,-5.183726778952348,9,65.77777777777777
Any STEM birth (pp),0,44.44444444444444,44.73160812206511,-0.2871636776206685,9,63.22222222222222
Any STEM birth (pp),10,66.66666666666667,47.51543209876543,19.15123456790124,9,62.44444444444444
Any STEM birth (pp),20,77.77777777777777,52.154235648859306,25.623542128918466,9,61.888888888888886
Any STEM birth (pp),30,88.88888888888889,54.80855663651363,34.08033225237526,9,61.55555555555556
Any STEM birth (pp),40,77.77777777777777,62.126642771804065,15.651135005973707,9,60.888888888888886
Any STEM birth (pp),50,66.66666666666667,64.62962962962963,2.037037037037038,9,60
"STEM births per 1,000 population",-50,0.0018994269317652317,0.029037345387768882,-0.027137918456003652,9,68.11111111111111
"STEM births per 1,000 population",-40,0.0030503507923837696,0.017477916449714907,-0.014427565657331137,9,67.44444444444444
"STEM births per 1,000 population",-30,0.03326012828192701,0.027679489455107804,0.005580638826819206,9,67.11111111111111
"STEM births per 1,000 population",-20,0.017745946739170904,0.019915436591376165,-0.0021694898522052614,9,66.55555555555556
"STEM births per 1,000 population",-10,0.014317959089557276,0.019219412452132618,-0.004901453362575341,9,65.77777777777777
"STEM births per 1,000 population",0,0.022675594630560222,0.01888579292818331,0.0037898017023769125,9,63.22222222222222
"STEM births per 1,000 population",10,0.024533541771933547,0.014208021613572238,0.01032552015836131,9,62.44444444444444
"STEM births per 1,000 population",20,0.04646512139595978,0.015351262825180732,0.031113858570779043,9,61.888888888888886
"STEM births per 1,000 population",30,0.04357298457048589,0.015035747292394163,0.028537237278091727,9,61.55555555555556
"STEM births per 1,000 population",40,0.03254622594402565,0.015685533556252868,0.01686069238777278,9,60.888888888888886
"STEM births per 1,000 population",50,0.02807703135528053,0.013967648149054053,0.014109383206226477,9,60
"STEM births per 1,000 est. births",-50,0.003531507327164726,0.051544554622724136,-0.048013047295559406,9,68.11111111111111
"STEM births per 1,000 est. births",-40,0.006255403257290058,0.031943101610555254,-0.025687698353265197,9,67.44444444444444
"STEM births per 1,000 est. births",-30,0.05953176905380481,0.047980971489567675,0.011550797564237138,9,67.11111111111111
"STEM births per 1,000 est. births",-20,0.03422962020645901,0.03712323040071997,-0.0028936101942609593,9,66.55555555555556
"STEM births per 1,000 est. births",-10,0.030552631976784695,0.03835066105051227,-0.007798029073727574,9,65.77777777777777
"STEM births per 1,000 est. births",0,0.048290286994309956,0.040210874694130296,0.00807941230017966,9,63.22222222222222
"STEM births per 1,000 est. births",10,0.060914838767839735,0.03610213016405837,0.024812708603781368,9,62.44444444444444
"STEM births per 1,000 est. births",20,0.11483629171234792,0.04179083138066902,0.07304546033167891,9,61.888888888888886
"STEM births per 1,000 est. births",30,0.13307831544893245,0.044996134856823335,0.08808218059210912,9,61.55555555555556
"STEM births per 1,000 est. births",40,0.10479572226260593,0.049084711276760326,0.055711010985845605,9,60.888888888888886
"STEM births per 1,000 est. births",50,0.09821356524369282,0.045694753688838116,0.0525188115548547,9,60
County population,-50,20870.390278286402,18101.761255121437,2768.6290231649655,9,68.11111111111111
County population,-40,38966.61818695068,24064.34959516125,14902.268591789434,9,67.44444444444444
County population,-30,61043.12479146322,31342.906302634838,29700.21848882838,9,67.11111111111111
County population,-20,81790.2281765408,41367.87915312582,40422.34902341498,9,66.55555555555556
County population,-10,111230.65204196506,54771.478415386904,56459.17362657816,9,65.77777777777777
County population,0,152946.55376519097,68987.42424662028,83959.12951857068,9,63.22222222222222
County population,10,195222.72081163194,88468.14566337949,106754.57514825245,9,62.44444444444444
County population,20,253202.80414496528,112845.8619636365,140356.94218132878,9,61.888888888888886
County population,30,325422.953125,141935.7776804799,183487.1754445201,9,61.55555555555556
County population,40,381743.62413194444,170939.7658337592,210803.85829818525,9,60.888888888888886
County population,50,457966.9314236111,207740.18452871818,250226.74689489295,9,60
