outcome,estimator,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20,post_0,se_0,post_avg_0_60
Any STEM birth (pp),Wooldridge ETWFE,NA,NA,-10.370370370364245,10.956239260960212,3.518518518524793,10.599357830693027,4.814814814820755,16.88567241195476,20.95679012346246
Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,NA,NA,8.24795574795868,6.582314681555855,9.724627224629982,8.736180227948772,-1.3912938912914472,18.570194742581798,-0.7645903479215054
County population,Wooldridge ETWFE,NA,NA,-44437.84536044037,34175.87112681764,-17240.10468205477,13479.153188882936,26680.349851303163,20363.885401622032,105898.30305467169
County population,Wooldridge ETWFE + county pre-period trend,NA,NA,-114556.73327385607,24247.068546007427,-40613.067319880196,9410.905798690716,50053.31248906459,15490.623893801014,187703.67228692127
STEM births (count),Wooldridge ETWFE,NA,NA,-1.7055555555568,1.414732423873326,-1.6203703703716075,1.3286786931835421,0.9092592592581425,0.6175999011948535,4.712037037036057
STEM births (count),Wooldridge ETWFE + county pre-period trend,NA,NA,-1.084783549785375,0.9168070456177687,-1.4134463684482084,1.1611279918724478,0.702335257333507,0.5294030523236133,3.987803030301385
"STEM births per 1,000 est. births",Wooldridge ETWFE,NA,NA,-0.02149629265400948,0.010561143602229024,0.003250184922644752,0.009441581413823159,0.014875650264594305,0.025330047291459983,0.056805023557275916
"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,NA,NA,0.005918066242782752,0.00817759607457843,0.012388304554897967,0.008516647002741563,0.005737530632309745,0.025863047821026955,0.024821604844318307
"STEM births per 1,000 population",Wooldridge ETWFE,NA,NA,-0.011591471734464585,0.005807024142792178,0.001824967984388985,0.0051042028285562735,0.008092618841958225,0.013715204718962365,0.021578488970126715
"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,NA,NA,0.004073791025438883,0.004491399428451713,0.0070467222376849464,0.004612834305173488,0.0028708645886473764,0.01402789031491696,0.003302349083556828
