spec,outcome,estimator,conf_low,conf_high,event_time,att,se
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-0.5194519335624758,1.2194519335632346,-50,0.35000000000037934,0.44359792528717096
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-2.008035511154721,4.008035511155417,-40,1.0000000000003482,1.53471199548728
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-3.7222782065158393,4.82227820651664,-30,0.5500000000004002,2.1797337788348163
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-2.308993477637744,4.808993477638401,-20,1.2500000000003286,1.8158129987949352
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,0,0,-10,0,0
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-2.81196767558589,5.4786343422527235,0,1.333333333333417,2.114949494346585
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-7.058344171127761,15.66945528223916,10,4.305555555555699,5.797908023818092
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-12.471997515792618,30.47199751579312,20,9.00000000000025,10.955100773363709
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-6.4909485684442405,23.324281901777717,30,8.416666666666737,7.605926140362744
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-3.3551360089494153,6.410691564504798,40,1.5277777777776917,2.491282544248524
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-14.840929175501998,32.140929175502876,50,8.65000000000044,11.985167946684918
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-7.092641453216098,20.811256171832802,-50,6.859307359308351,7.118341230879821
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-9.1480510446126,21.207012083575496,-40,6.0294805194814485,7.743638553109208
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-9.880402103583211,20.839709462892678,-30,5.479653679654734,7.836763154713237
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-7.6085581075674185,20.208211787222762,-20,6.299826839827672,7.0961147690791275
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-3.739713565989927,8.839905966182755,0,2.550096200096414,3.209086615350174
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-10.319092981931291,21.008366671205824,10,5.344636844637265,7.991698891106407
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-13.327200898624541,33.708239859664744,20,10.1905194805201,11.998836928135022
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-6.861308228009838,24.428744495446452,30,8.783718133718306,7.982156307004155
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-6.720002282690306,3.1987420614295456,40,-1.7606301106303799,2.53029192452037
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-16.874530030718073,38.396607952798234,50,10.761038961040082,14.099780097835794
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-29.94112626031754,59.941126260317496,-50,14.99999999999998,22.929146051182407
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-62.97193587363269,22.971935873631953,-40,-20.000000000000366,21.924457078383835
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-49.24940982084102,59.24940982084005,-30,4.999999999999519,27.678270316755373
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-8.044084869101091,88.04408486910145,-20,40.00000000000018,24.512288198521055
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,0,0,-10,0,0
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-29.638521297025523,35.19407685258133,0,2.7777777777779042,16.538928099389505
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-48.85810911871298,26.63588689649034,10,-11.11111111111132,19.25867245285799
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-10.194530656476362,40.19453065647615,20,14.999999999999892,12.85435237575319
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,27.669705190848738,55.663628142485386,30,41.66666666666706,7.141306875417512
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-48.4899207593141,59.60103187042486,40,5.555555555555376,27.574222609627288
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-79.94112626031853,9.941126260317716,50,-35.000000000000405,22.929146051182716
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-98.62862426565951,295.9446415816758,-50,98.65800865800813,100.65644536921819
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-197.41242044666348,104.39943343367906,-40,-46.5064935064922,76.99281986743432
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-205.85670116079905,218.5147098188076,-30,6.329004329004274,108.2580130050017
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-52.909174402685466,235.23817873168812,-20,91.16450216450133,73.50697784040143
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-12.231269041201362,72.04848885842203,0,29.908609908610334,21.499938239699844
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-133.32303155297436,-59.264751034804924,10,-96.29389129388964,18.892418499533022
