outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
STEM births (count),-50,0.2222222222222222,0.17037037037037037,0.05185185185185184,9,8.11111111111111
STEM births (count),-40,0.7777777777777778,0.6037037037037037,0.17407407407407405,9,7.444444444444445
STEM births (count),-30,1.2222222222222223,1.0648148148148149,0.15740740740740744,9,7.111111111111111
STEM births (count),-20,1.1111111111111112,1.2148148148148148,-0.10370370370370363,9,6.555555555555555
STEM births (count),-10,2.888888888888889,3.4277777777777776,-0.5388888888888888,9,5.777777777777778
STEM births (count),0,4,2.854761904761905,1.1452380952380952,9,3.2222222222222223
STEM births (count),10,6.444444444444445,2.5,3.9444444444444446,9,2.4444444444444446
STEM births (count),20,10,4.666666666666667,5.333333333333333,9,1.8888888888888888
STEM births (count),30,12.333333333333334,4.533333333333333,7.800000000000001,9,1.5555555555555556
STEM births (count),40,10.11111111111111,12,-1.8888888888888893,9,0.8888888888888888
STEM births (count),50,9.555555555555555,NA,NA,9,0
Any STEM birth (pp),-50,11.11111111111111,12.592592592592593,-1.4814814814814827,9,8.11111111111111
Any STEM birth (pp),-40,11.11111111111111,23.580246913580247,-12.469135802469136,9,7.444444444444445
Any STEM birth (pp),-30,33.333333333333336,29.320987654320987,4.012345679012348,9,7.111111111111111
Any STEM birth (pp),-20,33.333333333333336,32.839506172839506,0.49382716049382935,9,6.555555555555555
Any STEM birth (pp),-10,33.333333333333336,42.40740740740741,-9.074074074074076,9,5.777777777777778
Any STEM birth (pp),0,44.44444444444444,50.23809523809524,-5.793650793650798,9,3.2222222222222223
Any STEM birth (pp),10,66.66666666666667,66.66666666666667,0,9,2.4444444444444446
Any STEM birth (pp),20,77.77777777777777,58.333333333333336,19.444444444444436,9,1.8888888888888888
Any STEM birth (pp),30,88.88888888888889,36.66666666666667,52.222222222222214,9,1.5555555555555556
Any STEM birth (pp),40,77.77777777777777,50,27.77777777777777,9,0.8888888888888888
Any STEM birth (pp),50,66.66666666666667,NA,NA,9,0
"STEM births per 1,000 population",-50,0.0018994269317652317,0.010187066176056537,-0.008287639244291305,9,8.11111111111111
"STEM births per 1,000 population",-40,0.0030503507923837696,0.011799594915767188,-0.008749244123383418,9,7.444444444444445
"STEM births per 1,000 population",-30,0.03326012828192701,0.011948921189377036,0.021311207092549973,9,7.111111111111111
"STEM births per 1,000 population",-20,0.017745946739170904,0.018249470295092666,-5.035235559217623e-4,9,6.555555555555555
"STEM births per 1,000 population",-10,0.014317959089557276,0.02562418641288412,-0.011306227323326843,9,5.777777777777778
"STEM births per 1,000 population",0,0.022675594630560222,0.024959250562553176,-0.002283655931992954,9,3.2222222222222223
"STEM births per 1,000 population",10,0.024533541771933547,0.022103562623383952,0.002429979148549595,9,2.4444444444444446
"STEM births per 1,000 population",20,0.04646512139595978,0.012183629066270643,0.034281492329689134,9,1.8888888888888888
"STEM births per 1,000 population",30,0.04357298457048589,0.007378350269940411,0.03619463430054548,9,1.5555555555555556
"STEM births per 1,000 population",40,0.03254622594402565,0.016876687668766877,0.01566953827525877,9,0.8888888888888888
"STEM births per 1,000 population",50,0.02807703135528053,NA,NA,9,0
"STEM births per 1,000 est. births",-50,0.003531507327164726,0.018502839463658424,-0.014971332136493699,9,8.11111111111111
"STEM births per 1,000 est. births",-40,0.006255403257290058,0.02280871762895129,-0.016553314371661233,9,7.444444444444445
"STEM births per 1,000 est. births",-30,0.05953176905380481,0.022709330886427792,0.03682243816737702,9,7.111111111111111
"STEM births per 1,000 est. births",-20,0.03422962020645901,0.03296210243871113,0.0012675177677478819,9,6.555555555555555
"STEM births per 1,000 est. births",-10,0.030552631976784695,0.04968071992931015,-0.019128087952525453,9,5.777777777777778
"STEM births per 1,000 est. births",0,0.048290286994309956,0.04949230499220518,-0.0012020179978952245,9,3.2222222222222223
"STEM births per 1,000 est. births",10,0.060914838767839735,0.045666198762881936,0.015248640004957799,9,2.4444444444444446
"STEM births per 1,000 est. births",20,0.11483629171234792,0.027250743407925725,0.0875855483044222,9,1.8888888888888888
"STEM births per 1,000 est. births",30,0.13307831544893245,0.01827146817195339,0.11480684727697905,9,1.5555555555555556
"STEM births per 1,000 est. births",40,0.10479572226260593,0.04447041332845182,0.06032530893415411,9,0.8888888888888888
"STEM births per 1,000 est. births",50,0.09821356524369282,NA,NA,9,0
County population,-50,20870.390278286402,16832.432366773817,4037.9579115125853,9,8.11111111111111
County population,-40,38966.61818695068,28690.024546041608,10276.593640909075,9,7.444444444444445
County population,-30,61043.12479146322,53344.07717669452,7699.0476147687,9,7.111111111111111
County population,-20,81790.2281765408,80004.52937064465,1785.6988058961433,9,6.555555555555555
County population,-10,111230.65204196506,133179.32715853467,-21948.675116569604,9,5.777777777777778
County population,0,152946.55376519097,114247.14274727958,38699.41101791139,9,3.2222222222222223
County population,10,195222.72081163194,116068.84330240886,79153.87750922308,9,2.4444444444444446
County population,20,253202.80414496528,206326.7958984375,46876.00824652778,9,1.8888888888888888
County population,30,325422.953125,248702.383984375,76720.56914062501,9,1.5555555555555556
County population,40,381743.62413194444,380723.591796875,1020.032335069438,9,0.8888888888888888
County population,50,457966.9314236111,NA,NA,9,0
