outcome,estimator,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20,post_0,se_0,post_avg_0_60
Any STEM birth (pp),Wooldridge ETWFE,NA,NA,-20.000000000000366,21.924457078383835,40.00000000000018,24.512288198521055,2.7777777777779042,16.538928099389505,3.148148148148085
Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,NA,NA,-46.5064935064922,76.99281986743432,91.16450216450133,73.50697784040143,29.908609908610334,21.499938239699844,3.3112073112072964
County population,Wooldridge ETWFE,NA,NA,-772866.8166359512,876751.8424828968,-394281.5417099534,821975.9448581509,-171984.55525717442,190155.3172183037,-104508.91623627998
County population,Wooldridge ETWFE + county pre-period trend,NA,NA,-545457.8286780703,650626.6162013083,-234698.89644746835,628053.1093009146,-136330.74204542208,150734.83614334432,-88821.59321908224
STEM births (count),Wooldridge ETWFE,NA,NA,1.0000000000003482,1.53471199548728,1.2500000000003286,1.8158129987949352,1.333333333333417,2.114949494346585,5.538888888889039
STEM births (count),Wooldridge ETWFE + county pre-period trend,NA,NA,6.0294805194814485,7.743638553109208,6.299826839827672,7.0961147690791275,2.550096200096414,3.209086615350174,5.978229918230298
"STEM births per 1,000 est. births",Wooldridge ETWFE,NA,NA,-0.04283967622772325,0.01234316882002098,0.03300709150903995,0.01997768163706257,0.004728609533738451,0.030896003502967867,0.04740306905350006
"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.1461121658363554,0.037468903890529245,0.1707787825493549,0.034113541164131046,0.011317999571220533,0.030927087950249864,0.05351987951884052
"STEM births per 1,000 population",Wooldridge ETWFE,NA,NA,-0.020890106513023053,0.006018955651949221,0.018042821065134034,0.009378613129468475,0.0034182629390759165,0.0169118587534907,0.01401685456524957
"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.08106795412254704,0.01762365326581763,0.08876615920649542,0.01609777448790685,0.006295815891391873,0.0166099018172408,0.017020616548893943
