spec,outcome,estimator,conf_low,conf_high,event_time,att,se
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-8.50172651117563,-2.386700598829281,-50,-5.444213555002455,1.5599555898842725
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-8.12624732313556,-3.3960672548987927,-40,-5.761157289017176,1.20667858883591
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-7.755064461018762,-3.578311498088684,-30,-5.666687979553723,1.0654982048291017
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-6.806370337201571,-2.35296470119354,-20,-4.579667519197556,1.1360728663285795
High access vs all other counties,STEM births (count),Wooldridge ETWFE,0,0,-10,0,0
High access vs all other counties,STEM births (count),Wooldridge ETWFE,6.1430314063296105,8.191879079550425,0,7.167455242940018,0.5226652227604116
High access vs all other counties,STEM births (count),Wooldridge ETWFE,18.08657637557982,24.574421066802447,10,21.330498721191134,1.6550624212302625
High access vs all other counties,STEM births (count),Wooldridge ETWFE,14.983736574399956,25.239089512493123,20,20.11141304344654,2.6161614637992776
High access vs all other counties,STEM births (count),Wooldridge ETWFE,19.40485336522881,33.38485251705125,30,26.39485294114003,3.5663263142404187
High access vs all other counties,STEM births (count),Wooldridge ETWFE,5.796854505412743,16.960242681240995,40,11.378548593326869,2.8478031060786355
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-0.981112503119737,7.5187723496367695,50,3.2688299232585165,2.1683379726419663
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-4.432320618621169,-0.5665231165136448,-50,-2.499421867567407,0.986172832170287
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-5.0729227020528285,-2.032204344822529,-40,-3.5525635234376787,0.7756934584771172
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-5.719062583269894,-2.669521688391443,-30,-4.194292135830668,0.7779441058363397
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-5.788387800149647,-1.8985513945104655,-20,-3.8434695973300563,0.9923052055201994
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,5.555257469991465,7.307257172202588,0,6.431257321097027,0.44693869954365373
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,17.15253426972268,22.563671485255135,10,19.858102877488907,1.3803921468195042
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,13.586922404492526,22.21871615128473,20,17.90281927788863,2.2019882007122975
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,17.562260074011682,29.337862433437763,30,23.450061253724723,3.0039801937311426
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,3.4976730204269275,11.897444947688108,40,7.697558984057517,2.142798961036015
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-3.994524249632763,1.697809033903765,50,-1.148357607864499,1.4521258376368695
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,-33.35479721348909,0.6437997704047334,-50,-16.35549872154218,8.673111475483118
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,-34.47150366551813,-0.47095157806897703,-40,-17.471227621793552,8.673610226390089
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,-14.905131966858551,19.0931115058202,-30,2.0939897694808236,8.673021294050702
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,-15.860006701167814,18.136221534253483,-20,1.138107416542835,8.672507202913597
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,0,0,-10,0,0
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,-19.503825511443452,36.00638305552201,0,8.251278772039278,14.160767491572821
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,-8.529887983637362,62.23193401881353,10,26.851023017588087,18.05148520470686
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,16.685878004005083,55.94839309507396,20,36.31713554953952,10.01594772731349
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,23.766439262765843,67.65939193871297,30,45.71291560073941,11.197181805088553
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,11.199847495107004,59.27969214623005,40,35.23976982066853,12.26526649263343
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,5.352951359156382,44.62147319264059,50,24.98721227589849,10.017480059562299
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-0.21201173465949452,15.48608974607142,-50,7.6370390057059625,4.004617724676254
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-8.105857243322514,9.152208590955595,-40,0.5231756738165403,4.402567814866865
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,3.2923590592566914,24.88815820765946,-30,14.090258633458074,5.509132435817032
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-6.5778087158445615,20.850292413605164,-20,7.136241848880301,6.996964573839215
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-28.39087475201842,32.897163434242806,0,2.253144341112194,15.63470361894419
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-27.49631291684954,57.20582122689094,10,14.854754155020702,21.60768728156645
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-9.035518774620758,45.68098328528977,20,18.322732255334508,13.958291341813911
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-15.354217135895613,58.7949728856627,30,21.720377874883543,18.91560969937712
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-34.43478476350847,44.932980089894464,40,5.249097663192998,20.2468787891334
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-48.0921655687678,26.088976942337226,50,-11.001594313215287,18.923760844669648
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,-0.005707913660873727,0.006555638711367642,-50,4.2386252524695796e-4,0.0031284572378166755
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,-0.019838158298716452,-0.0063942819032027235,-40,-0.013116220100959588,0.003429560304977992
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,0.0037428594728192025,0.01625037080554897,-30,0.009996615139184086,0.003190691666512696
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,-0.006737150926205173,0.007222193565107033,-20,2.4252131945093e-4,0.0035610572681918896
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,0,0,-10,0,0
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,-0.009220741670959064,0.03456340869659202,0,0.012671333512816477,0.011169426114171195
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,0.004558141647896037,0.036924563581250874,10,0.020741352614573456,0.008256740289121132
