outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
STEM births (count),-50,3.7,0.05855652434515542,3.6414434756548446,10,3136.7
STEM births (count),-40,3.4,0.07717182644402287,3.322828173555977,10,3136
STEM births (count),-30,3.5,0.08289473183940645,3.4171052681605936,10,3135.7
STEM births (count),-20,4.6,0.09831303394198992,4.50168696605801,10,3135.1
STEM births (count),-10,9.2,0.12119844284830657,9.078801557151692,10,3134.2
STEM births (count),0,16.4,0.15464831610775495,16.245351683892245,10,3131.8
STEM births (count),10,30.6,0.18925333231485916,30.410746667685142,10,3130.9
STEM births (count),20,29.4,0.2060964055779781,29.19390359442202,10,3130.3
STEM births (count),30,35.7,0.22311540153967552,35.47688459846033,10,3130
STEM births (count),40,20.7,0.2411072587834202,20.45889274121658,10,3129.3
STEM births (count),50,12.6,0.2495240669947582,12.350475933005242,10,3128.4
Any STEM birth (pp),-50,20,3.6165644352291193,16.38343556477088,10,3136.7
Any STEM birth (pp),-40,20,4.737330479413249,15.262669520586751,10,3136
Any STEM birth (pp),-30,40,5.175332531789564,34.824667468210436,10,3135.7
Any STEM birth (pp),-20,40,6.1458226081080625,33.85417739189194,10,3135.1
Any STEM birth (pp),-10,40,7.290397351392505,32.70960264860749,10,3134.2
Any STEM birth (pp),0,50,9.019367148416025,40.98063285158398,10,3131.8
Any STEM birth (pp),10,70,10.417344650790561,59.58265534920944,10,3130.9
Any STEM birth (pp),20,80,10.93322895929974,69.06677104070026,10,3130.3
Any STEM birth (pp),30,90,11.52209160691489,78.47790839308512,10,3130
Any STEM birth (pp),40,80,11.990709542161252,68.00929045783874,10,3129.3
Any STEM birth (pp),50,70,12.229802630127043,57.77019736987296,10,3128.4
"STEM births per 1,000 population",-50,0.029713726881349087,0.010479418522631056,0.019234308358718033,10,3135.7
"STEM births per 1,000 population",-40,0.019637726113474013,0.013918222280758607,0.005719503832715406,10,3135
"STEM births per 1,000 population",-30,0.04145708434666957,0.012605493010806582,0.028851591335862993,10,3134.7
"STEM births per 1,000 population",-20,0.029043228207411828,0.009986719457272239,0.01905650875013959,10,3134.1
"STEM births per 1,000 population",-10,0.030634885642349355,0.011814954894959252,0.018819930747390103,10,3133.2
"STEM births per 1,000 population",0,0.045127045021493666,0.01361595637367207,0.031511088647821595,10,3130.8
"STEM births per 1,000 population",10,0.060038853209890594,0.02042612885488293,0.039612724355007664,10,3129.9
"STEM births per 1,000 population",20,0.06521426338458933,0.013195557227863156,0.05201870615672617,10,3129.3
"STEM births per 1,000 population",30,0.06336760907223932,0.010819852492330778,0.05254775657990854,10,3129
"STEM births per 1,000 population",40,0.03837353193630471,0.00887410346724656,0.029499428469058148,10,3128.3
"STEM births per 1,000 population",50,0.0279158904966297,0.008989005835170332,0.01892688466145937,10,3127.4
"STEM births per 1,000 est. births",-50,0.06060710580022976,0.01969918210976196,0.0409079236904678,10,3135.7
"STEM births per 1,000 est. births",-40,0.04102066585039933,0.027517531458007265,0.013503134392392067,10,3135
"STEM births per 1,000 est. births",-30,0.0805720914468193,0.02483439256239493,0.05573769888442437,10,3134.7
"STEM births per 1,000 est. births",-20,0.06525131619153715,0.020345251330800156,0.04490606486073699,10,3134.1
"STEM births per 1,000 est. births",-10,0.07896705484029115,0.025155813858463882,0.05381124098182727,10,3133.2
"STEM births per 1,000 est. births",0,0.12069056444596983,0.03045815298985387,0.09023241145611596,10,3130.8
"STEM births per 1,000 est. births",10,0.1931619012008377,0.046863034214421985,0.14629886698641573,10,3129.9
"STEM births per 1,000 est. births",20,0.2018987915227672,0.034061944249154194,0.16783684727361303,10,3129.3
"STEM births per 1,000 est. births",30,0.2119496809367677,0.03211245343386115,0.17983722750290654,10,3129
"STEM births per 1,000 est. births",40,0.12861520697021034,0.028844419646463,0.09977078732374733,10,3128.3
"STEM births per 1,000 est. births",50,0.10014781068443564,0.029678024335809843,0.0704697863486258,10,3127.4
County population,-50,31281.457500457764,4446.407966087699,26835.049534370064,10,3136.7
County population,-40,51053.46574325561,5763.837639721317,45289.6281035343,10,3136
County population,-30,75766.77793731689,7360.479432633838,68406.29850468304,10,3135.7
County population,-20,101151.24598388672,9414.096744849912,91737.14923903681,10,3135.1
County population,-10,137293.36183776855,11886.79019417427,125406.57164359427,10,3134.2
County population,0,189433.9077636719,14670.624718033909,174763.28304563797,10,3131.8
County population,10,241034.67373046876,17979.80325425813,223054.87047621064,10,3130.9
County population,20,315078.2049804687,21443.714587962175,293634.49039250653,10,3130.3
County population,30,394735.9015625,25374.003813312927,369361.8977491871,10,3130
County population,40,471295.43671875,29555.068568553026,441740.36815019697,10,3129.3
County population,50,563309.70078125,34387.49607481978,528922.2047064302,10,3128.4
