outcome,g,decade,cohort_mean,n_obs,cohort_label
STEM births (count),0,1800,0.23333333333333334,60,Control (g = 0)
STEM births (count),0,1810,0.3,60,Control (g = 0)
STEM births (count),0,1820,0.26666666666666666,60,Control (g = 0)
STEM births (count),0,1830,0.43333333333333335,60,Control (g = 0)
STEM births (count),0,1840,0.6666666666666666,60,Control (g = 0)
STEM births (count),0,1850,0.8166666666666667,60,Control (g = 0)
STEM births (count),0,1860,0.7,60,Control (g = 0)
STEM births (count),0,1870,0.7,60,Control (g = 0)
STEM births (count),0,1880,1.2166666666666666,60,Control (g = 0)
STEM births (count),0,1890,1.1833333333333333,60,Control (g = 0)
STEM births (count),0,1900,1.8666666666666667,60,Control (g = 0)
STEM births (count),0,1910,2.966666666666667,60,Control (g = 0)
STEM births (count),0,1920,4.15,60,Control (g = 0)
STEM births (count),0,1930,4.333333333333333,60,Control (g = 0)
STEM births (count),0,1940,4.533333333333333,60,Control (g = 0)
STEM births (count),0,1950,3.3833333333333333,60,Control (g = 0)
STEM births (count),0,1960,2.1166666666666667,60,Control (g = 0)
STEM births (count),0,1970,0.9166666666666666,60,Control (g = 0)
STEM births (count),0,1980,0.3,60,Control (g = 0)
STEM births (count),0,1990,0.05,60,Control (g = 0)
STEM births (count),0,2000,0,60,Control (g = 0)
STEM births (count),1850,1800,0,4,Cohort 1850
STEM births (count),1850,1810,0,4,Cohort 1850
STEM births (count),1850,1820,0,4,Cohort 1850
STEM births (count),1850,1830,0,4,Cohort 1850
STEM births (count),1850,1840,0.25,4,Cohort 1850
STEM births (count),1850,1850,1,4,Cohort 1850
STEM births (count),1850,1860,1,4,Cohort 1850
STEM births (count),1850,1870,3.5,4,Cohort 1850
STEM births (count),1850,1880,2.5,4,Cohort 1850
STEM births (count),1850,1890,1.75,4,Cohort 1850
STEM births (count),1850,1900,3.75,4,Cohort 1850
STEM births (count),1850,1910,4,4,Cohort 1850
STEM births (count),1850,1920,7.5,4,Cohort 1850
STEM births (count),1850,1930,6,4,Cohort 1850
STEM births (count),1850,1940,7.75,4,Cohort 1850
STEM births (count),1850,1950,4.25,4,Cohort 1850
STEM births (count),1850,1960,1.5,4,Cohort 1850
STEM births (count),1850,1970,1.25,4,Cohort 1850
STEM births (count),1850,1980,0.5,4,Cohort 1850
