outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
STEM births (count),-50,3.7,0.6113553113553114,3.0886446886446888,10,68.7
STEM births (count),-40,3.4,0.7275766941391941,2.672423305860806,10,68
STEM births (count),-30,3.5,0.8018166208791209,2.698183379120879,10,67.7
STEM births (count),-20,4.6,1.1090228174603174,3.490977182539682,10,67.1
STEM births (count),-10,9.2,1.4464274392501852,7.753572560749814,10,66.2
STEM births (count),0,16.4,1.8106215909545829,14.589378409045416,10,63.8
STEM births (count),10,30.6,2.1168673812526273,28.483132618747373,10,62.9
STEM births (count),20,29.4,2.425749007936508,26.97425099206349,10,62.3
STEM births (count),30,35.7,2.8909897866250325,32.80901021337497,10,62
STEM births (count),40,20.7,3.0985493104345565,17.601450689565443,10,61.3
STEM births (count),50,12.6,3.2205464480874317,9.379453551912569,10,60.4
Any STEM birth (pp),-50,20,24.285381285381284,-4.285381285381284,10,68.7
Any STEM birth (pp),-40,20,27.67222360972361,-7.672223609723609,10,68
Any STEM birth (pp),-30,40,28.674450549450547,11.325549450549453,10,67.7
Any STEM birth (pp),-20,40,37.43046536796537,2.5695346320346317,10,67.1
Any STEM birth (pp),-10,40,41.390483833106785,-1.390483833106785,10,66.2
Any STEM birth (pp),0,50,47.86328118602709,2.1367188139729123,10,63.8
Any STEM birth (pp),10,70,50.23337011349306,19.76662988650694,10,62.9
Any STEM birth (pp),20,80,53.13095238095238,26.86904761904762,10,62.3
Any STEM birth (pp),30,90,57.28259172521467,32.71740827478533,10,62
Any STEM birth (pp),40,80,63.09211553473848,16.907884465261517,10,61.3
Any STEM birth (pp),50,70,63.939890710382514,6.060109289617486,10,60.4
"STEM births per 1,000 population",-50,0.029713726881349087,0.031587480913055986,-0.0018737540317068993,10,68.7
"STEM births per 1,000 population",-40,0.019637726113474013,0.020774283571596518,-0.001136557458122505,10,68
"STEM births per 1,000 population",-30,0.04145708434666957,0.028854574521385994,0.012602509825283579,10,67.7
"STEM births per 1,000 population",-20,0.029043228207411828,0.022838240522979628,0.0062049876844322005,10,67.1
"STEM births per 1,000 population",-10,0.030634885642349355,0.021441726041979883,0.009193159600369472,10,66.2
"STEM births per 1,000 population",0,0.045127045021493666,0.02208823502185216,0.023038809999641505,10,63.8
"STEM births per 1,000 population",10,0.060038853209890594,0.01679777659752153,0.04324107661236906,10,62.9
"STEM births per 1,000 population",20,0.06521426338458933,0.01656736973577628,0.04864689364881305,10,62.3
"STEM births per 1,000 population",30,0.06336760907223932,0.0160043760614373,0.04736323301080202,10,62
"STEM births per 1,000 population",40,0.03837353193630471,0.01605827489130748,0.02231525704499723,10,61.3
"STEM births per 1,000 population",50,0.0279158904966297,0.0140096306852976,0.013906259811332101,10,60.4
"STEM births per 1,000 est. births",-50,0.06060710580022976,0.05657393647845584,0.004033169321773916,10,68.7
"STEM births per 1,000 est. births",-40,0.04102066585039933,0.03864291027508974,0.002377755575309594,10,68
"STEM births per 1,000 est. births",-30,0.0805720914468193,0.05127823863447687,0.02929385281234243,10,67.7
"STEM births per 1,000 est. births",-20,0.06525131619153715,0.04379628511260924,0.021455031078927912,10,67.1
"STEM births per 1,000 est. births",-10,0.07896705484029115,0.04421754555693656,0.03474950928335459,10,66.2
"STEM births per 1,000 est. births",0,0.12069056444596983,0.04921127024026679,0.07147929420570304,10,63.8
"STEM births per 1,000 est. births",10,0.1931619012008377,0.04368633907175923,0.14947556212907848,10,62.9
"STEM births per 1,000 est. births",20,0.2018987915227672,0.04655717827237325,0.15534161325039397,10,62.3
"STEM births per 1,000 est. births",30,0.2119496809367677,0.04854742853475771,0.16340225240200998,10,62
"STEM births per 1,000 est. births",40,0.12861520697021034,0.050440339346289303,0.07817486762392103,10,61.3
"STEM births per 1,000 est. births",50,0.10014781068443564,0.04585924273086632,0.05428856795356932,10,60.4
County population,-50,31281.457500457764,21522.14176365252,9759.315736805245,10,68.7
County population,-40,51053.46574325561,28519.209571454063,22534.25617180155,10,68
County population,-30,75766.77793731689,37386.87775059711,38379.90018671978,10,67.7
County population,-20,101151.24598388672,49308.46952586973,51842.77645801699,10,67.1
County population,-10,137293.36183776855,63629.22188208088,73664.13995568767,10,66.2
County population,0,189433.9077636719,79998.48430870856,109435.42345496333,10,63.8
County population,10,241034.67373046876,101123.09819400874,139911.57553646003,10,62.9
County population,20,315078.2049804687,127595.03081557743,187483.1741648913,10,62.3
County population,30,394735.9015625,157038.88687702466,237697.01468547533,10,62
County population,40,471295.43671875,190930.06758247482,280365.36913627514,10,61.3
County population,50,563309.70078125,231714.42431109652,331595.2764701535,10,60.4
