outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
STEM births (count),-50,3.7,2.2333333333333334,1.4666666666666668,10,8.7
STEM births (count),-40,3.4,3.5716666666666668,-0.17166666666666686,10,8
STEM births (count),-30,3.5,4.04,-0.54,10,7.7
STEM births (count),-20,4.6,5.881666666666667,-1.2816666666666672,10,7.1
STEM births (count),-10,9.2,13.426666666666666,-4.226666666666667,10,6.2
STEM births (count),0,16.4,20.96851851851852,-4.56851851851852,10,3.8
STEM births (count),10,30.6,16.92142857142857,13.67857142857143,10,2.9
STEM births (count),20,29.4,10.833333333333334,18.566666666666663,10,2.3
STEM births (count),30,35.7,19.666666666666668,16.033333333333335,10,2
STEM births (count),40,20.7,29.2,-8.5,10,1.3
STEM births (count),50,12.6,66,-53.4,10,0.4
Any STEM birth (pp),-50,20,28,-8,10,8.7
Any STEM birth (pp),-40,20,36.5,-16.5,10,8
Any STEM birth (pp),-30,40,39,1,10,7.7
Any STEM birth (pp),-20,40,45.166666666666664,-5.166666666666664,10,7.1
Any STEM birth (pp),-10,40,57.333333333333336,-17.333333333333336,10,6.2
Any STEM birth (pp),0,50,69.07407407407408,-19.074074074074076,10,3.8
Any STEM birth (pp),10,70,77.85714285714286,-7.857142857142861,10,2.9
Any STEM birth (pp),20,80,69.44444444444444,10.555555555555557,10,2.3
Any STEM birth (pp),30,90,61.111111111111114,28.888888888888886,10,2
Any STEM birth (pp),40,80,73.33333333333334,6.666666666666657,10,1.3
Any STEM birth (pp),50,70,100,-30,10,0.4
"STEM births per 1,000 population",-50,0.029713726881349087,0.04956066067609877,-0.01984693379474968,10,8.7
"STEM births per 1,000 population",-40,0.019637726113474013,0.04697338178000607,-0.027335655666532056,10,8
"STEM births per 1,000 population",-30,0.04145708434666957,0.038104303688585243,0.0033527806580843297,10,7.7
"STEM births per 1,000 population",-20,0.029043228207411828,0.0508807465585563,-0.021837518351144475,10,7.1
"STEM births per 1,000 population",-10,0.030634885642349355,0.06828514699834765,-0.03765026135599829,10,6.2
"STEM births per 1,000 population",0,0.045127045021493666,0.09186736223976767,-0.046740317218274006,10,3.8
"STEM births per 1,000 population",10,0.060038853209890594,0.08253803711126348,-0.022499183901372885,10,2.9
"STEM births per 1,000 population",20,0.06521426338458933,0.04912073114477306,0.016093532239816265,10,2.3
"STEM births per 1,000 population",30,0.06336760907223932,0.0604253761489839,0.0029422329232554195,10,2
"STEM births per 1,000 population",40,0.03837353193630471,0.07935668139259265,-0.04098314945628794,10,1.3
"STEM births per 1,000 population",50,0.0279158904966297,0.17748722461747807,-0.14957133412084836,10,0.4
"STEM births per 1,000 est. births",-50,0.06060710580022976,0.09138626106777616,-0.030779155267546397,10,8.7
"STEM births per 1,000 est. births",-40,0.04102066585039933,0.0911583803622619,-0.050137714511862566,10,8
"STEM births per 1,000 est. births",-30,0.0805720914468193,0.07371598284607654,0.006856108600742761,10,7.7
"STEM births per 1,000 est. births",-20,0.06525131619153715,0.09919591087832608,-0.033944594686788926,10,7.1
"STEM births per 1,000 est. births",-10,0.07896705484029115,0.15452386568212742,-0.07555681084183627,10,6.2
"STEM births per 1,000 est. births",0,0.12069056444596983,0.21961351088972925,-0.09892294644375942,10,3.8
"STEM births per 1,000 est. births",10,0.1931619012008377,0.1924796961897747,6.822050110630029e-4,10,2.9
"STEM births per 1,000 est. births",20,0.2018987915227672,0.10918829694640197,0.09271049457636524,10,2.3
"STEM births per 1,000 est. births",30,0.2119496809367677,0.1607099196915,0.05123976124526769,10,2
"STEM births per 1,000 est. births",40,0.12861520697021034,0.21850934724614163,-0.08989414027593129,10,1.3
"STEM births per 1,000 est. births",50,0.10014781068443564,0.5146968606118493,-0.41454904992741365,10,0.4
County population,-50,31281.457500457764,26289.162027308146,4992.2954731496175,10,8.7
County population,-40,51053.46574325561,45188.56457768758,5864.90116556803,10,8
County population,-30,75766.77793731689,71579.06610870361,4187.711828613275,10,7.7
County population,-20,101151.24598388672,108375.14246632894,-7223.896482442215,10,7.1
County population,-10,137293.36183776855,152930.07923299153,-15636.717395222979,10,6.2
County population,0,189433.9077636719,171792.39659107348,17641.511172598402,10,3.8
County population,10,241034.67373046876,157456.8042829241,83577.86944754465,10,2.9
County population,20,315078.2049804687,200074.7931315104,115003.41184895832,10,2.3
County population,30,394735.9015625,262140.75260416666,132595.14895833333,10,2
County population,40,471295.43671875,350864.240625,120431.19609375001,10,1.3
County population,50,563309.70078125,371857.75,191451.95078125002,10,0.4
