spec,outcome,estimator,conf_low,conf_high,event_time,att,se
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-6.561145361509448,0.23244769381284192,-50,-3.1643488338483032,1.7330594528883394
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-5.250887346115524,0.004183014651220951,-40,-2.6233521657321517,1.3405791736649861
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-4.612491196698501,0.027745433972538258,-30,-2.2923728813629816,1.1837338343548571
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-4.785036288419121,0.16255330998941764,-20,-2.311241489214852,1.2621402036756477
High access vs all other counties,STEM births (count),Wooldridge ETWFE,0,0,-10,0,0
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-0.5029106318207991,1.7733003174557975,0,0.6351948428174993,0.5806660584889277
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-0.6650451178890715,6.54270700402404,10,2.9388309430674844,1.8387122759982428
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-0.21839335521159864,11.17493398971455,20,5.478270317251475,2.9064610573791194
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-0.06973902477439697,15.461525204701754,30,7.695893089963679,3.9620572013969775
High access vs all other counties,STEM births (count),Wooldridge ETWFE,0.15054777294731814,12.552624760736188,40,6.351586266841753,3.1637951499461403
High access vs all other counties,STEM births (count),Wooldridge ETWFE,0.7287825937146133,10.171767891575303,50,5.450275242644959,2.4089248208828296
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-4.146516466449402,0.14826010882672347,-50,-1.999128178811339,1.0956062692030932
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-3.438502622943637,-0.0603707259729378,-40,-1.7494366744582872,0.8617683410639538
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-3.4037340564040885,-0.015791051299831382,-30,-1.7097625538519599,0.8642711747714942
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-4.1806781620929785,0.14080551115892792,-20,-2.0199363254670253,1.1024193044009964
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-0.6293228008183284,1.317102158898527,0,0.34388967904009937,0.496536979519606
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-0.649563949267665,5.362005180318185,10,2.35622061552526,1.533563553465778
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-0.19045046830719237,9.399160120208101,20,4.6043548259504545,2.4463292317641057
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-0.010458598675630704,13.071803468469128,30,6.530672434896749,3.3373117518226425
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,0.2291600642696796,9.560960831755834,40,4.895060448012757,2.38056142027708
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,0.54049475596351515,6.864393764139196,50,3.702444260051356,1.6132395429019595
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,-48.87991362620363,-11.108497208776914,-50,-29.99420541749027,9.635565412608855
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,-49.76033450210821,-11.98818063534856,-40,-30.874257568728382,9.635753537438685
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,-38.89753714228969,-1.1285384761445378,-30,-20.013037809217114,9.634948639322744
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,-28.96090197128656,8.810242838400422,-20,-10.075329566443068,9.635496124920149
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,0,0,-10,0,0
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,-32.541523200236085,29.129963009826085,0,-1.7057800952049984,15.732521992362798
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,-20.082851218312502,58.529903225503176,10,19.223526003595335,20.05427409281012
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,7.945963678347251,51.56439413782783,20,29.755178908087544,11.127150627418517
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,16.20852018880849,64.97357455337423,30,40.59104737109136,12.440064888919835
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,-8.880564931896341,44.53173109237771,40,17.825583080240687,13.625585720478076
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE,-4.265809398636861,39.35924703520464,50,17.54671881828389,11.128840927000383
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-11.967639074395548,5.472589867961803,-50,-3.2475246032168723,4.449037995499324
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-20.399770118178488,-1.228723797962532,-40,-10.81424695807051,4.890573040871418
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-18.63434624959822,5.354951445245914,-30,-6.639697402176153,6.119718799705136
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-18.626106065971133,11.848787339930492,-20,-3.3886593630203192,7.774207501505517
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-42.4376178037435,25.652717205714744,0,-8.39245029901438,17.369983420780166
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-41.1999411691732,52.900312361523845,10,5.8501855961753195,24.005166717014554
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-20.698714085249907,40.08905067935831,20,9.695168297054202,15.507082848114342
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-27.344904057877656,55.03363717076907,30,13.844366556445706,21.014933986899674
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-59.69469641804717,28.479160541998397,40,-15.60776793802439,22.493330857154483
High access vs all other counties,Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-63.779886967353974,18.633282160169227,50,-22.573302403592375,21.023767634572245
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,-0.02171148242366492,-0.005395020234270145,-50,-0.013553251328967533,0.0041623628034170345
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,-0.02461385218275713,-0.009567336894972852,-40,-0.01709059453886499,0.003838396757087826
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,0.006524123091941128,0.022817759322662605,-30,0.014670941207301866,0.004156539854775887
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,-0.006722686087251184,0.008814567856740311,-20,0.001045940884744564,0.003963585189793749
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,0,0,-10,0,0
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,-0.022585550860017817,0.02606553407474045,0,0.001739991607361319,0.012410991054785273
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,-0.022237493471146653,0.014135038824285904,10,-0.0040512273234303755,0.009278707218222592
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,-0.006879353503900773,0.049319543690475864,20,0.021220095093287546,0.014336453365912407
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,0.0138987292149636,0.0307498924442849,30,0.02232431082962425,0.004298766129928904
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,0.008903162133078832,0.024505104901574336,40,0.016704133517326584,0.0039800874409427305
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE,0.0018783775504423502,0.021412618105543832,50,0.011645497827993092,0.00498322463140344
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,-0.0025016140165972753,0.009951353417229147,-50,0.0037248697003159355,0.0031767774065883728
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,-0.009224124737025096,9.601172035769712e-4,-40,-0.004132003766724062,0.002598020903214813
High access vs all other counties,"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,0.01638337476765237,0.03023662867693068,-30,0.023310001722291526,0.0035339933442036504
