outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
STEM births (count),-50,0.2222222222222222,0.04641419610204487,0.17580802612017735,9,3075.4444444444443
STEM births (count),-40,0.7777777777777778,0.06134852581138772,0.7164292519663901,9,3075.222222222222
STEM births (count),-30,1.1111111111111112,0.06446697528607227,1.046644135825039,9,3075
STEM births (count),-20,1.1111111111111112,0.08274176781858705,1.028369343292524,9,3074.3333333333335
STEM births (count),-10,3.4444444444444446,0.10643820477747622,3.3380062396669685,9,3073.777777777778
STEM births (count),0,4.111111111111111,0.1363249122087945,3.9747861989023163,9,3071.222222222222
STEM births (count),10,6.444444444444445,0.16702526518264835,6.277419179261797,9,3070.6666666666665
STEM births (count),20,9,0.1834987270457967,8.816501272954204,9,3070
STEM births (count),30,11.222222222222221,0.1877034149437047,11.034518807278516,9,3069.777777777778
STEM births (count),40,9.88888888888889,0.20030585856986047,9.688583030319029,9,3069.5555555555557
STEM births (count),50,9,0.2094011311707685,8.790598868829232,9,3068.5555555555557
Any STEM birth (pp),-50,11.11111111111111,3.1159372647325965,7.995173846378514,9,3075.4444444444443
Any STEM birth (pp),-40,11.11111111111111,3.9982681649237173,7.112842946187394,9,3075.222222222222
Any STEM birth (pp),-30,22.22222222222222,4.252070513606746,17.970151708615475,9,3075
Any STEM birth (pp),-20,33.333333333333336,5.442640382621174,27.89069295071216,9,3074.3333333333335
Any STEM birth (pp),-10,44.44444444444444,6.5025482349756,37.941896209468844,9,3073.777777777778
Any STEM birth (pp),0,44.44444444444444,8.189149075163323,36.25529536928112,9,3071.222222222222
Any STEM birth (pp),10,66.66666666666667,9.478047060016202,57.18861960665047,9,3070.6666666666665
Any STEM birth (pp),20,77.77777777777777,10.037286701570958,67.74049107620681,9,3070
Any STEM birth (pp),30,88.88888888888889,10.312764917350565,78.57612397153832,9,3069.777777777778
Any STEM birth (pp),40,66.66666666666667,10.85623073920715,55.81043592745952,9,3069.5555555555557
Any STEM birth (pp),50,66.66666666666667,11.134193146221577,55.532473520445095,9,3068.5555555555557
"STEM births per 1,000 population",-50,0.0018994269317652317,0.008726523562910883,-0.006827096631145651,9,3074.4444444444443
"STEM births per 1,000 population",-40,0.0030503507923837696,0.013408770505434204,-0.010358419713050434,9,3074.222222222222
"STEM births per 1,000 population",-30,0.030881541877685322,0.009491090784908389,0.021390451092776933,9,3074
"STEM births per 1,000 population",-20,0.01689861423371088,0.009150692666917063,0.007747921566793816,9,3073.3333333333335
"STEM births per 1,000 population",-10,0.018158615396269593,0.011475788947852525,0.0066828264484170685,9,3072.777777777778
"STEM births per 1,000 population",0,0.022613439393973544,0.014164471240482285,0.008448968153491259,9,3070.222222222222
"STEM births per 1,000 population",10,0.02423862631467952,0.021564488334319332,0.002674137980360189,9,3069.6666666666665
"STEM births per 1,000 population",20,0.04185504736547834,0.01391040666522221,0.02794464070025613,9,3069
"STEM births per 1,000 population",30,0.03964814814014795,0.010601399705739355,0.029046748434408597,9,3068.777777777778
"STEM births per 1,000 population",40,0.03195587118952246,0.008534932136825522,0.023420939052696935,9,3068.5555555555557
"STEM births per 1,000 population",50,0.027058858731821615,0.008694824504177337,0.01836403422764428,9,3067.5555555555557
"STEM births per 1,000 est. births",-50,0.003077391926388036,0.014533462385472502,-0.011456070459084465,9,3074.4444444444443
"STEM births per 1,000 est. births",-40,0.005503539576292567,0.02381258821137649,-0.01830904863508392,9,3074.222222222222
"STEM births per 1,000 est. births",-30,0.047473473432213004,0.016329890665444685,0.03114358276676832,9,3074
"STEM births per 1,000 est. births",-20,0.0291770814289046,0.016931040888829484,0.012246040540075116,9,3073.3333333333335
"STEM births per 1,000 est. births",-10,0.03789057381252914,0.021512055324918244,0.016378518487610894,9,3072.777777777778
"STEM births per 1,000 est. births",0,0.04439810313064299,0.028283285155131017,0.016114817975511973,9,3070.222222222222
"STEM births per 1,000 est. births",10,0.05519397392095632,0.04355947792473296,0.011634495996223355,9,3069.6666666666665
"STEM births per 1,000 est. births",20,0.09092323177433469,0.03164785592048574,0.05927537585384895,9,3069
"STEM births per 1,000 est. births",30,0.10741039415795871,0.027368387619876238,0.08004200653808247,9,3068.777777777778
"STEM births per 1,000 est. births",40,0.0922608643771274,0.024260084506679165,0.06800077987044822,9,3068.5555555555557
"STEM births per 1,000 est. births",50,0.08621526104501948,0.02560977652998075,0.06060548451503872,9,3067.5555555555557
County population,-50,22394.635503980848,4102.866043088854,18291.769460891992,9,3075.4444444444443
County population,-40,42323.18936750624,5388.030063336472,36935.15930416976,9,3075.222222222222
County population,-30,66165.66645812988,6779.901398696447,59385.765059433434,9,3075
County population,-20,87694.33017306858,8634.272709903033,79060.05746316555,9,3074.3333333333335
County population,-10,118274.33259752061,10889.958273026072,107384.37432449454,9,3073.777777777778
County population,0,159621.69873046875,13313.405337330145,146308.2933931386,9,3071.222222222222
County population,10,199443.52289496528,16417.428794372383,183026.0941005929,9,3070.6666666666665
County population,20,252566.93088107638,19313.608642249732,233253.32223882666,9,3070
County population,30,319659.10243055556,23488.845268513734,296170.25716204185,9,3069.777777777778
County population,40,363378.5598958333,27229.075604344656,336149.48429148865,9,3069.5555555555557
County population,50,434533.51996527775,32049.236316774517,402484.28364850325,9,3068.5555555555557
