outcome,estimator,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20,post_0,se_0,post_avg_0_60
Any STEM birth (pp),Wooldridge ETWFE,NA,NA,-30.874257568728382,9.635753537438685,-10.075329566443068,9.635496124920149,-1.7057800952049984,15.732521992362798,20.53937901434897
Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,NA,NA,-10.81424695807051,4.890573040871418,-3.3886593630203192,7.774207501505517,-8.39245029901438,17.369983420780166,-2.8639666984926526
County population,Wooldridge ETWFE,NA,NA,-70498.77978434134,32353.581672338572,-28355.087643268485,12744.405438653639,38879.618280442955,19294.551275292226,158831.72973211092
County population,Wooldridge ETWFE + county pre-period trend,NA,NA,-41827.3787540048,14813.015060053345,-18797.953966860663,6903.259645854439,29322.484602925208,13612.476248788531,125381.76186218651
STEM births (count),Wooldridge ETWFE,NA,NA,-2.6233521657321517,1.3405791736649861,-2.311241489214852,1.2621402036756477,0.6351948428174993,0.5806660584889277,4.758341783764475
STEM births (count),Wooldridge ETWFE + county pre-period trend,NA,NA,-1.7494366744582872,0.8617683410639538,-2.0199363254670253,1.1024193044009964,0.34388967904009937,0.496536979519606,3.738773710579446
"STEM births per 1,000 est. births",Wooldridge ETWFE,NA,NA,-0.03476683442444277,0.006665169313640759,-0.004164283090588461,0.007116254613646608,-3.04512576663178e-4,0.01996538737773942,0.03284319249782698
"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.013750953255597945,0.004705755885972521,0.002841010633133606,0.006530132868310193,-0.007309806298058403,0.020416895580234507,0.008324664470037796
"STEM births per 1,000 population",Wooldridge ETWFE,NA,NA,-0.01709059453886499,0.003838396757087826,0.001045940884744564,0.003963585189793749,0.001739991607361319,0.012410991054785273,0.011597133592027069
"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.004132003766724062,0.002598020903214813,0.005365471142602817,0.0035944578514193236,-0.002579538649059238,0.01271874322459444,-0.003521222307250725
