outcome,g,decade,cohort_mean,n_obs,cohort_label
STEM births (count),0,1800,0.22413793103448276,58,Control (g = 0)
STEM births (count),0,1810,0.25862068965517243,58,Control (g = 0)
STEM births (count),0,1820,0.27586206896551724,58,Control (g = 0)
STEM births (count),0,1830,0.41379310344827586,58,Control (g = 0)
STEM births (count),0,1840,0.6896551724137931,58,Control (g = 0)
STEM births (count),0,1850,0.7931034482758621,58,Control (g = 0)
STEM births (count),0,1860,0.6896551724137931,58,Control (g = 0)
STEM births (count),0,1870,0.6724137931034483,58,Control (g = 0)
STEM births (count),0,1880,1.2241379310344827,58,Control (g = 0)
STEM births (count),0,1890,1.1896551724137931,58,Control (g = 0)
STEM births (count),0,1900,1.896551724137931,58,Control (g = 0)
STEM births (count),0,1910,2.896551724137931,58,Control (g = 0)
STEM births (count),0,1920,4.017241379310345,58,Control (g = 0)
STEM births (count),0,1930,4.293103448275862,58,Control (g = 0)
STEM births (count),0,1940,4.4655172413793105,58,Control (g = 0)
STEM births (count),0,1950,3.413793103448276,58,Control (g = 0)
STEM births (count),0,1960,2.1724137931034484,58,Control (g = 0)
STEM births (count),0,1970,0.9137931034482759,58,Control (g = 0)
STEM births (count),0,1980,0.3103448275862069,58,Control (g = 0)
STEM births (count),0,1990,0.05172413793103448,58,Control (g = 0)
STEM births (count),0,2000,0,58,Control (g = 0)
STEM births (count),1850,1800,0,4,Cohort 1850
STEM births (count),1850,1810,0,4,Cohort 1850
STEM births (count),1850,1820,0,4,Cohort 1850
STEM births (count),1850,1830,0,4,Cohort 1850
STEM births (count),1850,1840,0.25,4,Cohort 1850
STEM births (count),1850,1850,1,4,Cohort 1850
STEM births (count),1850,1860,1,4,Cohort 1850
STEM births (count),1850,1870,3.5,4,Cohort 1850
STEM births (count),1850,1880,2.5,4,Cohort 1850
STEM births (count),1850,1890,1.75,4,Cohort 1850
STEM births (count),1850,1900,3.75,4,Cohort 1850
STEM births (count),1850,1910,4,4,Cohort 1850
STEM births (count),1850,1920,7.5,4,Cohort 1850
STEM births (count),1850,1930,6,4,Cohort 1850
STEM births (count),1850,1940,7.75,4,Cohort 1850
STEM births (count),1850,1950,4.25,4,Cohort 1850
STEM births (count),1850,1960,1.5,4,Cohort 1850
STEM births (count),1850,1970,1.25,4,Cohort 1850
STEM births (count),1850,1980,0.5,4,Cohort 1850
STEM births (count),1850,1990,0.25,4,Cohort 1850
STEM births (count),1850,2000,0,4,Cohort 1850
STEM births (count),1860,1800,0,1,Cohort 1860
STEM births (count),1860,1810,0,1,Cohort 1860
STEM births (count),1860,1820,0,1,Cohort 1860
STEM births (count),1860,1830,0,1,Cohort 1860
STEM births (count),1860,1840,0,1,Cohort 1860
STEM births (count),1860,1850,0,1,Cohort 1860
STEM births (count),1860,1860,0,1,Cohort 1860
STEM births (count),1860,1870,0,1,Cohort 1860
STEM births (count),1860,1880,1,1,Cohort 1860
STEM births (count),1860,1890,0,1,Cohort 1860
STEM births (count),1860,1900,0,1,Cohort 1860
STEM births (count),1860,1910,0,1,Cohort 1860
STEM births (count),1860,1920,0,1,Cohort 1860
STEM births (count),1860,1930,0,1,Cohort 1860
STEM births (count),1860,1940,1,1,Cohort 1860
STEM births (count),1860,1950,0,1,Cohort 1860
STEM births (count),1860,1960,0,1,Cohort 1860
STEM births (count),1860,1970,0,1,Cohort 1860
STEM births (count),1860,1980,0,1,Cohort 1860
STEM births (count),1860,1990,0,1,Cohort 1860
STEM births (count),1860,2000,0,1,Cohort 1860
STEM births (count),1870,1800,0,1,Cohort 1870
STEM births (count),1870,1810,0,1,Cohort 1870
STEM births (count),1870,1820,0,1,Cohort 1870
STEM births (count),1870,1830,0,1,Cohort 1870
STEM births (count),1870,1840,1,1,Cohort 1870
STEM births (count),1870,1850,1,1,Cohort 1870
STEM births (count),1870,1860,1,1,Cohort 1870
STEM births (count),1870,1870,1,1,Cohort 1870
STEM births (count),1870,1880,3,1,Cohort 1870
STEM births (count),1870,1890,3,1,Cohort 1870
STEM births (count),1870,1900,14,1,Cohort 1870
STEM births (count),1870,1910,14,1,Cohort 1870
STEM births (count),1870,1920,13,1,Cohort 1870
STEM births (count),1870,1930,14,1,Cohort 1870
STEM births (count),1870,1940,24,1,Cohort 1870
STEM births (count),1870,1950,12,1,Cohort 1870
STEM births (count),1870,1960,5,1,Cohort 1870
STEM births (count),1870,1970,2,1,Cohort 1870
STEM births (count),1870,1980,0,1,Cohort 1870
STEM births (count),1870,1990,0,1,Cohort 1870
STEM births (count),1870,2000,0,1,Cohort 1870
STEM births (count),1900,1800,0,2,Cohort 1900
STEM births (count),1900,1810,0,2,Cohort 1900
STEM births (count),1900,1820,0,2,Cohort 1900
STEM births (count),1900,1830,1,2,Cohort 1900
STEM births (count),1900,1840,0.5,2,Cohort 1900
STEM births (count),1900,1850,1,2,Cohort 1900
STEM births (count),1900,1860,3.5,2,Cohort 1900
STEM births (count),1900,1870,4.5,2,Cohort 1900
STEM births (count),1900,1880,4,2,Cohort 1900
STEM births (count),1900,1890,12,2,Cohort 1900
STEM births (count),1900,1900,14.5,2,Cohort 1900
STEM births (count),1900,1910,24.5,2,Cohort 1900
STEM births (count),1900,1920,30,2,Cohort 1900
STEM births (count),1900,1930,38,2,Cohort 1900
STEM births (count),1900,1940,34,2,Cohort 1900
STEM births (count),1900,1950,26,2,Cohort 1900
STEM births (count),1900,1960,7.5,2,Cohort 1900
STEM births (count),1900,1970,3,2,Cohort 1900
STEM births (count),1900,1980,0.5,2,Cohort 1900
STEM births (count),1900,1990,0.5,2,Cohort 1900
STEM births (count),1900,2000,0,2,Cohort 1900
STEM births (count),1920,1800,0,1,Cohort 1920
STEM births (count),1920,1810,0,1,Cohort 1920
STEM births (count),1920,1820,0,1,Cohort 1920
STEM births (count),1920,1830,0,1,Cohort 1920
STEM births (count),1920,1840,0,1,Cohort 1920
STEM births (count),1920,1850,0,1,Cohort 1920
STEM births (count),1920,1860,0,1,Cohort 1920
STEM births (count),1920,1870,0,1,Cohort 1920
STEM births (count),1920,1880,0,1,Cohort 1920
STEM births (count),1920,1890,0,1,Cohort 1920
STEM births (count),1920,1900,1,1,Cohort 1920
STEM births (count),1920,1910,5,1,Cohort 1920
STEM births (count),1920,1920,3,1,Cohort 1920
STEM births (count),1920,1930,2,1,Cohort 1920
STEM births (count),1920,1940,3,1,Cohort 1920
STEM births (count),1920,1950,1,1,Cohort 1920
STEM births (count),1920,1960,0,1,Cohort 1920
STEM births (count),1920,1970,1,1,Cohort 1920
STEM births (count),1920,1980,0,1,Cohort 1920
STEM births (count),1920,1990,0,1,Cohort 1920
STEM births (count),1920,2000,0,1,Cohort 1920
Any STEM birth (pp),0,1800,15.517241379310345,58,Control (g = 0)
Any STEM birth (pp),0,1810,18.96551724137931,58,Control (g = 0)
Any STEM birth (pp),0,1820,17.24137931034483,58,Control (g = 0)
Any STEM birth (pp),0,1830,25.862068965517242,58,Control (g = 0)
Any STEM birth (pp),0,1840,27.586206896551722,58,Control (g = 0)
Any STEM birth (pp),0,1850,36.206896551724135,58,Control (g = 0)
Any STEM birth (pp),0,1860,31.03448275862069,58,Control (g = 0)
Any STEM birth (pp),0,1870,37.93103448275862,58,Control (g = 0)
Any STEM birth (pp),0,1880,50,58,Control (g = 0)
Any STEM birth (pp),0,1890,56.89655172413793,58,Control (g = 0)
Any STEM birth (pp),0,1900,56.89655172413793,58,Control (g = 0)
Any STEM birth (pp),0,1910,67.24137931034483,58,Control (g = 0)
Any STEM birth (pp),0,1920,68.96551724137932,58,Control (g = 0)
Any STEM birth (pp),0,1930,56.89655172413793,58,Control (g = 0)
Any STEM birth (pp),0,1940,74.13793103448276,58,Control (g = 0)
Any STEM birth (pp),0,1950,68.96551724137932,58,Control (g = 0)
Any STEM birth (pp),0,1960,55.172413793103445,58,Control (g = 0)
Any STEM birth (pp),0,1970,46.55172413793103,58,Control (g = 0)
Any STEM birth (pp),0,1980,17.24137931034483,58,Control (g = 0)
Any STEM birth (pp),0,1990,5.172413793103448,58,Control (g = 0)
Any STEM birth (pp),0,2000,0,58,Control (g = 0)
Any STEM birth (pp),1850,1800,0,4,Cohort 1850
Any STEM birth (pp),1850,1810,0,4,Cohort 1850
Any STEM birth (pp),1850,1820,0,4,Cohort 1850
Any STEM birth (pp),1850,1830,0,4,Cohort 1850
Any STEM birth (pp),1850,1840,25,4,Cohort 1850
Any STEM birth (pp),1850,1850,25,4,Cohort 1850
Any STEM birth (pp),1850,1860,50,4,Cohort 1850
Any STEM birth (pp),1850,1870,75,4,Cohort 1850
Any STEM birth (pp),1850,1880,100,4,Cohort 1850
Any STEM birth (pp),1850,1890,75,4,Cohort 1850
Any STEM birth (pp),1850,1900,75,4,Cohort 1850
Any STEM birth (pp),1850,1910,75,4,Cohort 1850
Any STEM birth (pp),1850,1920,100,4,Cohort 1850
Any STEM birth (pp),1850,1930,100,4,Cohort 1850
Any STEM birth (pp),1850,1940,100,4,Cohort 1850
Any STEM birth (pp),1850,1950,100,4,Cohort 1850
Any STEM birth (pp),1850,1960,50,4,Cohort 1850
Any STEM birth (pp),1850,1970,50,4,Cohort 1850
Any STEM birth (pp),1850,1980,50,4,Cohort 1850
Any STEM birth (pp),1850,1990,25,4,Cohort 1850
Any STEM birth (pp),1850,2000,0,4,Cohort 1850
Any STEM birth (pp),1860,1800,0,1,Cohort 1860
Any STEM birth (pp),1860,1810,0,1,Cohort 1860
Any STEM birth (pp),1860,1820,0,1,Cohort 1860
Any STEM birth (pp),1860,1830,0,1,Cohort 1860
Any STEM birth (pp),1860,1840,0,1,Cohort 1860
Any STEM birth (pp),1860,1850,0,1,Cohort 1860
Any STEM birth (pp),1860,1860,0,1,Cohort 1860
Any STEM birth (pp),1860,1870,0,1,Cohort 1860
Any STEM birth (pp),1860,1880,100,1,Cohort 1860
Any STEM birth (pp),1860,1890,0,1,Cohort 1860
Any STEM birth (pp),1860,1900,0,1,Cohort 1860
Any STEM birth (pp),1860,1910,0,1,Cohort 1860
Any STEM birth (pp),1860,1920,0,1,Cohort 1860
Any STEM birth (pp),1860,1930,0,1,Cohort 1860
Any STEM birth (pp),1860,1940,100,1,Cohort 1860
Any STEM birth (pp),1860,1950,0,1,Cohort 1860
Any STEM birth (pp),1860,1960,0,1,Cohort 1860
Any STEM birth (pp),1860,1970,0,1,Cohort 1860
Any STEM birth (pp),1860,1980,0,1,Cohort 1860
Any STEM birth (pp),1860,1990,0,1,Cohort 1860
Any STEM birth (pp),1860,2000,0,1,Cohort 1860
Any STEM birth (pp),1870,1800,0,1,Cohort 1870
Any STEM birth (pp),1870,1810,0,1,Cohort 1870
Any STEM birth (pp),1870,1820,0,1,Cohort 1870
Any STEM birth (pp),1870,1830,0,1,Cohort 1870
Any STEM birth (pp),1870,1840,100,1,Cohort 1870
Any STEM birth (pp),1870,1850,100,1,Cohort 1870
Any STEM birth (pp),1870,1860,100,1,Cohort 1870
Any STEM birth (pp),1870,1870,100,1,Cohort 1870
Any STEM birth (pp),1870,1880,100,1,Cohort 1870
Any STEM birth (pp),1870,1890,100,1,Cohort 1870
Any STEM birth (pp),1870,1900,100,1,Cohort 1870
Any STEM birth (pp),1870,1910,100,1,Cohort 1870
Any STEM birth (pp),1870,1920,100,1,Cohort 1870
Any STEM birth (pp),1870,1930,100,1,Cohort 1870
Any STEM birth (pp),1870,1940,100,1,Cohort 1870
Any STEM birth (pp),1870,1950,100,1,Cohort 1870
Any STEM birth (pp),1870,1960,100,1,Cohort 1870
Any STEM birth (pp),1870,1970,100,1,Cohort 1870
Any STEM birth (pp),1870,1980,0,1,Cohort 1870
Any STEM birth (pp),1870,1990,0,1,Cohort 1870
Any STEM birth (pp),1870,2000,0,1,Cohort 1870
Any STEM birth (pp),1900,1800,0,2,Cohort 1900
Any STEM birth (pp),1900,1810,0,2,Cohort 1900
Any STEM birth (pp),1900,1820,0,2,Cohort 1900
Any STEM birth (pp),1900,1830,50,2,Cohort 1900
Any STEM birth (pp),1900,1840,50,2,Cohort 1900
Any STEM birth (pp),1900,1850,50,2,Cohort 1900
Any STEM birth (pp),1900,1860,50,2,Cohort 1900
Any STEM birth (pp),1900,1870,50,2,Cohort 1900
Any STEM birth (pp),1900,1880,50,2,Cohort 1900
Any STEM birth (pp),1900,1890,50,2,Cohort 1900
Any STEM birth (pp),1900,1900,50,2,Cohort 1900
Any STEM birth (pp),1900,1910,100,2,Cohort 1900
Any STEM birth (pp),1900,1920,50,2,Cohort 1900
Any STEM birth (pp),1900,1930,100,2,Cohort 1900
Any STEM birth (pp),1900,1940,100,2,Cohort 1900
Any STEM birth (pp),1900,1950,50,2,Cohort 1900
Any STEM birth (pp),1900,1960,50,2,Cohort 1900
Any STEM birth (pp),1900,1970,50,2,Cohort 1900
Any STEM birth (pp),1900,1980,50,2,Cohort 1900
Any STEM birth (pp),1900,1990,50,2,Cohort 1900
Any STEM birth (pp),1900,2000,0,2,Cohort 1900
Any STEM birth (pp),1920,1800,0,1,Cohort 1920
Any STEM birth (pp),1920,1810,0,1,Cohort 1920
Any STEM birth (pp),1920,1820,0,1,Cohort 1920
Any STEM birth (pp),1920,1830,0,1,Cohort 1920
Any STEM birth (pp),1920,1840,0,1,Cohort 1920
Any STEM birth (pp),1920,1850,0,1,Cohort 1920
Any STEM birth (pp),1920,1860,0,1,Cohort 1920
Any STEM birth (pp),1920,1870,0,1,Cohort 1920
Any STEM birth (pp),1920,1880,0,1,Cohort 1920
Any STEM birth (pp),1920,1890,0,1,Cohort 1920
Any STEM birth (pp),1920,1900,100,1,Cohort 1920
Any STEM birth (pp),1920,1910,100,1,Cohort 1920
Any STEM birth (pp),1920,1920,100,1,Cohort 1920
Any STEM birth (pp),1920,1930,100,1,Cohort 1920
Any STEM birth (pp),1920,1940,100,1,Cohort 1920
Any STEM birth (pp),1920,1950,100,1,Cohort 1920
Any STEM birth (pp),1920,1960,0,1,Cohort 1920
Any STEM birth (pp),1920,1970,100,1,Cohort 1920
Any STEM birth (pp),1920,1980,0,1,Cohort 1920
Any STEM birth (pp),1920,1990,0,1,Cohort 1920
Any STEM birth (pp),1920,2000,0,1,Cohort 1920
"STEM births per 1,000 population",0,1800,0.038368456130517335,58,Control (g = 0)
"STEM births per 1,000 population",0,1810,0.010024346375828807,58,Control (g = 0)
"STEM births per 1,000 population",0,1820,0.049941933082412356,58,Control (g = 0)
"STEM births per 1,000 population",0,1830,0.022163506582424698,58,Control (g = 0)
"STEM births per 1,000 population",0,1840,0.021421824253930587,58,Control (g = 0)
"STEM births per 1,000 population",0,1850,0.02537758377984427,58,Control (g = 0)
"STEM births per 1,000 population",0,1860,0.009450478547958769,58,Control (g = 0)
"STEM births per 1,000 population",0,1870,0.012760125757990457,58,Control (g = 0)
"STEM births per 1,000 population",0,1880,0.01565941428183412,58,Control (g = 0)
"STEM births per 1,000 population",0,1890,0.016096658916571194,58,Control (g = 0)
"STEM births per 1,000 population",0,1900,0.013870717487364084,58,Control (g = 0)
"STEM births per 1,000 population",0,1910,0.021520897125754904,58,Control (g = 0)
"STEM births per 1,000 population",0,1920,0.016705073106188992,58,Control (g = 0)
"STEM births per 1,000 population",0,1930,0.01450164316522676,58,Control (g = 0)
"STEM births per 1,000 population",0,1940,0.013985714140974704,58,Control (g = 0)
"STEM births per 1,000 population",0,1950,0.009648622772724469,58,Control (g = 0)
"STEM births per 1,000 population",0,1960,0.003748969659803838,58,Control (g = 0)
"STEM births per 1,000 population",0,1970,0.003110446514731438,58,Control (g = 0)
