outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
STEM births (count),-50,0.2222222222222222,0.3979163079562721,-0.17569408573404988,9,65.44444444444444
STEM births (count),-40,0.7777777777777778,0.4850952359654223,0.2926825418123555,9,65.22222222222223
STEM births (count),-30,1.1111111111111112,0.5648261425114862,0.5462849685996249,9,65
STEM births (count),-20,1.1111111111111112,0.8270363883504074,0.2840747227607038,9,64.33333333333333
STEM births (count),-10,3.4444444444444446,1.1222799136631902,2.3221645307812544,9,63.77777777777778
STEM births (count),0,4.111111111111111,1.383571461012997,2.7275396500981137,9,61.22222222222222
STEM births (count),10,6.444444444444445,1.7040279594000023,4.740416485044443,9,60.666666666666664
STEM births (count),20,9,2.051912568306011,6.948087431693989,9,60
STEM births (count),30,11.222222222222221,2.2873637738878085,8.934858448334413,9,59.77777777777778
STEM births (count),40,9.88888888888889,2.446152028181519,7.44273686070737,9,59.55555555555556
STEM births (count),50,9,2.468471978699916,6.531528021300084,9,58.55555555555556
Any STEM birth (pp),-50,11.11111111111111,21.755046434925728,-10.643935323814617,9,65.44444444444444
Any STEM birth (pp),-40,11.11111111111111,24.241563204601004,-13.130452093489893,9,65.22222222222223
Any STEM birth (pp),-30,22.22222222222222,27.00975994345214,-4.787537721229917,9,65
Any STEM birth (pp),-20,33.333333333333336,35.152923100514954,-1.8195897671816184,9,64.33333333333333
Any STEM birth (pp),-10,44.44444444444444,40.16342853894646,4.281015905497981,9,63.77777777777778
Any STEM birth (pp),0,44.44444444444444,44.46827590113076,-0.0238314566863167,9,61.22222222222222
Any STEM birth (pp),10,66.66666666666667,45.37858622547516,21.28808044119151,9,60.666666666666664
Any STEM birth (pp),20,77.77777777777777,51.97851893725269,25.799258840525084,9,60
Any STEM birth (pp),30,88.88888888888889,54.76052841412951,34.128360474759376,9,59.77777777777778
Any STEM birth (pp),40,66.66666666666667,61.31364714975105,5.353019516915623,9,59.55555555555556
Any STEM birth (pp),50,66.66666666666667,61.305928956425745,5.360737710240926,9,58.55555555555556
"STEM births per 1,000 population",-50,0.0018994269317652317,0.027622891571580203,-0.025723464639814973,9,65.44444444444444
"STEM births per 1,000 population",-40,0.0030503507923837696,0.014955575643234874,-0.011905224850851104,9,65.22222222222223
"STEM births per 1,000 population",-30,0.030881541877685322,0.028627956796682116,0.0022535850810032065,9,65
"STEM births per 1,000 population",-20,0.01689861423371088,0.019564012676260217,-0.002665398442549337,9,64.33333333333333
"STEM births per 1,000 population",-10,0.018158615396269593,0.02018497467094446,-0.002026359274674868,9,63.77777777777778
"STEM births per 1,000 population",0,0.022613439393973544,0.018866749654205824,0.0037466897397677203,9,61.22222222222222
"STEM births per 1,000 population",10,0.02423862631467952,0.014111551107636974,0.010127075207042547,9,60.666666666666664
"STEM births per 1,000 population",20,0.04185504736547834,0.014262727883681917,0.027592319481796426,9,60
"STEM births per 1,000 population",30,0.03964814814014795,0.014315089458271708,0.02533305868187624,9,59.77777777777778
"STEM births per 1,000 population",40,0.03195587118952246,0.014519987874014683,0.017435883315507772,9,59.55555555555556
"STEM births per 1,000 population",50,0.027058858731821615,0.012887897367307787,0.014170961364513828,9,58.55555555555556
"STEM births per 1,000 est. births",-50,0.003077391926388036,0.044121840185308264,-0.04104444825892023,9,65.44444444444444
"STEM births per 1,000 est. births",-40,0.005503539576292567,0.024574406327726502,-0.019070866751433935,9,65.22222222222223
"STEM births per 1,000 est. births",-30,0.047473473432213004,0.0444316233329028,0.0030418500993102046,9,65
"STEM births per 1,000 est. births",-20,0.0291770814289046,0.033172492607574766,-0.003995411178670166,9,64.33333333333333
"STEM births per 1,000 est. births",-10,0.03789057381252914,0.03737910285094051,5.114709615886281e-4,9,63.77777777777778
"STEM births per 1,000 est. births",0,0.04439810313064299,0.03730501636064468,0.0070930867699983136,9,61.22222222222222
"STEM births per 1,000 est. births",10,0.05519397392095632,0.03415069797770752,0.0210432759432488,9,60.666666666666664
"STEM births per 1,000 est. births",20,0.09092323177433469,0.03565708918236492,0.05526614259196977,9,60
"STEM births per 1,000 est. births",30,0.10741039415795871,0.038292379613956165,0.06911801454400254,9,59.77777777777778
"STEM births per 1,000 est. births",40,0.0922608643771274,0.0400113716210313,0.0522494927560961,9,59.55555555555556
"STEM births per 1,000 est. births",50,0.08621526104501948,0.03822631144097913,0.04798894960404035,9,58.55555555555556
County population,-50,22394.635503980848,21878.398449227036,516.2370547538121,9,65.44444444444444
County population,-40,42323.18936750624,29005.00845879373,13318.180908712508,9,65.22222222222223
County population,-30,66165.66645812988,37561.505155494444,28604.16130263544,9,65
County population,-20,87694.33017306858,47833.80465441475,39860.52551865383,9,64.33333333333333
County population,-10,118274.33259752061,62562.58274171403,55711.74985580658,9,63.77777777777778
County population,0,159621.69873046875,78122.73409375557,81498.96463671318,9,61.22222222222222
County population,10,199443.52289496528,100492.59545167114,98950.92744329415,9,60.666666666666664
County population,20,252566.93088107638,124175.12232138432,128391.80855969206,9,60
County population,30,319659.10243055556,157210.67920289954,162448.42322765602,9,59.77777777777778
County population,40,363378.5598958333,189127.40440779075,174251.15548804257,9,59.55555555555556
County population,50,434533.51996527775,231488.81452570605,203044.7054395717,9,58.55555555555556
