outcome,estimator,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20,post_0,se_0,post_avg_0_60
Any STEM birth (pp),Wooldridge ETWFE,NA,NA,-19.157088122601174,10.869510723733939,-7.2796934865853915,10.633712870718607,-4.21455938696804,16.918907985222738,10.759897828869018
Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,NA,NA,-0.6147109595598079,6.44173650873512,-1.0989010989217376,8.778064543836004,-10.395351774682963,18.6038403565389,-10.8728755280685
County population,Wooldridge ETWFE,NA,NA,-43869.5168984094,34294.89647275974,-16881.416114803127,13529.340508418649,24648.62520228527,20417.827434632374,86075.50258850191
County population,Wooldridge ETWFE + county pre-period trend,NA,NA,-112652.94072353045,24372.22903368129,-39809.224056379586,9388.313362932797,47576.433144258226,15452.392503507515,166322.83038490915
STEM births (count),Wooldridge ETWFE,NA,NA,-2.0900383141743353,1.4181047395276163,-2.1072796934847005,1.332279171222264,0.35249042145780435,0.6248229797277758,3.898786717754043
STEM births (count),Wooldridge ETWFE + county pre-period trend,NA,NA,-1.4186407462246253,0.9154007350296902,-1.8834805041678473,1.1638277573971696,0.12869123214180364,0.5346450666377859,3.115489555146973
"STEM births per 1,000 est. births",Wooldridge ETWFE,NA,NA,-0.022921517397491674,0.00959535206723111,-0.00658926296948218,0.00847397460976451,0.005601938482491116,0.02229787977262047,0.04030582119463603
"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,NA,NA,0.002020273234447135,0.007632709266797954,0.0017246672411455027,0.007675574264667905,-0.002711991728192679,0.022753452966035714,0.011207065457313203
"STEM births per 1,000 population",Wooldridge ETWFE,NA,NA,-0.012056444853151925,0.0059508586108509105,-0.001972601841669204,0.005203418351159451,0.005128393641734178,0.013821966263768002,0.017595282144474426
"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,NA,NA,0.003939923603434475,0.004720450391446336,0.003359520977179896,0.004724716440116817,-2.0372917715451755e-4,0.014129986183973953,-0.0010671477215862095
