spec,outcome,estimator,conf_low,conf_high,event_time,att,se
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-1.5435903026764404,0.9435903026771477,-50,-0.2999999999996463,0.6344848483044868
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-2.5725685398087834,3.572568539809423,-40,0.5000000000003199,1.5676370101066852
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-4.076417011753415,0.37641701175386144,-30,-1.8499999999997767,1.1359270468130807
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-4.059427186201412,4.459427186202139,-20,0.20000000000036386,2.1731771358172325
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,0,0,-10,0,0
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-5.285362155474139,9.174251044363327,0,1.9444444444445939,3.6886768366932308
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-7.680756358471074,14.791867469582472,10,3.5555555555556997,5.732812201034068
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-15.886948281655727,27.786948281656265,20,5.95000000000027,11.141300143702038
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-15.120983263314695,38.72098326331522,30,11.80000000000026,13.73519554250763
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-2.665905712137463,6.054794601026171,40,1.6944444444443543,2.2246684472356213
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-14.08926556654905,31.589265566549813,50,8.750000000000382,11.652686513545628
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-7.359930825394732,20.575515240981026,-50,6.607792207793146,7.126389302646877
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-9.45918838620548,20.95227529929422,-40,5.74654345654437,7.758026450382577
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-4.053418367395491,7.584007777986262,-30,1.7652947052953851,2.968731159536161
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-8.465963895351091,19.73405580344497,-20,5.634045954046939,7.193882576223485
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-7.468298254407204,16.403352089461855,0,4.4675269175273264,6.08970672037476
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-11.186159304354941,19.958054076250313,10,4.385947385947686,7.944952393011545
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-16.47923686280136,31.19733876090456,20,7.3590509490516,12.162391740741308
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-15.41356536398961,40.949169759595364,30,12.767802197802878,14.378248756016577
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-6.177260212938453,2.770322706000364,40,-1.7034687534690445,2.282546662994596
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-16.465262693934882,37.73027767895171,50,10.632507492508411,13.825392952266988
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-39.94112626031826,49.941126260317056,-50,4.999999999999397,22.929146051182478
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-82.97193587363334,2.9719358736316934,-40,-40.000000000000824,21.924457078383938
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-44.47224355625002,34.47224355624813,-30,-5.000000000000945,20.138899773596467
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-48.04408486910318,48.044084869101404,-20,-8.86402062860725e-13,24.512288198521578
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,0,0,-10,0,0
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-41.2260183523854,35.67046279682996,0,-2.777777777777724,19.61644927275902
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-69.00379613016239,7.892685019051179,10,-30.555555555555607,19.616449272758565
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-31.48596793681832,11.48596793681637,20,-10.000000000000975,10.962228539192523
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-30.194530656472907,20.19453065647098,30,-5.000000000000962,12.854352375750992
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-57.9646117848794,52.409056229323845,40,-2.7777777777777777,28.15654796280695
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-75.57862088543999,15.578620885437964,50,-30.00000000000101,23.25439841093825
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-96.60511436560996,273.618101378596,-50,88.50649350649302,94.4446978939301
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-253.73056093541936,90.28400748886993,-40,-81.72327672327471,87.75881847558401
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-150.47196327528886,228.56586936919362,-30,39.046953046952375,96.69332465420472
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-126.07257348750692,243.7069391218722,-20,58.817182817182655,94.33150831871917
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-34.877770311471515,86.38626181996395,0,25.75424575424622,30.934702074345783
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-161.60219836611472,-74.00552724160698,10,-117.80386280386085,22.346089572578506
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-78.23254371698675,114.02874751318944,20,17.898101898101338,49.04624776280005
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-63.05166478854552,102.38832812520808,30,19.668331668331273,42.204079824937146
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-104.56097823178169,108.84003251083419,40,2.1395271395262534,54.43903335270814
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-108.2882466825621,83.53100392531853,50,-12.378621378621784,48.933482297928734
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,-0.02821602291758827,0.010169834903215602,-50,-0.009023094007186334,0.009792310668572416
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,-0.03628343737464654,-0.012351787036215114,-40,-0.024317612205430827,0.006105012841436589
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,-0.008938257399189749,0.060677241991875304,-30,0.025869492296342778,0.01775905596710843
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,0.009240631709580742,0.02931328754323051,-20,0.019276959626405625,0.005120575467767797
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,0,0,-10,0,0
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,-0.029152606070116646,0.035132947811555265,0,0.0029901708707193095,0.016399375990222426
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,-0.04379273702192671,-0.0030129035936267527,10,-0.02340282030777673,0.010403018731709172
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,-0.00828646465393314,0.022667115932232525,20,0.007190325639149693,0.007896321578103487
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,0.03612674338513466,0.05042850888212187,30,0.04327762613362827,0.0036484095655579633
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,7.000774332147838e-4,0.02901849206184692,40,0.014859284747530852,0.007224085364446973
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,0.011784195271028235,0.034063375786389974,50,0.022923785528709103,0.005683464417184116
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,0.034655326525588816,0.11906422451792795,-50,0.07685977552175838,0.021532882140902838
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,-0.1271817356210076,-0.04354623957113332,-40,-0.08536398759607046,0.021335585727008746
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,0.04214906332309966,0.14957488221148818,-30,0.09586197276729393,0.027404545634792995
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,0.043967289851418644,0.13200020570603024,-20,0.08798374777872445,0.02245737649352337
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,-0.025955695806096746,0.038974596267362716,0,0.006509450230632986,0.016563850018739657
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,-0.16661466616868112,-0.12111211674027059,10,-0.14386339145447585,0.011607793221533299
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,0.027878647149235436,0.08381156629231014,20,0.05584510672077279,0.014268601822212934
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,0.06719185653773557,0.10813787813703557,30,0.08766486733738557,0.01044541367329082
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,0.016782126404840274,0.06185806310473806,40,0.03932009475478917,0.011498963443851477
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,0.035257397962218134,0.07898109589523102,50,0.057119246928724575,0.011154004574748182
High access only (not-yet-treated controls),"STEM births per 1,000 est. births",Wooldridge ETWFE,-0.05274382503671841,0.017470831417974668,-50,-0.01763649680937187,0.017911902156809458
High access only (not-yet-treated controls),"STEM births per 1,000 est. births",Wooldridge ETWFE,-0.06662516602704734,-0.023224759932312145,-40,-0.04492496297967974,0.011071532167024284
