outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
STEM births (count),-50,0.2222222222222222,0.4666666666666667,-0.24444444444444446,9,7.444444444444445
STEM births (count),-40,0.7777777777777778,0.7654320987654321,0.012345679012345734,9,7.222222222222222
STEM births (count),-30,1.1111111111111112,1.617283950617284,-0.5061728395061729,9,7
STEM births (count),-20,1.1111111111111112,0.9061728395061728,0.20493827160493838,9,6.333333333333333
STEM births (count),-10,3.4444444444444446,2.77037037037037,0.6740740740740745,9,5.777777777777778
STEM births (count),0,4.111111111111111,1.175,2.936111111111111,9,3.2222222222222223
STEM births (count),10,6.444444444444445,2.9583333333333335,3.486111111111111,9,2.6666666666666665
STEM births (count),20,9,3.7777777777777777,5.222222222222222,9,2
STEM births (count),30,11.222222222222221,3.2777777777777777,7.944444444444444,9,1.7777777777777777
STEM births (count),40,9.88888888888889,6.333333333333333,3.5555555555555562,9,1.5555555555555556
STEM births (count),50,9,1.8,7.2,9,0.5555555555555556
Any STEM birth (pp),-50,11.11111111111111,12.592592592592593,-1.4814814814814827,9,7.444444444444445
Any STEM birth (pp),-40,11.11111111111111,16.049382716049383,-4.938271604938272,9,7.222222222222222
Any STEM birth (pp),-30,22.22222222222222,16.049382716049383,6.1728395061728385,9,7
Any STEM birth (pp),-20,33.333333333333336,31.60493827160494,1.7283950617283956,9,6.333333333333333
Any STEM birth (pp),-10,44.44444444444444,43.333333333333336,1.1111111111111072,9,5.777777777777778
Any STEM birth (pp),0,44.44444444444444,55.416666666666664,-10.972222222222221,9,3.2222222222222223
Any STEM birth (pp),10,66.66666666666667,58.333333333333336,8.333333333333336,9,2.6666666666666665
Any STEM birth (pp),20,77.77777777777777,33.333333333333336,44.444444444444436,9,2
Any STEM birth (pp),30,88.88888888888889,44.44444444444444,44.44444444444444,9,1.7777777777777777
Any STEM birth (pp),40,66.66666666666667,55.55555555555556,11.111111111111114,9,1.5555555555555556
Any STEM birth (pp),50,66.66666666666667,100,-33.33333333333333,9,0.5555555555555556
"STEM births per 1,000 population",-50,0.0018994269317652317,0.007278722491686626,-0.005379295559921394,9,7.444444444444445
"STEM births per 1,000 population",-40,0.0030503507923837696,0.007101192496580732,-0.004050841704196962,9,7.222222222222222
"STEM births per 1,000 population",-30,0.030881541877685322,0.007962410206977348,0.022919131670707974,9,7
"STEM births per 1,000 population",-20,0.01689861423371088,0.014465062571816314,0.002433551661894566,9,6.333333333333333
"STEM births per 1,000 population",-10,0.018158615396269593,0.027064097114897677,-0.008905481718628084,9,5.777777777777778
"STEM births per 1,000 population",0,0.022613439393973544,0.02056782075654244,0.0020456186374311035,9,3.2222222222222223
"STEM births per 1,000 population",10,0.02423862631467952,0.021860531345592314,0.002378094969087207,9,2.6666666666666665
"STEM births per 1,000 population",20,0.04185504736547834,0.00760492806808692,0.03425011929739142,9,2
"STEM births per 1,000 population",30,0.03964814814014795,0.006670863136490208,0.03297728500365774,9,1.7777777777777777
"STEM births per 1,000 population",40,0.03195587118952246,0.014721566205991778,0.01723430498353068,9,1.5555555555555556
"STEM births per 1,000 population",50,0.027058858731821615,0.013920373372478024,0.013138485359343591,9,0.5555555555555556
"STEM births per 1,000 est. births",-50,0.003077391926388036,0.011990652718927193,-0.008913260792539157,9,7.444444444444445
"STEM births per 1,000 est. births",-40,0.005503539576292567,0.01252302134145107,-0.007019481765158503,9,7.222222222222222
"STEM births per 1,000 est. births",-30,0.047473473432213004,0.013633412153345105,0.0338400612788679,9,7
"STEM births per 1,000 est. births",-20,0.0291770814289046,0.023708734419480747,0.0054683470094238525,9,6.333333333333333
"STEM births per 1,000 est. births",-10,0.03789057381252914,0.049194604898868566,-0.011304031086339428,9,5.777777777777778
"STEM births per 1,000 est. births",0,0.04439810313064299,0.03628899893969395,0.00810910419094904,9,3.2222222222222223
"STEM births per 1,000 est. births",10,0.05519397392095632,0.04844733080589894,0.006746643115057377,9,2.6666666666666665
"STEM births per 1,000 est. births",20,0.09092323177433469,0.01535797952617499,0.0755652522481597,9,2
"STEM births per 1,000 est. births",30,0.10741039415795871,0.01535498270110379,0.09205541145685492,9,1.7777777777777777
"STEM births per 1,000 est. births",40,0.0922608643771274,0.03798376874705088,0.054277095630076516,9,1.5555555555555556
"STEM births per 1,000 est. births",50,0.08621526104501948,0.037892684382116765,0.04832257666290271,9,0.5555555555555556
County population,-50,22394.635503980848,29916.914131955746,-7522.278627974898,9,7.444444444444445
County population,-40,42323.18936750624,45567.821872852466,-3244.632505346228,9,7.222222222222222
County population,-30,66165.66645812988,73420.94949491524,-7255.28303678536,9,7
County population,-20,87694.33017306858,72218.83986326618,15475.490309802393,9,6.333333333333333
County population,-10,118274.33259752061,102304.41691789038,15969.915679630227,9,5.777777777777778
County population,0,159621.69873046875,77476.48354644775,82145.215184021,9,3.2222222222222223
County population,10,199443.52289496528,119277.54002888997,80165.98286607531,9,2.6666666666666665
County population,20,252566.93088107638,183603.30620659722,68963.62467447916,9,2
County population,30,319659.10243055556,206093.44162326388,113565.66080729169,9,1.7777777777777777
County population,40,363378.5598958333,232972.85720486112,130405.70269097219,9,1.5555555555555556
County population,50,434533.51996527775,120264.971875,314268.54809027776,9,0.5555555555555556
