outcome,estimator,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20,post_0,se_0,post_avg_0_60
Any STEM birth (pp),Wooldridge ETWFE,NA,NA,-40.000000000000824,21.924457078383938,-8.86402062860725e-13,24.512288198521578,-2.777777777777724,19.61644927275902,-13.51851851851901
Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,NA,NA,-81.72327672327471,87.75881847558401,58.817182817182655,94.33150831871917,25.75424575424622,30.934702074345783,-10.787046287046259
County population,Wooldridge ETWFE,NA,NA,-650065.8430031353,877596.7702481835,-456750.7407822225,823990.8208660418,-250816.83542211613,407894.71409748984,-139618.43249785603
County population,Wooldridge ETWFE + county pre-period trend,NA,NA,-413400.53796933836,651341.7071290038,-268873.739681139,629443.3878028669,-168956.6820143431,318724.03609563713,-112901.54213746835
STEM births (count),Wooldridge ETWFE,NA,NA,0.5000000000003199,1.5676370101066852,0.20000000000036386,2.1731771358172325,1.9444444444445939,3.6886768366932308,5.615740740740927
STEM births (count),Wooldridge ETWFE + county pre-period trend,NA,NA,5.74654345654437,7.758026450382577,5.634045954046939,7.193882576223485,4.4675269175273264,6.08970672037476,6.318227698228143
"STEM births per 1,000 est. births",Wooldridge ETWFE,NA,NA,-0.04492496297967974,0.011071532167024284,0.028420000285507844,0.0112558751765576,0.00266728691499967,0.0258809457242642,0.036648218729547946
"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.1320119198592068,0.03788747274663428,0.15147620353703478,0.0377336289624594,0.012214476602073374,0.028382620458846538,0.04724239318722899
"STEM births per 1,000 population",Wooldridge ETWFE,NA,NA,-0.024317612205430827,0.006105012841436589,0.019276959626405625,0.005120575467767797,0.0029901708707193095,0.016399375990222426,0.011306395435326749
"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.08536398759607046,0.021335585727008746,0.08798374777872445,0.02245737649352337,0.006509450230632986,0.016563850018739657,0.017099229086304873
