outcome,g,decade,cohort_mean,n_obs,cohort_label
STEM births (count),0,1800,0.02362707535121328,3132,Control (g = 0)
STEM births (count),0,1810,0.03639846743295019,3132,Control (g = 0)
STEM births (count),0,1820,0.032567049808429116,3132,Control (g = 0)
STEM births (count),0,1830,0.05172413793103448,3132,Control (g = 0)
STEM births (count),0,1840,0.06673052362707535,3132,Control (g = 0)
STEM births (count),0,1850,0.09163473818646233,3132,Control (g = 0)
STEM births (count),0,1860,0.1277139208173691,3132,Control (g = 0)
STEM births (count),0,1870,0.13218390804597702,3132,Control (g = 0)
STEM births (count),0,1880,0.13409961685823754,3132,Control (g = 0)
STEM births (count),0,1890,0.14814814814814814,3132,Control (g = 0)
STEM births (count),0,1900,0.21104725415070244,3132,Control (g = 0)
STEM births (count),0,1910,0.27458492975734355,3132,Control (g = 0)
STEM births (count),0,1920,0.3259897828863346,3132,Control (g = 0)
STEM births (count),0,1930,0.33620689655172414,3132,Control (g = 0)
STEM births (count),0,1940,0.36015325670498083,3132,Control (g = 0)
STEM births (count),0,1950,0.28735632183908044,3132,Control (g = 0)
STEM births (count),0,1960,0.14431673052362706,3132,Control (g = 0)
STEM births (count),0,1970,0.07215836526181353,3132,Control (g = 0)
STEM births (count),0,1980,0.02905491698595147,3132,Control (g = 0)
STEM births (count),0,1990,0.005747126436781609,3132,Control (g = 0)
STEM births (count),0,2000,0,3132,Control (g = 0)
STEM births (count),1850,1800,0,1,Cohort 1850
STEM births (count),1850,1810,0,1,Cohort 1850
STEM births (count),1850,1820,0,1,Cohort 1850
STEM births (count),1850,1830,0,1,Cohort 1850
STEM births (count),1850,1840,0,1,Cohort 1850
STEM births (count),1850,1850,4,1,Cohort 1850
STEM births (count),1850,1860,3,1,Cohort 1850
STEM births (count),1850,1870,8,1,Cohort 1850
STEM births (count),1850,1880,6,1,Cohort 1850
STEM births (count),1850,1890,4,1,Cohort 1850
STEM births (count),1850,1900,11,1,Cohort 1850
STEM births (count),1850,1910,11,1,Cohort 1850
STEM births (count),1850,1920,21,1,Cohort 1850
STEM births (count),1850,1930,11,1,Cohort 1850
STEM births (count),1850,1940,18,1,Cohort 1850
STEM births (count),1850,1950,9,1,Cohort 1850
STEM births (count),1850,1960,4,1,Cohort 1850
STEM births (count),1850,1970,4,1,Cohort 1850
STEM births (count),1850,1980,1,1,Cohort 1850
STEM births (count),1850,1990,0,1,Cohort 1850
STEM births (count),1850,2000,0,1,Cohort 1850
STEM births (count),1860,1800,1.6666666666666667,3,Cohort 1860
STEM births (count),1860,1810,3.3333333333333335,3,Cohort 1860
STEM births (count),1860,1820,2,3,Cohort 1860
STEM births (count),1860,1830,5.666666666666667,3,Cohort 1860
STEM births (count),1860,1840,5,3,Cohort 1860
STEM births (count),1860,1850,9.333333333333334,3,Cohort 1860
STEM births (count),1860,1860,14,3,Cohort 1860
STEM births (count),1860,1870,11,3,Cohort 1860
STEM births (count),1860,1880,9.333333333333334,3,Cohort 1860
STEM births (count),1860,1890,17,3,Cohort 1860
STEM births (count),1860,1900,27.333333333333332,3,Cohort 1860
STEM births (count),1860,1910,53.666666666666664,3,Cohort 1860
STEM births (count),1860,1920,98,3,Cohort 1860
STEM births (count),1860,1930,81,3,Cohort 1860
STEM births (count),1860,1940,106,3,Cohort 1860
STEM births (count),1860,1950,51.333333333333336,3,Cohort 1860
STEM births (count),1860,1960,19,3,Cohort 1860
STEM births (count),1860,1970,8.666666666666666,3,Cohort 1860
STEM births (count),1860,1980,2,3,Cohort 1860
