spec,outcome,estimator,conf_low,conf_high,event_time,att,se
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-11.311930711867017,4.2224032542910175,-50,-3.5447637287880003,3.962840297489295
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-12.377008405285054,3.6770084062002324,-40,-4.349999999542411,4.095412451909512
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-6.181459601672539,1.8455719908419832,-30,-2.1679438054152778,2.0477121409475822
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-6.834484773958854,2.471138670152344,-20,-2.181673051903255,2.37388353166102
High access vs all other counties,STEM births (count),Wooldridge ETWFE,0,0,-10,0,0
High access vs all other counties,STEM births (count),Wooldridge ETWFE,0.7781227990668063,6.363001084365454,0,3.57056194171613,1.4247138482904713
High access vs all other counties,STEM births (count),Wooldridge ETWFE,0.1464620450687384,3.3497065382332813,10,1.74808429165101,0.8171542074399345
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-0.2670668398769458,3.73373350747079,20,1.733333333796922,1.0206123335070754
High access vs all other counties,STEM births (count),Wooldridge ETWFE,2.0201462939493786,9.408333911326483,30,5.714240102637931,1.8847417391268126
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-2.1633079808432623,25.106603000942783,40,11.471647510049761,6.9566099443331755
High access vs all other counties,STEM births (count),Wooldridge ETWFE,-8.824793505100413,66.05710512803793,50,28.61615581146876,19.102525161514887
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-2.0745274538107252,1.558517103588546,-50,-0.25800517511108956,0.9267970809692019
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-5.40938000792021,1.639517839021419,-40,-1.8849310844493956,1.7981882262606197
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-1.5366734753140006,0.48754441749017874,-30,-0.5245645289119109,0.5163821155112702
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-4.512194724249111,1.7922278962806324,-20,-1.3599834139842395,1.608271076665751
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,1.1222133884134524,4.3755312164953875,0,2.74887230245442,0.8299280173678407
High access vs all other counties,STEM births (count),Wooldridge ETWFE + county pre-period trend,-4.022036742227644,4.2314467698402956,10,0.10470501380632577,2.1054804877724336
