outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
STEM births (count),-50,2,0.04303474657315907,1.956965253426841,5,3137
STEM births (count),-40,1.2,0.04865160640284166,1.1513483935971582,5,3136.8
STEM births (count),-30,3.4,0.06665672251366753,3.3333432774863323,5,3136.2
STEM births (count),-20,3.4,0.080811674869745,3.3191883251302547,5,3136.2
STEM births (count),-10,5.6,0.1013603803980831,5.498639619601916,5,3135.6
STEM births (count),0,9.2,0.12632280937519527,9.073677190624805,5,3133.4
STEM births (count),10,7.4,0.14741213196643158,7.252587868033569,5,3132.8
STEM births (count),20,7.4,0.161907091281823,7.238092908718177,5,3132.8
STEM births (count),30,11.4,0.18089820837710377,11.219101791622897,5,3132.2
STEM births (count),40,17.2,0.22349936143039592,16.976500638569604,5,3132
STEM births (count),50,34.4,0.2789910600255428,34.12100893997446,5,3132
Any STEM birth (pp),-50,40,2.8052279247688876,37.194772075231114,5,3137
Any STEM birth (pp),-40,40,3.054251266971564,36.94574873302844,5,3136.8
Any STEM birth (pp),-30,40,4.133354347648471,35.86664565235153,5,3136.2
Any STEM birth (pp),-20,60,5.064432311809025,54.93556768819097,5,3136.2
Any STEM birth (pp),-10,20,6.270629173273535,13.729370826726466,5,3135.6
Any STEM birth (pp),0,60,7.896074604281889,52.10392539571811,5,3133.4
Any STEM birth (pp),10,80,9.506089952505748,70.49391004749425,5,3132.8
Any STEM birth (pp),20,100,10.087057847109357,89.91294215289065,5,3132.8
Any STEM birth (pp),30,60,10.47833612363588,49.521663876364116,5,3132.2
Any STEM birth (pp),40,60,12.445721583652618,47.55427841634738,5,3132
Any STEM birth (pp),50,60,13.825031928480204,46.1749680715198,5,3132
"STEM births per 1,000 population",-50,0.042740616193676924,0.007276883238725751,0.03546373295495117,5,3136
"STEM births per 1,000 population",-40,0.016959544774505002,0.007305902752593907,0.009653642021911095,5,3135.8
"STEM births per 1,000 population",-30,0.017147474215083856,0.011674248974105085,0.005473225240978772,5,3135.2
"STEM births per 1,000 population",-20,0.012760580863736158,0.024345593041619623,-0.011585012177883465,5,3135.4
"STEM births per 1,000 population",-10,0.00739263142659702,0.009649318958277189,-0.002256687531680169,5,3134.8
"STEM births per 1,000 population",0,0.039747441777625,0.022021654792921487,0.017725786984703513,5,3132.6
"STEM births per 1,000 population",10,0.02222924291294014,0.06234208726150333,-0.04011284434856319,5,3132.6
"STEM births per 1,000 population",20,0.019249995764078803,0.026947026017217778,-0.007697030253138976,5,3132.8
"STEM births per 1,000 population",30,0.01764745547519032,0.007806267719034172,0.00984118775615615,5,3132.2
"STEM births per 1,000 population",40,0.012466584162738293,0.009346403768280772,0.0031201803944575206,5,3132
"STEM births per 1,000 population",50,0.018981976567943516,0.008460882546293399,0.010521094021650117,5,3132
"STEM births per 1,000 est. births",-50,0.08296208873171607,0.01364206180292911,0.06932002692878696,5,3136
"STEM births per 1,000 est. births",-40,0.028443034382864614,0.01330322977241756,0.015139804610447054,5,3135.8
"STEM births per 1,000 est. births",-30,0.029479235527209397,0.022920406512217016,0.006558829014992381,5,3135.2
"STEM births per 1,000 est. births",-20,0.02323702814951678,0.050717692100989156,-0.027480663951472376,5,3135.4
"STEM births per 1,000 est. births",-10,0.0151240452254152,0.020202179280784233,-0.005078134055369034,5,3134.8
"STEM births per 1,000 est. births",0,0.08356810375543008,0.048441911387635775,0.03512619236779431,5,3132.6
"STEM births per 1,000 est. births",10,0.04906061504285003,0.1387297251702782,-0.08966911012742818,5,3132.6
"STEM births per 1,000 est. births",20,0.044568064941637967,0.06249212429629678,-0.017924059354658815,5,3132.8
"STEM births per 1,000 est. births",30,0.04627443686322424,0.021813890690892186,0.02446054617233205,5,3132.2
"STEM births per 1,000 est. births",40,0.0361614175319933,0.02883105620239634,0.007330361329596958,5,3132
"STEM births per 1,000 est. births",50,0.059029140410331506,0.027347268763088375,0.031681871647243134,5,3132
County population,-50,53778.116105651854,3126.6947587609025,50651.42134689095,5,3137
County population,-40,79769.82433319092,4185.27215176142,75584.55218142949,5,3136.8
County population,-30,114249.78697814941,5347.896515843007,108901.8904623064,5,3136.2
County population,-20,159428.82849121094,6779.874316540084,152648.95417467086,5,3136.2
County population,-10,266675.3051940918,9156.357824186198,257518.9473699056,5,3135.6
County population,0,357393.7203125,11490.36102004852,345903.3592924515,5,3133.4
County population,10,498175.13125,13823.462333214065,484351.6689167859,5,3132.8
County population,20,585582.0390625,17138.303719458407,568443.7353430416,5,3132.8
County population,30,745015.3625,20684.20823287741,724331.1542671226,5,3132.2
County population,40,982356.73125,24539.5330993019,957817.1981506981,5,3132
County population,50,1297362.7625,28441.808742298967,1268920.953757701,5,3132
