outcome,estimator,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20,post_0,se_0,post_avg_0_60
Any STEM birth (pp),Wooldridge ETWFE,NA,NA,23.2439335890218,16.34436984131611,41.23243933615898,16.344664064440412,38.35249042173596,16.345430684674472,45.542784163757716
Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,NA,NA,17.412391565860098,9.341971321782605,39.28859199378773,14.010385412012749,40.296337760165244,18.679689942065792,52.34624985317701
County population,Wooldridge ETWFE,NA,NA,-182075.6681497777,84355.23269274869,-104992.63602853897,46798.64374373086,88221.26136611208,94592.75828368757,467210.8763001197
County population,Wooldridge ETWFE + county pre-period trend,NA,NA,-73907.1162611701,31812.16059439476,-68936.45210304263,29905.585410293665,52165.077328348736,79009.44759525025,341014.23230802926
STEM births (count),Wooldridge ETWFE,NA,NA,-4.349999999542411,4.095412451909512,-2.181673051903255,2.37388353166102,3.57056194171613,1.4247138482904713,8.809003831886752
STEM births (count),Wooldridge ETWFE + county pre-period trend,NA,NA,-1.8849310844493956,1.7981882262606197,-1.3599834139842395,1.608271076665751,2.74887230245442,0.8299280173678407,5.933090096153651
"STEM births per 1,000 est. births",Wooldridge ETWFE,NA,NA,0.020258585581541297,0.020515585815117445,-0.022403463970651624,0.029914696059873156,0.04019139799262389,0.03162105023783497,0.003561277586856992
"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.0032206047500337037,0.00773855262739787,-0.030230101791898695,0.028353710505972775,0.04801803581158545,0.036530299023362446,0.030953269292043253
"STEM births per 1,000 population",Wooldridge ETWFE,NA,NA,0.011932051808657078,0.011324292578706433,-0.009327763212193616,0.013706243281078643,0.019976288390997573,0.014645367851371037,0.001148607140535331
"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,NA,NA,-5.369138031280389e-4,0.0035372464656316556,-0.013484232490234536,0.012869690563066236,0.024132757667890983,0.017264834691190858,0.015695490898264358
