outcome,g,decade,cohort_mean,n_obs,cohort_label
STEM births (count),0,1800,0.3333333333333333,75,Control (g = 0)
STEM births (count),0,1810,0.44,75,Control (g = 0)
STEM births (count),0,1820,0.38666666666666666,75,Control (g = 0)
STEM births (count),0,1830,0.64,75,Control (g = 0)
STEM births (count),0,1840,1.0266666666666666,75,Control (g = 0)
STEM births (count),0,1850,1.08,75,Control (g = 0)
STEM births (count),0,1860,1.16,75,Control (g = 0)
STEM births (count),0,1870,1.1733333333333333,75,Control (g = 0)
STEM births (count),0,1880,1.44,75,Control (g = 0)
STEM births (count),0,1890,1.6666666666666667,75,Control (g = 0)
STEM births (count),0,1900,2.44,75,Control (g = 0)
STEM births (count),0,1910,3.8133333333333335,75,Control (g = 0)
STEM births (count),0,1920,5.053333333333334,75,Control (g = 0)
STEM births (count),0,1930,5.653333333333333,75,Control (g = 0)
STEM births (count),0,1940,5.653333333333333,75,Control (g = 0)
STEM births (count),0,1950,4.173333333333333,75,Control (g = 0)
STEM births (count),0,1960,2.32,75,Control (g = 0)
STEM births (count),0,1970,0.9333333333333333,75,Control (g = 0)
STEM births (count),0,1980,0.30666666666666664,75,Control (g = 0)
STEM births (count),0,1990,0.06666666666666667,75,Control (g = 0)
STEM births (count),0,2000,0,75,Control (g = 0)
STEM births (count),1850,1800,0,1,Cohort 1850
STEM births (count),1850,1810,0,1,Cohort 1850
STEM births (count),1850,1820,0,1,Cohort 1850
STEM births (count),1850,1830,0,1,Cohort 1850
STEM births (count),1850,1840,0,1,Cohort 1850
STEM births (count),1850,1850,4,1,Cohort 1850
STEM births (count),1850,1860,3,1,Cohort 1850
STEM births (count),1850,1870,8,1,Cohort 1850
STEM births (count),1850,1880,6,1,Cohort 1850
STEM births (count),1850,1890,4,1,Cohort 1850
STEM births (count),1850,1900,11,1,Cohort 1850
STEM births (count),1850,1910,11,1,Cohort 1850
STEM births (count),1850,1920,21,1,Cohort 1850
STEM births (count),1850,1930,11,1,Cohort 1850
STEM births (count),1850,1940,18,1,Cohort 1850
STEM births (count),1850,1950,9,1,Cohort 1850
STEM births (count),1850,1960,4,1,Cohort 1850
STEM births (count),1850,1970,4,1,Cohort 1850
STEM births (count),1850,1980,1,1,Cohort 1850
STEM births (count),1850,1990,0,1,Cohort 1850
STEM births (count),1850,2000,0,1,Cohort 1850
STEM births (count),1860,1800,1.6666666666666667,3,Cohort 1860
STEM births (count),1860,1810,3.3333333333333335,3,Cohort 1860
STEM births (count),1860,1820,2,3,Cohort 1860
STEM births (count),1860,1830,5.666666666666667,3,Cohort 1860
STEM births (count),1860,1840,5,3,Cohort 1860
STEM births (count),1860,1850,9.333333333333334,3,Cohort 1860
STEM births (count),1860,1860,14,3,Cohort 1860
STEM births (count),1860,1870,11,3,Cohort 1860
STEM births (count),1860,1880,9.333333333333334,3,Cohort 1860
STEM births (count),1860,1890,17,3,Cohort 1860
STEM births (count),1860,1900,27.333333333333332,3,Cohort 1860
STEM births (count),1860,1910,53.666666666666664,3,Cohort 1860
STEM births (count),1860,1920,98,3,Cohort 1860
