outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
STEM births (count),-50,2,0.6275,1.3725,5,80
STEM births (count),-40,1.2,0.6459493670886076,0.5540506329113923,5,79.8
STEM births (count),-30,3.4,0.8039473684210526,2.596052631578947,5,79.2
STEM births (count),-20,3.4,1.0893421052631578,2.310657894736842,5,79.2
STEM births (count),-10,5.6,1.3420586275816122,4.257941372418387,5,78.6
STEM births (count),0,9.2,1.2961248056850987,7.9038751943149,5,76.4
STEM births (count),10,7.4,1.4274736842105262,5.972526315789474,5,75.8
STEM births (count),20,7.4,1.852140350877193,5.547859649122808,5,75.8
STEM births (count),30,11.4,2.2948771929824563,9.105122807017544,5,75.2
STEM births (count),40,17.2,2.928,14.271999999999998,5,75
STEM births (count),50,34.4,3.9066666666666667,30.493333333333332,5,75
Any STEM birth (pp),-50,40,24.5,15.5,5,80
Any STEM birth (pp),-40,40,25.098101265822784,14.901898734177216,5,79.8
Any STEM birth (pp),-30,40,30.36842105263158,9.631578947368421,5,79.2
Any STEM birth (pp),-20,60,35.44736842105263,24.55263157894737,5,79.2
Any STEM birth (pp),-10,20,40.82061958694204,-20.820619586942037,5,78.6
Any STEM birth (pp),0,60,41.42003109038419,18.579968909615808,5,76.4
Any STEM birth (pp),10,80,46.47719298245614,33.52280701754386,5,75.8
Any STEM birth (pp),20,100,54.12631578947368,45.87368421052632,5,75.8
Any STEM birth (pp),30,60,59.059649122807016,0.9403508771929836,5,75.2
Any STEM birth (pp),40,60,60,0,5,75
Any STEM birth (pp),50,60,68,-8,5,75
"STEM births per 1,000 population",-50,0.042740616193676924,0.0287710215366367,0.013969594657040223,5,80
"STEM births per 1,000 population",-40,0.016959544774505002,0.03688139276430503,-0.019921847989800026,5,79.8
"STEM births per 1,000 population",-30,0.017147474215083856,0.0303090424158662,-0.013161568200782344,5,79.2
"STEM births per 1,000 population",-20,0.012760580863736158,0.029789464469692554,-0.017028883605956398,5,79.2
"STEM births per 1,000 population",-10,0.00739263142659702,0.025876973318672013,-0.01848434189207499,5,78.6
"STEM births per 1,000 population",0,0.039747441777625,0.01631853209327333,0.02342890968435167,5,76.4
"STEM births per 1,000 population",10,0.02222924291294014,0.015481173645543883,0.006748069267396257,5,75.8
"STEM births per 1,000 population",20,0.019249995764078803,0.018256650259808417,9.933455042703855e-4,5,75.8
"STEM births per 1,000 population",30,0.01764745547519032,0.01601747954798056,0.0016299759272097591,5,75.2
"STEM births per 1,000 population",40,0.012466584162738293,0.01439068757528298,-0.0019241034125446876,5,75
"STEM births per 1,000 population",50,0.018981976567943516,0.015301316652251342,0.003680659915692174,5,75
"STEM births per 1,000 est. births",-50,0.08296208873171607,0.053511788391022455,0.02945030034069361,5,80
"STEM births per 1,000 est. births",-40,0.028443034382864614,0.06495292103614117,-0.036509886653276556,5,79.8
"STEM births per 1,000 est. births",-30,0.029479235527209397,0.05302113356013357,-0.023541898032924172,5,79.2
"STEM births per 1,000 est. births",-20,0.02323702814951678,0.053755533730578106,-0.030518505581061325,5,79.2
"STEM births per 1,000 est. births",-10,0.0151240452254152,0.05253371169292581,-0.03740966646751061,5,78.6
"STEM births per 1,000 est. births",0,0.08356810375543008,0.036400811493164764,0.04716729226226532,5,76.4
"STEM births per 1,000 est. births",10,0.04906061504285003,0.03640669297305929,0.01265392206979074,5,75.8
"STEM births per 1,000 est. births",20,0.044568064941637967,0.04599122300831558,-0.0014231580666776156,5,75.8
"STEM births per 1,000 est. births",30,0.04627443686322424,0.04552856048547098,7.458763777532587e-4,5,75.2
"STEM births per 1,000 est. births",40,0.0361614175319933,0.04428160672438244,-0.00812018919238914,5,75
"STEM births per 1,000 est. births",50,0.059029140410331506,0.049563979868261,0.009465160542070507,5,75
County population,-50,53778.116105651854,17736.430437555315,36041.68566809654,5,80
County population,-40,79769.82433319092,23700.417479348605,56069.406853842316,5,79.8
County population,-30,114249.78697814941,28038.493609514237,86211.29336863518,5,79.2
County population,-20,159428.82849121094,37486.30756130219,121942.52092990876,5,79.2
County population,-10,266675.3051940918,52269.548409583454,214405.75678450835,5,78.6
County population,0,357393.7203125,62604.495383482084,294789.22492901795,5,76.4
County population,10,498175.13125,80461.97428092448,417713.1569690755,5,75.8
County population,20,585582.0390625,105160.5002063845,480421.5388561155,5,75.8
County population,30,745015.3625,141629.4095571032,603385.9529428969,5,75.2
County population,40,982356.73125,188272.29171875,794084.4395312499,5,75
County population,50,1297362.7625,231363.44397916668,1065999.3185208333,5,75
